Year,Month,Day,Pr,Pr_Ground
2017.0,10.0,17.0,0.1,0.0
2017.0,10.0,18.0,0.7,0.5740168654616132
2017.0,10.0,19.0,0.1,0.08200240935165903
2017.0,10.0,20.0,0.1,0.08200240935165903
2017.0,10.0,21.0,0.1,0.08200240935165903
2017.0,10.0,22.0,0.5,0.41001204675829517
2017.0,10.0,23.0,4.4,3.608106011472998
2017.0,10.0,24.0,0.2,0.16400481870331807
2017.0,10.0,25.0,0.1,0.08200240935165903
2017.0,10.0,26.0,0.5,0.41001204675829517
2017.0,10.0,27.0,0.1,0.08200240935165903
2017.0,10.0,28.0,6.4,5.248154198506178
2017.0,10.0,29.0,6.6,5.412159017209496
2017.0,10.0,30.0,0.1,0.08200240935165903
2017.0,10.0,31.0,0.1,0.08200240935165903
2017.0,11.0,1.0,0.1,0.08094715690583083
2017.0,11.0,2.0,0.2,0.16189431381166167
2017.0,11.0,3.0,7.2,5.82819529721982
2017.0,11.0,4.0,10.8,8.74229294582973
2017.0,11.0,5.0,0.2,0.16189431381166167
2017.0,11.0,6.0,0.1,0.08094715690583083
2017.0,11.0,7.0,0.1,0.08094715690583083
2017.0,11.0,8.0,23.2,20.130794102275903
2017.0,11.0,9.0,0.0,0.0
2017.0,11.0,10.0,0.0,0.0
2017.0,11.0,11.0,0.0,0.0
2017.0,11.0,12.0,0.0,0.0
2017.0,11.0,13.0,0.0,0.0
2017.0,11.0,14.0,0.0,0.0
2017.0,11.0,15.0,3.6,2.91409764860991
2017.0,11.0,16.0,1.5,1.2142073535874625
2017.0,11.0,17.0,0.1,0.08094715690583083
2017.0,11.0,18.0,0.1,0.08094715690583083
2017.0,11.0,19.0,0.2,0.16189431381166167
2017.0,11.0,20.0,0.0,0.0
2017.0,11.0,21.0,0.0,0.0
2017.0,11.0,22.0,0.0,0.0
2017.0,11.0,23.0,0.0,0.0
2017.0,11.0,24.0,0.0,0.0
2017.0,11.0,25.0,0.0,0.0
2017.0,11.0,26.0,0.0,0.0
2017.0,11.0,27.0,0.5,0.40473578452915415
2017.0,11.0,28.0,24.6,21.530794102275905
2017.0,11.0,29.0,3.7,2.995044805515741
2017.0,11.0,30.0,3.3,2.6712561778924173
2017.0,12.0,1.0,0.2,0.16116366305752527
2017.0,12.0,2.0,1.0,0.8058183152876264
2017.0,12.0,3.0,0.0,0.0
2017.0,12.0,4.0,0.0,0.0
2017.0,12.0,5.0,0.0,0.0
2017.0,12.0,6.0,0.0,0.0
2017.0,12.0,7.0,0.0,0.0
2017.0,12.0,8.0,0.0,0.0
2017.0,12.0,9.0,0.0,0.0
