iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,1.3191010242030643,2.9071717079966106,0.07623354899017443,0.3237079478043814,0.0,0.25941750616604153,0.047150856088109094
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,0.5372732388517676,3.6431100464018726,2.7922332869070488,0.3938750606870247,0.0,0.23416733646409682,0.08424646648310152
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,4.167677835958145,3.093320607793032,0.4240522955222037,0.0,0.2121014701190731,0.17052959381464694
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.364644328093576,3.1231759598116327,0.41850027406052526,0.0,0.19220251869936078,0.24138971249144148
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,5.227771902277425,3.5694976408099137,0.46593398483578774,0.0,0.17420416138422468,0.31997406657736027
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,5.533838917961759,3.5697400343311756,0.45358761625437793,0.0,0.15785540894936645,0.3804081131232844
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,3.9121340314104174,2.413152801298729,0.3036898528242986,0.0,0.1429454851606522,0.49433887317209546
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,2.8353556719182507,1.711004343283193,0.2184098429340917,0.0,0.12958136455407754,0.6133855003775546
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,2.6218007846028257,2.166599380872185,1.2962131048709722,0.17028343508162003,0.0,0.11778612695743362,0.1249047936704395
