∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2406.3822761669717,2406.3822761669717,0.0,0.0,0.0,0.0,0.0
4686.6613518641225,2280.2790756971513,0.0,0.0,0.0,0.0,0.0
7782.468094371046,3095.8067425069244,0.0,0.0,0.0,0.0,0.0
10986.728048063458,3204.2599536924117,0.0,0.0,0.0,0.0,0.0
14433.87935781412,3447.151309750661,0.0,0.0,0.0,0.0,0.0
18019.165450463315,3585.286092649195,0.0,0.0,0.0,0.0,0.0
21619.165450463315,3600.0,0.0,0.0,0.0,0.0,0.0
25219.165450463315,3600.0,0.0,0.0,0.0,0.0,0.0
28819.165450463315,3600.0,0.0,0.0,0.0,0.0,0.0
32419.165450463315,3600.0,0.0,0.0,0.0,0.0,0.0
36019.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
39619.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
43219.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
46819.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
50419.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
54019.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
57619.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
61219.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
64819.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
68419.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
72019.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
75619.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
79219.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
82819.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
86419.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
90019.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
93619.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
97219.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
100819.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
104419.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
108019.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
111619.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
115219.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
118819.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
122419.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
126019.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
129619.16545046332,3600.0,0.0,0.0,0.0,0.0,0.0
133219.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
136819.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
140419.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
144019.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
147619.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
151219.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
154819.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
158419.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
162019.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
165619.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
169219.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
172819.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
176419.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
180019.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
183619.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
187219.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
190819.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
194419.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
198019.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
201619.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
205219.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
208819.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
212419.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
216019.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
219619.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
223219.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
226819.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
230419.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
234019.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
237619.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
241219.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
244819.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
248419.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
252019.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
255619.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
259219.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
262819.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
266419.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
270019.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
273619.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
277219.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
280819.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
284419.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
288019.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
291619.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
295219.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
298819.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
302419.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
306019.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
309619.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
313219.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
316819.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
320419.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
324019.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
327619.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
331219.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
334819.1654504633,3600.0,0.0,0.0,0.0,0.0,0.0
