iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,13.485362415202076,0.40024213392084107,0.006023918159678843,0.050876064338014615,0.0,0.0,-0.0017364355388909125
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,7.486765439870311,0.8474264954136856,0.6872830851320995,0.10880184210258115,0.0,4.135358722123783e-12,0.0007832134910806254
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,2.1069685489332954,1.7071257556264925,0.2688396130478665,0.0,0.0,0.005571728010711263
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,3.114410841225663,2.520018047353645,0.39401860730773564,0.0,0.0,0.01325142503694604
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,-8.270717444247566e-11,4.814629813366253,3.8885251726567702,0.6019002509354348,0.0,0.0,0.019250924367820443
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,1.6555645743210334e-10,6.0501094860725,4.874037739890753,0.7440336924640558,0.0,0.0,0.026927746476285902
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,-1.6555645743210334e-10,4.242356635104159,3.410793414966392,0.5148210174450991,0.0,0.0,0.03588582415657382
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,2.264082383018234,1.8196854787061199,0.2741482570954705,0.0,0.0,0.04476802537751484
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,1.6555645743210334e-10,0.8997810278362408,0.723371157342509,0.10915098572061943,0.0,-8.277822871605167e-12,0.04847246944254855
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,-1.6555645743210334e-10,1.171616261849067,0.9425507021822419,0.14276684462577904,0.0,0.0,0.05623010373464693
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,49.27343959435632,0.6058538881671183,0.48738672414424045,0.0738109010778043,0.0,8.277822871605167e-12,0.008374386661993971
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,28.392824677517154,1.157571722091916,0.9367865369776531,0.14658994493632704,0.0,0.030506129059965303,0.005593021244284496
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,0.5759050339742089,3.525530619733516,2.8459935332111073,0.4393501885900264,0.0,0.30845434596935206,0.00596130878660304
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,0.0,6.107533878827269,4.887516209986643,0.7713523312352457,0.0,0.2700206592239027,0.006529394943574955
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,0.0,6.807095934554383,5.416717211732077,0.8483296412766101,0.0,0.014276471047793393,0.007146055337766105
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,-1.6555645743210334e-10,6.892904065463085,5.465707020710738,0.8397317796111068,0.0,-8.277822871605167e-12,0.00777165204302897
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,1.6555645743210334e-10,7.128602710280802,5.633390100791075,0.8492324615314217,0.0,8.277822871605167e-12,0.008417376143554114
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,-1.6555645743210334e-10,6.428383738184806,5.059869951597932,0.7501302205544285,0.0,0.0,0.009335276268688346
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,1.6555645743210334e-10,6.0,4.69753446766839,0.6886567772042476,0.0,-8.277822871605167e-12,0.010410695997009778
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,-1.6555645743210334e-10,5.614191869077558,4.371629084684685,0.6344173806944653,0.0,0.0,0.011410597989634522
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,1.6555645743210334e-10,4.242575607259511,3.2901235861767617,0.47400495505275586,0.0,8.277822871605167e-12,0.012376886681794118
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,-1.6555645743210334e-10,4.243013551517151,3.2825483926633297,0.4709861975426328,0.0,0.0,0.01333921513413927
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,1.6555645743210334e-10,4.792904065476847,3.69204511866657,0.5258779129171174,0.0,-8.277822871605167e-12,0.014180418773020377
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,-1.6555645743210334e-10,4.321287803631009,3.3131406238270955,0.4682714346454979,0.0,8.277822871605167e-12,0.014934973821438775
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,0.0,4.128602710262157,3.1533680239280244,0.4430213614039218,0.0,0.0,0.01565252829623602
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,1.6555645743210334e-10,3.749890513932769,2.8531187242690663,0.39846276507913103,0.0,0.0,0.01667852306288855
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,-1.6555645743210334e-10,4.20731490669678,3.1889808720865034,0.4428229467005771,0.0,-8.277822871605167e-12,0.017603242581762813
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,1.6555645743210334e-10,4.53569864481932,3.41859991988656,0.47068721681589665,0.0,8.277822871605167e-12,0.01837853094546133
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,-1.6555645743210334e-10,5.6574243927691725,4.2332595949599465,0.5766465438805639,0.0,0.0,0.01898584509413711
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,27.66935162197541,2.331108027990666,1.732832557282137,0.2337910522928084,0.0,-8.277822871605167e-12,0.014417856136449692
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,16.42074818372734,1.3552556186280924,1.0272890013380902,0.14305545615017223,0.0,0.0,0.012770979791040006
33.0,2017.0,12.0,21.0,0.0,0.0,0.0,1527.0002777777777,24.14040906243386,2.764453135902045,2.0970940019770126,0.29243348539718994,0.0,8.277822871605167e-12,0.010814584910548042
34.0,2017.0,12.0,22.0,0.0,0.0,0.0,1551.0002777777777,13.115074807665223,4.666492236839986,3.5492289197533182,0.4969867440831237,0.0,0.0,0.010067473117577892
35.0,2017.0,12.0,23.0,0.0,0.0,0.0,1575.0002777777777,3.311129148642067e-10,2.737260924829002,2.0666118341379445,0.28593079118560993,0.0,-8.277822871605167e-12,0.010392908122802722
36.0,2017.0,12.0,24.0,0.0,0.0,0.0,1599.0002777777777,0.0,2.1637461889662575,1.629715071697916,0.22475904830063698,0.0,8.277822871605167e-12,0.010833228241873633
37.0,2017.0,12.0,25.0,0.0,0.0,0.0,1623.0002777777777,0.0,3.1497482216179833,2.362754628935292,0.32389918595969647,0.0,0.0,0.011187320252759994
38.0,2017.0,12.0,26.0,0.0,0.0,0.0,1647.0002777777777,0.0,4.749244664588588,3.5372901833122086,0.4798582960983211,0.0,8.277822871605167e-12,0.01145056247431332
39.0,2017.0,12.0,27.0,0.0,0.0,0.0,1671.0002777777777,7.1735356052414545,1.966263973583466,1.4543971186715083,0.19533225231067775,0.0,0.0,0.010996536280600787
40.0,2017.0,12.0,28.0,0.0,0.0,0.0,1695.0002777777777,3.9915445066462496,1.038602290239936,0.7732237763198242,0.10497327692380409,0.0,-1.6555645743210334e-11,0.010964078995364054
41.0,2017.0,12.0,29.0,0.0,0.0,0.0,1719.0002777777777,3.311129148642067e-10,0.7706549587688585,0.5733148484846993,0.07775293668209216,0.0,0.0,0.01118133087474859
42.0,2017.0,12.0,30.0,0.0,0.0,0.0,1743.0002777777777,-3.311129148642067e-10,0.23575025405415317,0.1756993164055416,0.02390022523215407,0.0,0.0,0.011258158477878966
43.0,2017.0,12.0,31.0,0.0,0.0,0.0,1767.0002777777777,3.311129148642067e-10,2.641490345611686,1.9665513888350574,0.2670897393072984,0.0,0.0,0.011482871297715531
44.0,2018.0,1.0,1.0,0.0,0.0,0.0,1791.0002777777777,-3.311129148642067e-10,4.192749237786558,3.0983947353112598,0.4163040348094036,0.0,0.0,0.01182111383013311
45.0,2018.0,1.0,2.0,0.0,0.0,0.0,1815.0002777777777,3.311129148642067e-10,3.27200406503934,2.3995658224676646,0.31903239594375066,0.0,1.6555645743210334e-11,0.012208758995185514
46.0,2018.0,1.0,3.0,0.0,0.0,0.0,1839.0002777777777,57.820418714765225,1.7110660216935685,1.2389451959470534,0.18173070666517077,0.0,-2.2886581518832827e-11,0.009245420926640158
47.0,2018.0,1.0,4.0,0.0,0.0,0.0,1863.0002777777777,186.780152506783,1.9836797985330463,1.4863564194525054,0.25908541045138733,0.0,1.539746108392137e-11,0.005082680761342662
48.0,2018.0,1.0,5.0,0.0,0.0,0.0,1887.0002777777777,206.17594392106867,1.6357086324020997,1.2684971247594916,0.24055510327263718,0.0,-5.5422333389287814e-12,0.0033479774522095634
49.0,2018.0,1.0,6.0,0.0,0.0,0.0,1911.0002777777777,107.22298893914683,0.3886474921307297,0.30495320716444496,0.06039243991466847,0.0,0.010568586125209833,0.002794064027233402
50.0,2018.0,1.0,7.0,0.0,0.0,0.0,1935.0002777777777,32.063747183504745,-6.625100468227174e-11,3.311129148642067e-11,8.277822871605167e-12,0.0,0.3584716825846854,0.002644102738705742
51.0,2018.0,1.0,8.0,0.0,0.0,0.0,1959.0002777777777,18.71562057633838,1.2808278911316506,1.0000945121113176,0.19379228098060963,0.0,1.1788033836433414,0.002588398219134964
52.0,2018.0,1.0,9.0,0.0,0.0,0.0,1983.0002777777777,7.60144473872856,4.827393942292986,3.753246124781512,0.714322212091961,0.0,1.8594951341195411,0.002598137142303508
53.0,2018.0,1.0,10.0,0.0,0.0,0.0,2007.0002777777777,0.0,5.983104317344299,4.621043379762568,0.8545807709641267,0.0,2.1199362966641644,0.0026684581679416765
54.0,2018.0,1.0,11.0,0.0,0.0,0.0,2031.0002777777777,0.0,2.977465485513534,2.2890087882744297,0.4146452763571986,0.0,2.0320702343188657,0.0027456652270769007
55.0,2018.0,1.0,12.0,0.0,0.0,0.0,2055.0002777777777,0.0,2.8784470884822326,2.2058581082198145,0.39481056655824887,0.0,1.7822086764108178,0.002807007798615785
56.0,2018.0,1.0,13.0,0.0,0.0,0.0,2079.0002777777777,0.0,2.287193248989496,1.7447254531467422,0.3093131527860571,0.0,1.520013359975465,0.0028737611810268036
57.0,2018.0,1.0,14.0,0.0,0.0,0.0,2103.0002777777777,0.0,2.3876840505739665,1.8132839646522427,0.31913707325865914,0.0,1.2872376236430512,0.00294986456925876
58.0,2018.0,1.0,15.0,0.0,0.0,0.0,2127.0002777777777,0.0,3.981526075789617,3.0031771331139794,0.5230892969016914,0.0,1.088001351285925,0.003013476038042087
59.0,2018.0,1.0,16.0,0.0,0.0,0.0,2151.0002777777777,0.0,2.7620705487777286,2.068677880234503,0.35655776660356864,0.0,0.9125381944854851,0.003098929733167833
60.0,2018.0,1.0,17.0,0.0,0.0,0.0,2175.0002777777777,0.0,1.5374386498493777,1.147428942894038,0.19686275088045235,0.0,0.7526269823727034,0.0031920895594567417
61.0,2018.0,1.0,18.0,0.0,0.0,0.0,2199.0002777777777,0.0,3.1066487761590906,2.308552752232032,0.3936857850349469,0.0,0.6118313830186892,0.003270527567364079
62.0,2018.0,1.0,19.0,0.0,0.0,0.0,2223.0002777777777,11.517226230894266,1.6371026780100237,1.2107919956128512,0.20509269357315318,0.0,0.4898802768679644,0.003238270736353469
63.0,2018.0,1.0,20.0,0.0,0.0,0.0,2247.0002777777777,19.048205164775425,0.8187456887146709,0.6095810886714617,0.10439912953856734,0.0,0.38372244835703384,0.003137861072460125
64.0,2018.0,1.0,21.0,0.0,0.0,0.0,2271.0002777777777,7.315837353537518,3.097918845737979,2.306820648513252,0.3950829532850406,0.0,0.2982580534967525,0.0031202870454832736
65.0,2018.0,1.0,22.0,0.0,0.0,0.0,2295.0002777777777,0.7628677513349658,4.963970825638626,3.660448447760132,0.6178345227159312,0.0,0.23538535128973592,0.00316217773677944
66.0,2018.0,1.0,23.0,0.0,0.0,0.0,2319.0002777777777,14.283089847244526,2.461687044291125,1.80128417333313,0.3007492609555058,0.0,0.18312887245345166,0.0031089264950422777
67.0,2018.0,1.0,24.0,0.0,0.0,0.0,2343.0002777777777,90.62855389279264,2.246537504864932,1.6723774083411627,0.28711752303873084,0.0,0.12572320578453144,0.0027812560694653182
68.0,2018.0,1.0,25.0,0.0,0.0,0.0,2367.0002777777777,49.21679417684544,4.622078540356711,3.5109503740138166,0.6211075571950317,0.0,0.07626559267162492,0.0026373532280703355
69.0,2018.0,1.0,26.0,0.0,0.0,0.0,2391.0002777777777,0.7628677506727399,5.426152469336614,4.065587914121863,0.7028487185900971,0.0,0.048981513102141605,0.0026752467541401575
70.0,2018.0,1.0,27.0,0.0,0.0,0.0,2415.0002777777777,23.821502049780747,3.2024028029718465,2.377064538655844,0.40521040465318237,0.0,0.06781202153794652,0.0026111005939963277
