∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,3600.0,0.0,0.0,0.0,0.0,0.0
7151.694516848549,3551.6945168485486,0.0,0.0,0.0,0.0,0.0
10751.694516848549,3600.0,0.0,0.0,0.0,0.0,0.0
14351.694516848549,3600.0,0.0,0.0,0.0,0.0,0.0
17951.694516848547,3600.0,0.0,0.0,0.0,0.0,0.0
21551.694516848547,3600.0,0.0,0.0,0.0,0.0,0.0
25151.694516848547,3600.0,0.0,0.0,0.0,0.0,0.0
28751.694516848547,3600.0,0.0,0.0,0.0,0.0,0.0
32351.694516848547,3600.0,0.0,0.0,0.0,0.0,0.0
35951.69451684855,3600.0,0.0,0.0,0.0,0.0,0.0
39551.69451684855,3600.0,0.0,0.0,0.0,0.0,0.0
43151.69451684855,3600.0,0.0,0.0,0.0,0.0,0.0
46751.69451684855,3600.0,0.0,0.0,0.0,0.0,0.0
50351.69451684855,3600.0,0.0,0.0,0.0,0.0,0.0
53951.69451684855,3600.0,0.0,0.0,0.0,0.0,0.0
57551.69451684855,3600.0,0.0,0.0,0.0,0.0,0.0
61151.69451684855,3600.0,0.0,0.0,0.0,0.0,0.0
64751.69451684855,3600.0,0.0,0.0,0.0,0.0,0.0
68351.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
71951.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
75551.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
79151.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
82751.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
86351.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
89951.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
93551.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
97151.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
100751.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
104351.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
107951.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
111551.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
115151.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
118751.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
122351.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
125951.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
129551.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
133151.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
136751.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
140351.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
143951.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
147551.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
151151.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
154751.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
158351.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
161951.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
165551.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
169151.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
172751.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
176351.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
179951.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
183551.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
187151.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
190751.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
194351.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
197951.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
201551.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
205151.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
208751.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
212351.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
215951.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
219551.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
223151.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
226751.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
230351.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
233951.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
237551.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
241151.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
244751.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
248351.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
251951.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
255551.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
259151.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
262751.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
266351.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
269951.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
273551.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
277151.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
280751.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
284351.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
287951.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
291551.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
295151.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
298751.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
302351.69451684854,3600.0,0.0,0.0,0.0,0.0,0.0
