iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,9.7296527765657,3.6694907977631033,0.10629662209838386,0.6112295903875804,0.0,0.5273007856074443,0.001139708540207951
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,5.774245212110998,4.694363607302208,3.7131263530520044,0.7905731583466569,0.0,0.4862323742579413,0.005051168726334432
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,30.995316654037595,4.293805013973326,3.395178788117022,0.7219999271032869,0.0,0.46143541219919015,0.0012414416302684306
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,16.140598330482874,4.224525416562969,3.388931101566641,0.7588833922067337,0.0,0.4073624655478696,0.0010327576380217227
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.2647496299988461,4.891591273771795,3.8515404526121984,0.806199933596023,0.0,0.37426304868687055,0.0017282449793076561
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,1.6555645743210334e-10,4.73488368924005,3.679523716565413,0.7317440790792027,0.0,0.3452074403210581,0.0024597857450101707
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,-1.6555645743210334e-10,3.6720929123943336,2.831332454746729,0.5454802268213435,0.0,0.3198556628387017,0.0033697077597913683
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,3.6639535438109334,2.8127932922020022,0.5334727301253892,0.0,0.29755865643016577,0.004499465921957949
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,1.6555645743210334e-10,4.231395388427771,3.2216315853602424,0.5946100836132118,0.0,0.2777043125076588,0.005332799481651638
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,-1.6555645743210334e-10,3.737209223139132,2.821148559663527,0.5071623732377013,0.0,0.2598597795045485,0.006234469621116727
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,0.0,4.261628009943678,3.19407483711133,0.5622492740777965,0.0,0.24371731928313167,0.007029037021970934
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,1.6555645743210334e-10,3.83837199005697,2.847357528940691,0.4859248084602541,0.0,0.22903071026488675,0.007920904308009735
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,-1.6555645743210334e-10,4.659302476057093,3.426006375850278,0.5699015713810773,0.0,0.21563064295294154,0.008748151322841548
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,0.0,4.902325533868833,3.520722179044242,0.5935729114861523,0.0,0.20335436293961706,0.009424910241159375
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,1.6555645743210334e-10,5.163953543811232,3.630528390808479,0.6032200589979126,0.0,0.1920823254487729,0.010119621885680039
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,-1.6555645743210334e-10,5.532558155364711,3.8088080868692487,0.5933386521264659,0.0,0.1816990690722342,0.010844881008702602
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.334883689269702,3.5981497035330534,0.5251358501402201,0.0,0.1721083080150123,0.011530035379738433
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,1.6555645743210334e-10,5.796511699178325,3.8326654415457,0.5236889461823573,0.0,0.16322632894460298,0.012256289498261741
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.569767378505759,3.60504595306611,0.4557131833043684,0.0,0.15498476488397728,0.013372354670725527
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,-1.6555645743210334e-10,4.769767378504525,3.043624126938525,0.365403795221102,0.0,0.1473266982110708,0.014531294890187042
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,5.229069854543496,3.297290182608066,0.37903113503208985,0.0,0.14019303627001634,0.015558077895677397
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,2.0109190984601355,4.391016246449993,2.741390116742835,0.30749290626350145,0.0,0.1328638312988133,0.015852907353713558
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,1.548488924038054,4.3700614380082925,2.741108211236565,0.3291290364835291,0.0,0.12714899747589214,0.016349051485589603
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,0.7645074652896255,5.660178539802331,3.4949195238851303,0.393364948848685,0.0,0.12158304233312833,0.01689480994007242
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,0.7645074651240691,6.110868893639093,3.702208488431978,0.3821914067100032,0.0,0.11616537607508803,0.017629470114313456
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,2.2600701091549524,5.686776278239478,3.402124761308812,0.33825263854820875,0.0,0.11079806776989543,0.01802792915588819
