iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,18.0,9.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,19.0,9.0,0.0,0.0,768.0,0.7296179845188533,3.9608575778497084,0.0,0.510593235713916,0.0,0.6336037456020769,0.0
3.0,2017.0,11.0,20.0,9.0,0.0,0.0,792.0,1.425582174988449,2.3779397854061415,0.669787322079415,0.29623858601721054,0.0,0.5975196255553605,0.02854805512711589
4.0,2017.0,11.0,21.0,9.0,0.0,0.0,816.0,0.013461517670450007,4.279930992240551,3.0376683800076023,0.5024844667307775,0.0,0.5643897187878899,0.0896589510768322
5.0,2017.0,11.0,22.0,9.0,0.0,0.0,840.0,0.0,4.10558656336066,2.8467690583220673,0.4437820776668584,0.0,0.5323067745360888,0.14752394303159044
6.0,2017.0,11.0,23.0,9.0,0.0,0.0,864.0,3.254285729781259e-11,4.506517657235662,3.046093499685142,0.4469599095025476,0.0,0.5010703177783213,0.20829012372010247
7.0,2017.0,11.0,24.0,9.0,0.0,0.0,888.0,0.0,5.588826873292149,3.646907891963778,0.4911881702468843,0.0,0.47082975074822286,0.2789773934348547
8.0,2017.0,11.0,25.0,9.0,0.0,0.0,912.0,0.0,5.478584840483606,3.4292261583096177,0.4181636071519428,0.0,0.4412263340288263,0.3459706813135055
9.0,2017.0,11.0,26.0,9.0,0.0,0.0,936.0,0.0,3.1186218778431964,1.8989715559068046,0.2202726652550897,0.0,0.41279212505316565,0.42422870171040117
10.0,2017.0,11.0,27.0,9.0,0.0,0.0,960.0,0.033653794016714755,2.695916628266815,1.619532501983148,0.18568354265195453,0.0,0.38709279528791996,0.5283842643749779
11.0,2017.0,11.0,28.0,9.0,0.0,0.0,984.0,5.745112807268029,1.8665796383887425,1.1277328588157118,0.1386177437655931,0.0,0.3645525608556355,0.05806920515207281
12.0,2017.0,11.0,29.0,9.0,0.0,0.0,1008.0,216.03968195747484,1.5988835405959918,1.1899542896838717,0.271479833282104,0.0,0.3445872055097965,0.0014237274078505724
13.0,2017.0,11.0,30.0,9.0,0.0,0.0,1032.0,28.42206116379785,1.793070346586532,1.379567890464827,0.3111646872224014,0.0,0.3267583695884895,0.0012473131435775863
14.0,2017.0,12.0,1.0,9.0,0.0,0.0,1056.0,23.787016880034173,1.9018302337333353,1.4522925699304992,0.31504543008211705,0.0,0.3107154233095102,0.0011043360396441049
15.0,2017.0,12.0,2.0,9.0,0.0,0.0,1080.0,1.4935855528527497,4.101418920651184,3.0792548847137766,0.6295295705106358,0.0,0.29628949552968464,0.001163589050991628
16.0,2017.0,12.0,3.0,9.0,0.0,0.0,1104.0,6.934983453808172,5.195471905749116,3.7834924557468668,0.7987754442593911,0.0,0.2833424314190154,0.0012505149971702048
