∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2135.9621265212822,2135.9621265212822,0.0,0.0,0.0,0.0,0.0
4034.7583194848175,1898.7961929635353,0.0,0.0,0.0,0.0,0.0
6945.44719046375,2910.688870978933,0.0,0.0,0.0,0.0,0.0
10386.046084708794,3440.5988942450444,0.0,0.0,0.0,0.0,0.0
13955.311284794006,3569.2652000852117,0.0,0.0,0.0,0.0,0.0
17555.311284794006,3600.0,0.0,0.0,0.0,0.0,0.0
21155.311284794006,3600.0,0.0,0.0,0.0,0.0,0.0
24755.311284794006,3600.0,0.0,0.0,0.0,0.0,0.0
28355.311284794006,3600.0,0.0,0.0,0.0,0.0,0.0
31955.311284794006,3600.0,0.0,0.0,0.0,0.0,0.0
35555.31128479401,3600.0,0.0,0.0,0.0,0.0,0.0
39155.31128479401,3600.0,0.0,0.0,0.0,0.0,0.0
42755.31128479401,3600.0,0.0,0.0,0.0,0.0,0.0
46355.31128479401,3600.0,0.0,0.0,0.0,0.0,0.0
49955.31128479401,3600.0,0.0,0.0,0.0,0.0,0.0
53555.31128479401,3600.0,0.0,0.0,0.0,0.0,0.0
57155.31128479401,3600.0,0.0,0.0,0.0,0.0,0.0
60755.31128479401,3600.0,0.0,0.0,0.0,0.0,0.0
64355.31128479401,3600.0,0.0,0.0,0.0,0.0,0.0
67955.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
71555.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
75155.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
78755.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
82355.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
85955.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
89555.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
93155.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
96755.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
100355.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
103955.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
107555.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
111155.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
114755.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
118355.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
121955.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
125555.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
129155.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
132755.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
136355.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
139955.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
143555.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
147155.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
150755.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
154355.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
157955.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
161555.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
165155.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
168755.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
172355.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
175955.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
179555.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
183155.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
186755.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
190355.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
193955.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
197555.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
201155.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
204755.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
208355.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
211955.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
215555.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
219155.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
222755.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
226355.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
229955.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
233555.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
237155.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
240755.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
244355.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
247955.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
251555.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
255155.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
258755.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
262355.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
265955.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
269555.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
273155.311284794,3600.0,0.0,0.0,0.0,0.0,0.0
