iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,18.0,9.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,19.0,9.0,0.0,0.0,768.0,0.2207399239821939,0.82431746733333,0.0,0.06146777666745695,0.0,1.329349429743644,0.0
3.0,2017.0,11.0,20.0,9.0,0.0,0.0,792.0,22.293896289952784,0.22100209853070396,0.07308627916890309,0.016866239465554322,0.0,1.2405969490248765,-0.0008155279102704943
4.0,2017.0,11.0,21.0,9.0,0.0,0.0,816.0,0.21638316704738259,1.3696048205328566,1.0715413451053895,0.10384297563727785,0.0,1.1769740520446987,0.003196327549083444
5.0,2017.0,11.0,22.0,9.0,0.0,0.0,840.0,0.0,2.595896946652573,2.019278672821727,0.19307726842217132,0.0,1.135287532352919,0.009670500955228561
6.0,2017.0,11.0,23.0,9.0,0.0,0.0,864.0,0.0,3.41332700609955,2.6382451354728573,0.24904531755107584,0.0,1.0906609014915745,0.017187816351429103
7.0,2017.0,11.0,24.0,9.0,0.0,0.0,888.0,5.2438053899095394e-11,5.585721064891786,4.27827451356444,0.396572425173364,0.0,1.0344926202596838,0.022760038712259956
8.0,2017.0,11.0,25.0,9.0,0.0,0.0,912.0,0.0,6.262874768759488,4.742535591017003,0.43048094714829244,0.0,0.9664594843394667,0.02886173053150609
9.0,2017.0,11.0,26.0,9.0,0.0,0.0,936.0,0.0,3.118086651129744,2.345836704130761,0.21124532636250226,0.0,0.8906802256519626,0.03546297342864163
10.0,2017.0,11.0,27.0,9.0,0.0,0.0,960.0,1.0359713087382261e-10,1.7990480709925833,1.352347117154011,0.12204564516928507,0.0,0.818007933176375,0.043301971054671595
11.0,2017.0,11.0,28.0,9.0,0.0,0.0,984.0,0.0,0.42475015415246276,0.3197552273356443,0.02901550058008162,0.0,0.7564827532466154,0.04685102896754925
12.0,2017.0,11.0,29.0,9.0,0.0,0.0,1008.0,0.790630802437704,1.5765781648043742,1.186796957932554,0.10775115224516885,0.0,0.7075015616581055,0.0501634609867585
13.0,2017.0,11.0,30.0,9.0,0.0,0.0,1032.0,82.00733956988813,0.3572471747203707,0.2745871394255346,0.02658356916564486,0.0,0.6689798608930602,0.005094582845742712
14.0,2017.0,12.0,1.0,9.0,0.0,0.0,1056.0,1.9955806051311242,2.1495212788006057,1.658501448511636,0.15848552798809923,0.0,0.6412960952726934,0.00514651520468188
15.0,2017.0,12.0,2.0,9.0,0.0,0.0,1080.0,0.010636712793541392,4.500856995088981,3.42490671344693,0.31662159790619704,0.0,0.6335945371845924,0.005550236087343994
16.0,2017.0,12.0,3.0,9.0,0.0,0.0,1104.0,6.977529665164184e-11,6.982967048461376,5.19483303228526,0.4935326078744744,0.0,0.6298328914139262,0.00610596004035242
17.0,2017.0,12.0,4.0,9.0,0.0,0.0,1128.0,0.0,6.7036499181691624,4.9043762898270415,0.45363637260606815,0.0,0.6124669530426843,0.006672807600489446
18.0,2017.0,12.0,5.0,9.0,0.0,0.0,1152.0,0.0,6.999391680292462,5.040790686776347,0.45584571573208343,0.0,0.5814518955326946,0.007246799160613989
19.0,2017.0,12.0,6.0,9.0,0.0,0.0,1176.0,0.0,7.191483524257336,5.094753475479536,0.4508003570721879,0.0,0.5428235334259597,0.007819946133478153
20.0,2017.0,12.0,7.0,9.0,0.0,0.0,1200.0,0.0,6.007299836383652,4.195656859882206,0.3655064552012277,0.0,0.5014785502739301,0.008750327445154374
21.0,2017.0,12.0,8.0,9.0,0.0,0.0,1224.0,0.0,5.996350081785408,4.136560183304198,0.3559391314913789,0.0,0.4611433512462497,0.009675953875175267
