Year,Month,Day,Pr,Pr_Ground
2017.0,10.0,17.0,0.0,0.0
2017.0,10.0,18.0,0.0,0.0
2017.0,10.0,19.0,0.0,0.0
2017.0,10.0,20.0,0.0,0.0
2017.0,10.0,21.0,0.0,0.0
2017.0,10.0,22.0,1.9,1.534083301725152
2017.0,10.0,23.0,15.1,12.191925187394629
2017.0,10.0,24.0,0.1,0.08074122640658696
2017.0,10.0,25.0,0.1,0.08074122640658696
2017.0,10.0,26.0,2.7,2.1800131129778477
2017.0,10.0,27.0,40.6,37.325043316
2017.0,10.0,28.0,16.1,14.500000000000002
2017.0,10.0,29.0,0.7,0.5651885848461087
2017.0,10.0,30.0,0.1,0.08074122640658696
2017.0,10.0,31.0,0.1,0.08074122640658696
2017.0,11.0,1.0,0.1,0.07648202702494472
2017.0,11.0,2.0,0.2,0.15296405404988944
2017.0,11.0,3.0,0.8,0.6118562161995578
2017.0,11.0,4.0,3.3,2.5239068918231755
2017.0,11.0,5.0,0.1,0.07648202702494472
2017.0,11.0,6.0,0.1,0.07648202702494472
2017.0,11.0,7.0,0.1,0.07648202702494472
2017.0,11.0,8.0,14.6,11.16637594564193
2017.0,11.0,9.0,0.0,0.0
2017.0,11.0,10.0,0.0,0.0
2017.0,11.0,11.0,0.0,0.0
2017.0,11.0,12.0,0.0,0.0
2017.0,11.0,13.0,5.5,4.2065114863719595
2017.0,11.0,14.0,7.5,5.736152026870854
2017.0,11.0,15.0,0.1,0.07648202702494472
2017.0,11.0,16.0,0.1,0.07648202702494472
2017.0,11.0,17.0,0.1,0.07648202702494472
2017.0,11.0,18.0,0.3,0.22944608107483416
2017.0,11.0,19.0,1.8,1.376676486449005
2017.0,11.0,20.0,0.1,0.07648202702494472
2017.0,11.0,21.0,5.9,4.512439594471739
2017.0,11.0,22.0,0.1,0.07648202702494472
2017.0,11.0,23.0,0.0,0.0
2017.0,11.0,24.0,0.0,0.0
2017.0,11.0,25.0,0.0,0.0
2017.0,11.0,26.0,0.0,0.0
2017.0,11.0,27.0,0.0,0.0
2017.0,11.0,28.0,0.0,0.0
2017.0,11.0,29.0,0.0,0.0
2017.0,11.0,30.0,0.0,0.0
2017.0,12.0,1.0,0.0,0.0
2017.0,12.0,2.0,0.0,0.0
2017.0,12.0,3.0,0.0,0.0
2017.0,12.0,4.0,0.0,0.0
2017.0,12.0,5.0,0.0,0.0
2017.0,12.0,6.0,0.0,0.0
2017.0,12.0,7.0,0.0,0.0
2017.0,12.0,8.0,0.0,0.0
2017.0,12.0,9.0,0.0,0.0
2017.0,12.0,10.0,0.4,0.29944963963325
2017.0,12.0,11.0,0.1,0.0748624099083125
2017.0,12.0,12.0,0.1,0.0748624099083125
2017.0,12.0,13.0,0.1,0.0748624099083125
2017.0,12.0,14.0,0.4,0.29944963963325
2017.0,12.0,15.0,0.0,0.0
2017.0,12.0,16.0,0.0,0.0
2017.0,12.0,17.0,0.0,0.0
2017.0,12.0,18.0,0.7,0.5240368693581875
2017.0,12.0,19.0,0.1,0.0748624099083125
2017.0,12.0,20.0,2.6,1.946422657616125
2017.0,12.0,21.0,0.0,0.0
2017.0,12.0,22.0,0.0,0.0
2017.0,12.0,23.0,0.0,0.0
2017.0,12.0,24.0,0.0,0.0
2017.0,12.0,25.0,0.0,0.0
2017.0,12.0,26.0,3.6,2.69504675669925
2017.0,12.0,27.0,0.0,0.0
2017.0,12.0,28.0,0.0,0.0
2017.0,12.0,29.0,0.0,0.0
2017.0,12.0,30.0,0.0,0.0
2017.0,12.0,31.0,0.0,0.0
2018.0,1.0,1.0,3.5,2.3944997681545113
2018.0,1.0,2.0,7.3,4.994242373579409
2018.0,1.0,3.0,9.6,6.567770792652373
2018.0,1.0,4.0,22.9,20.738160097768215
2018.0,1.0,5.0,12.8,10.925043316
2018.0,1.0,6.0,2.4,1.6419426981630934
2018.0,1.0,7.0,0.0,0.0
2018.0,1.0,8.0,0.0,0.0
2018.0,1.0,9.0,0.0,0.0
2018.0,1.0,10.0,0.0,0.0
2018.0,1.0,11.0,0.0,0.0
2018.0,1.0,12.0,0.0,0.0
2018.0,1.0,13.0,0.0,0.0
2018.0,1.0,14.0,0.0,0.0
2018.0,1.0,15.0,0.0,0.0
2018.0,1.0,16.0,0.0,0.0
2018.0,1.0,17.0,0.0,0.0
2018.0,1.0,18.0,4.9,3.352299675416316
2018.0,1.0,19.0,5.1,3.489128233596573
2018.0,1.0,20.0,0.1,0.0684142790901289
2018.0,1.0,21.0,0.1,0.0684142790901289
2018.0,1.0,22.0,0.8,0.5473142327210312
2018.0,1.0,23.0,22.2,18.450086632
2018.0,1.0,24.0,0.1,0.0684142790901289
2018.0,1.0,25.0,0.1,0.0684142790901289
2018.0,1.0,26.0,0.5,0.34207139545064447
2018.0,1.0,27.0,0.0,0.0
2018.0,1.0,28.0,0.0,0.0
2018.0,1.0,29.0,0.0,0.0
2018.0,1.0,30.0,0.0,0.0
2018.0,1.0,31.0,0.0,0.0
2018.0,2.0,1.0,48.8,45.050086631999996
2018.0,2.0,2.0,9.7,7.825043316
2018.0,2.0,3.0,0.1,0.06031211576935633
2018.0,2.0,4.0,0.1,0.06031211576935633
2018.0,2.0,5.0,1.5,0.9046817365403448
2018.0,2.0,6.0,0.1,0.06031211576935633
2018.0,2.0,7.0,1.6,0.9649938523097012
2018.0,2.0,8.0,0.2,0.12062423153871266
2018.0,2.0,9.0,14.7,11.225043316
2018.0,2.0,10.0,17.0,16.0
2018.0,2.0,11.0,0.1,0.06031211576935633
2018.0,2.0,12.0,1.7,1.0253059680790575
2018.0,2.0,13.0,39.0,35.525043316
2018.0,2.0,14.0,4.7,2.8346694411597473
2018.0,2.0,15.0,0.0,0.0
2018.0,2.0,16.0,0.0,0.0
2018.0,2.0,17.0,0.0,0.0
2018.0,2.0,18.0,0.0,0.0
2018.0,2.0,19.0,5.5,3.3171663673145977
2018.0,2.0,20.0,0.5,0.3015605788467816
2018.0,2.0,21.0,1.2,0.7237453892322758
2018.0,2.0,22.0,0.1,0.06031211576935633
2018.0,2.0,23.0,0.0,0.0
2018.0,2.0,24.0,0.0,0.0
2018.0,2.0,25.0,0.0,0.0
2018.0,2.0,26.0,0.0,0.0
2018.0,2.0,27.0,0.7,0.4221848103854942
2018.0,2.0,28.0,0.1,0.06031211576935633
2018.0,3.0,1.0,0.1,0.056763987893523354
2018.0,3.0,2.0,0.0,0.0
2018.0,3.0,3.0,0.0,0.0
2018.0,3.0,4.0,0.0,0.0
2018.0,3.0,5.0,0.0,0.0
2018.0,3.0,6.0,0.0,0.0
2018.0,3.0,7.0,13.7,9.950086632
2018.0,3.0,8.0,0.2,0.11352797578704671
2018.0,3.0,9.0,0.0,0.0
2018.0,3.0,10.0,0.0,0.0
2018.0,3.0,11.0,0.0,0.0
2018.0,3.0,12.0,31.8,28.050086632
2018.0,3.0,13.0,0.2,0.11352797578704671
2018.0,3.0,14.0,1.8,1.0217517820834203
2018.0,3.0,15.0,0.0,0.0
2018.0,3.0,16.0,0.0,0.0
2018.0,3.0,17.0,0.0,0.0
2018.0,3.0,18.0,0.0,0.0
2018.0,3.0,19.0,0.0,0.0
2018.0,3.0,20.0,4.4,2.4976154673150277
2018.0,3.0,21.0,0.3,0.17029196368057004
2018.0,3.0,22.0,0.8,0.45411190314818684
2018.0,3.0,23.0,0.9,0.5108758910417102
2018.0,3.0,24.0,0.9,0.5108758910417102
2018.0,3.0,25.0,7.6,4.314063079907775
2018.0,3.0,26.0,0.0,0.0
2018.0,3.0,27.0,0.0,0.0
2018.0,3.0,28.0,0.0,0.0
2018.0,3.0,29.0,5.8,3.2923112978243543
2018.0,3.0,30.0,0.5,0.28381993946761674
2018.0,3.0,31.0,0.0,0.0
2018.0,4.0,1.0,0.0,0.0
2018.0,4.0,2.0,0.0,0.0
2018.0,4.0,3.0,0.0,0.0
2018.0,4.0,4.0,0.0,0.0
2018.0,4.0,5.0,0.0,0.0
2018.0,4.0,6.0,0.0,0.0
2018.0,4.0,7.0,0.0,0.0
2018.0,4.0,8.0,0.0,0.0
2018.0,4.0,9.0,0.0,0.0
2018.0,4.0,10.0,2.2,1.3185197366314974
2018.0,4.0,11.0,2.7,1.6181833131386558
2018.0,4.0,12.0,6.1,3.655895633387333
2018.0,4.0,13.0,1.5,0.8989907295214754
2018.0,4.0,14.0,15.5,12.825043316
2018.0,4.0,15.0,1.0,0.5993271530143169
2018.0,4.0,16.0,3.4,2.0377123202486773
2018.0,4.0,17.0,3.8,2.2774431814544043
2018.0,4.0,18.0,1.0,0.5993271530143169
2018.0,4.0,19.0,0.1,0.0599327153014317
2018.0,4.0,20.0,0.8,0.4794617224114536
2018.0,4.0,21.0,3.3,1.9777796049472458
2018.0,4.0,22.0,0.0,0.0
2018.0,4.0,23.0,0.0,0.0
2018.0,4.0,24.0,0.0,0.0
2018.0,4.0,25.0,0.0,0.0
2018.0,4.0,26.0,0.0,0.0
2018.0,4.0,27.0,0.0,0.0
2018.0,4.0,28.0,26.7,23.725043316
2018.0,4.0,29.0,7.2,6.5
2018.0,4.0,30.0,2.0,1.1986543060286339
2018.0,5.0,1.0,0.0,0.0
2018.0,5.0,2.0,0.0,0.0
2018.0,5.0,3.0,0.0,0.0
2018.0,5.0,4.0,0.0,0.0
2018.0,5.0,5.0,0.0,0.0
2018.0,5.0,6.0,0.0,0.0
2018.0,5.0,7.0,0.0,0.0
2018.0,5.0,8.0,0.0,0.0
2018.0,5.0,9.0,7.8,4.985294883464253
2018.0,5.0,10.0,0.2,0.12782807393498086
2018.0,5.0,11.0,0.4,0.2556561478699617
2018.0,5.0,12.0,26.4,24.391789243792562
2018.0,5.0,13.0,15.5,14.5
2018.0,5.0,14.0,2.5,1.5978509241872607
2018.0,5.0,15.0,0.1,0.06391403696749043
2018.0,5.0,16.0,1.6,1.0226245914798469
2018.0,5.0,17.0,3.5,2.236991293862165
2018.0,5.0,18.0,0.1,0.06391403696749043
