∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2161.287928464444,2161.287928464444,0.0,0.0,0.0,0.0,0.0
4388.791277688402,2227.5033492239586,0.0,0.0,0.0,0.0,0.0
6940.425866933562,2551.63458924516,0.0,0.0,0.0,0.0,0.0
9585.280512815978,2644.854645882416,0.0,0.0,0.0,0.0,0.0
12352.493738095965,2767.2132252799875,0.0,0.0,0.0,0.0,0.0
15226.910514773395,2874.41677667743,0.0,0.0,0.0,0.0,0.0
18210.921608966535,2984.0110941931393,0.0,0.0,0.0,0.0,0.0
21319.498803861363,3108.5771948948277,0.0,0.0,0.0,0.0,0.0
24554.85902168654,3235.360217825179,0.0,0.0,0.0,0.0,0.0
27926.15570891594,3371.296687229397,0.0,0.0,0.0,0.0,0.0
31513.936094743884,3587.7803858279444,0.0,0.0,0.0,0.0,0.0
35113.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
38713.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
42313.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
45913.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
49513.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
53113.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
56713.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
60313.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
63913.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
67513.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
71113.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
74713.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
78313.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
81913.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
85513.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
89113.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
92713.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
96313.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
99913.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
103513.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
107113.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
110713.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
114313.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
117913.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
121513.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
125113.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
128713.93609474388,3600.0,0.0,0.0,0.0,0.0,0.0
132313.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
135913.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
139513.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
143113.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
146713.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
150313.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
153913.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
157513.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
161113.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
164713.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
168313.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
171913.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
175513.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
179113.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
182713.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
186313.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
189913.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
193513.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
197113.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
200713.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
204313.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
207913.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
211513.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
215113.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
218713.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
222313.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
225913.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
229513.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
233113.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
236713.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
240313.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
243913.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
247513.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
251113.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
254713.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
258313.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
261913.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
265513.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
269113.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
272713.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
276313.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
279913.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
283513.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
287113.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
290713.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
294313.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
297913.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
301513.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
305113.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
308713.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
312313.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
315913.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
319513.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
323113.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
326713.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
330313.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
333913.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
337513.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
341113.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
344713.9360947439,3600.0,0.0,0.0,0.0,0.0,0.0
348313.9360947439,3600.0,0.04818754681592363,0.04818754681592363,0.0,0.04818754681592363,0.0
351913.9360947439,3600.0,0.11210768438780505,0.06392013757188142,0.0,0.06392013757188142,0.0
355513.9360947439,3600.0,0.17602782195968647,0.06392013757188142,0.0,0.06392013757188142,0.0
359113.9360947439,3600.0,0.239947959531567,0.06392013757188053,0.0,0.06392013757188053,0.0
362713.9360947439,3600.0,0.3038680971034484,0.06392013757188142,0.0,0.06392013757188142,0.0
366313.9360947439,3600.0,0.36778823467532984,0.06392013757188142,0.0,0.06392013757188142,0.0
369913.9360947439,3600.0,0.43170837224721126,0.06392013757188142,0.0,0.06392013757188142,0.0
373513.9360947439,3600.0,0.4956285098190927,0.06392013757188142,0.0,0.06392013757188142,0.0
