iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,18.0,9.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,19.0,9.0,0.0,0.0,768.0,2.390447752333955,4.422632895200778,0.0,0.6482795369353482,0.0,0.8724027964570027,0.0
3.0,2017.0,11.0,20.0,9.0,0.0,0.0,792.0,13.530489315976979,3.2119386187550987,0.8723915528409094,0.4663032462102681,0.0,0.7961578574127302,0.004374447364139555
4.0,2017.0,11.0,21.0,9.0,0.0,0.0,816.0,1.3185910871024475,5.530491614433515,3.7811406076738194,0.7901201938500666,0.0,0.7451957156523719,0.009798969010378356
5.0,2017.0,11.0,22.0,9.0,0.0,0.0,840.0,44.26789708112352,3.249396105948705,2.217698401107853,0.46415778750633585,0.0,0.6893651347489609,0.0005915938708998727
6.0,2017.0,11.0,23.0,9.0,0.0,0.0,864.0,1.185686091154139,4.66547135023167,3.1658547460763202,0.6604943551362208,0.0,0.6789847197692893,0.0014315409359367155
7.0,2017.0,11.0,24.0,9.0,0.0,0.0,888.0,0.0073836110544789335,4.993015123406039,3.3327319963926527,0.692087305790654,0.0,0.6356209808299411,0.0027199307015729965
8.0,2017.0,11.0,25.0,9.0,0.0,0.0,912.0,0.0,4.590345952932836,3.0181627395543558,0.6248523344142676,0.0,0.578495613595237,0.004040164949349383
9.0,2017.0,11.0,26.0,9.0,0.0,0.0,936.0,1.4310330698208418e-10,3.220273498852194,2.091893425776206,0.4323405446495485,0.0,0.5291582264933226,0.004997775901654636
10.0,2017.0,11.0,27.0,9.0,0.0,0.0,960.0,0.0,3.8980691905918263,2.5022645254334606,0.5162949712067828,0.0,0.49110695356489487,0.0060981535685359495
11.0,2017.0,11.0,28.0,9.0,0.0,0.0,984.0,1.5049295143398922e-10,4.38551892939212,2.7753447015196997,0.571682380962514,0.0,0.4559211228743294,0.007286378624718717
12.0,2017.0,11.0,29.0,9.0,0.0,0.0,1008.0,0.0,3.422204308265691,2.137608065149223,0.4399643875008188,0.0,0.422295791628585,0.008223012980417652
13.0,2017.0,11.0,30.0,9.0,0.0,0.0,1032.0,1.581668129801983e-10,4.674899477612087,2.8781808243972336,0.5918662429247412,0.0,0.39328154773056667,0.009427551746396229
14.0,2017.0,12.0,1.0,9.0,0.0,0.0,1056.0,0.0,3.430892950632483,2.0827928871454446,0.4282980964836405,0.0,0.365281811873686,0.010350923972699759
15.0,2017.0,12.0,2.0,9.0,0.0,0.0,1080.0,1.6555645743210334e-10,5.275864882314778,3.150776412116386,0.6484848352373263,0.0,0.34064373396184067,0.011595513165830455
16.0,2017.0,12.0,3.0,9.0,0.0,0.0,1104.0,0.0,4.712550261201869,2.7501582522449866,0.6076564384034455,0.0,0.3156286625803091,0.012720219816519406
