iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,18.0,9.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,19.0,9.0,0.0,0.0,768.0,10.148019622123172,4.525706258262915,0.0,0.4737965207131829,0.0,1.621023052908015,0.0
3.0,2017.0,11.0,20.0,9.0,0.0,0.0,792.0,0.05889049054644602,4.013349883189562,0.1592901559967288,0.4169940247137358,0.0,1.5337435442883134,NaN
4.0,2017.0,11.0,21.0,9.0,0.0,0.0,816.0,0.0,5.78393051109073,0.5960565210431348,0.5960565210437476,0.0,1.424548540086164,NaN
5.0,2017.0,11.0,22.0,9.0,0.0,0.0,840.0,1.0032863428932615e-10,4.804591282534133,0.4929418666556522,0.4929418666565013,0.0,1.3193764800433883,NaN
6.0,2017.0,11.0,23.0,9.0,0.0,0.0,864.0,0.0,4.603443461923163,0.47052868142968407,0.4705286814280498,0.0,1.2292617643748258,NaN
7.0,2017.0,11.0,24.0,9.0,0.0,0.0,888.0,0.0,4.997130448404121,0.5086029353604467,0.5086029353607167,0.0,1.1501932084273392,NaN
8.0,2017.0,11.0,25.0,9.0,0.0,0.0,912.0,0.0,4.890817434911526,0.49583044775040364,0.495830447751068,0.0,1.078877687481139,NaN
9.0,2017.0,11.0,26.0,9.0,0.0,0.0,936.0,9.29389898374211e-11,3.213773847645669,0.32514032059910036,0.32514032059776277,0.0,1.0162183915471132,NaN
10.0,2017.0,11.0,27.0,9.0,0.0,0.0,960.0,0.0,3.8994260896662496,0.39326324494689935,0.3932632449492015,0.0,0.9632867176661364,NaN
11.0,2017.0,11.0,28.0,9.0,0.0,0.0,984.0,0.013590113367456524,4.489306894644528,0.4509529824599259,0.45095298246010707,0.0,0.9141047812304919,NaN
12.0,2017.0,11.0,29.0,9.0,0.0,0.0,1008.0,2.839109439755987,3.240649945414191,0.32556292396236675,0.32556292396067477,0.0,0.8699739032006732,0.25801041371298084
13.0,2017.0,11.0,30.0,9.0,0.0,0.0,1032.0,85.84764740293423,2.650784717221626,0.2836023382006152,0.28360233820179026,0.0,0.905289968054916,0.006942031999700428
