iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,18.0,9.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,19.0,9.0,0.0,0.0,768.0,5.57115903255891,5.1454047302153185,0.0,0.6975763363822001,0.0,7.737282027225149,0.0
3.0,2017.0,11.0,20.0,9.0,0.0,0.0,792.0,7.917948738795815,3.919659948291894,2.1279344724968325,0.5193521207371905,0.0,4.7631727856336,0.010258436460237719
4.0,2017.0,11.0,21.0,9.0,0.0,0.0,816.0,0.8458074914290137,5.8600329455023825,7.754751984465003,0.7584031814781138,0.0,3.346894441707292,0.025433033530377958
5.0,2017.0,11.0,22.0,9.0,0.0,0.0,840.0,0.7981492998203521,4.887112925628401,6.426537001938954,0.6182258507947651,0.0,2.363182387531907,0.03792651041684747
6.0,2017.0,11.0,23.0,9.0,0.0,0.0,864.0,0.7981492991586947,4.980478384109134,6.478105298554453,0.6175458641482834,0.0,1.7654092040819478,0.04604587421193937
7.0,2017.0,11.0,24.0,9.0,0.0,0.0,888.0,0.7981492998203521,5.177161113326989,6.6536020052566585,0.6290829065310604,0.0,1.3626076964478955,0.05185127670598662
8.0,2017.0,11.0,25.0,9.0,0.0,0.0,912.0,0.7981492991586947,4.9698631176650565,6.309061234567764,0.5922117530507567,0.0,1.0716615621332437,0.05555165007191937
9.0,2017.0,11.0,26.0,9.0,0.0,0.0,936.0,0.7981492994895234,3.2930840129926082,4.140348659269634,0.3868140697941289,0.0,0.8623051440382881,0.06101104944745328
10.0,2017.0,11.0,27.0,9.0,0.0,0.0,960.0,0.7981492998203521,3.5811418382511135,4.4646523665125954,0.41553315733588825,0.0,0.7215489119570293,0.06627680430707694
11.0,2017.0,11.0,28.0,9.0,0.0,0.0,984.0,0.7981492994895234,4.072516934290576,5.023971550119143,0.46561380899138527,0.0,0.6169275923989801,0.0664240240922353
12.0,2017.0,11.0,29.0,9.0,0.0,0.0,1008.0,3.7285322458728842,3.481436304312467,4.249957329737001,0.39251778268513604,0.0,0.5293766255064156,0.05504554382714133
13.0,2017.0,11.0,30.0,9.0,0.0,0.0,1032.0,437.3751224508908,3.1230992974255116,4.017446126270784,0.38560319914255103,0.0,0.4878162409686979,0.0014669803533641362
14.0,2017.0,12.0,1.0,9.0,0.0,0.0,1056.0,3.7745869240433194,2.449182097311251,3.2166570951127937,0.30984235605390253,0.0,0.9119054904360269,0.0015134257636037038
15.0,2017.0,12.0,2.0,9.0,0.0,0.0,1080.0,2.3618074574216052,4.68367323353786,6.041613737266587,0.5744435957522533,0.0,1.1994876687899136,0.0016474703251304745
16.0,2017.0,12.0,3.0,9.0,0.0,0.0,1104.0,83.58474185163288,3.4452219303880725,4.249017108331145,0.4421128722592371,0.0,1.0973257267069414,0.001304609724040986
17.0,2017.0,12.0,4.0,9.0,0.0,0.0,1128.0,1.573096547762134,4.375312173152025,5.374932327710326,0.5568860174793784,0.0,1.0658007290796547,0.0014063333446987956
18.0,2017.0,12.0,5.0,9.0,0.0,0.0,1152.0,0.0074015684623418565,5.782829979102985,6.99778953555213,0.7185966115999314,0.0,0.9549749209013214,0.0015456458177629242
19.0,2017.0,12.0,6.0,9.0,0.0,0.0,1176.0,0.0,5.409386535659053,6.448850412054497,0.6575864406225271,0.0,0.7897592099521091,0.0016710737369349717
