iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,18.0,9.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,19.0,9.0,0.0,0.0,768.0,0.7394079822194044,3.9607356372877973,0.0,0.4814509392714541,0.0,0.7582465102430831,0.0
3.0,2017.0,11.0,20.0,9.0,0.0,0.0,792.0,1.441639742315104,2.382763675453859,0.6787427301187137,0.28247444869233007,0.0,0.7166053008477036,0.05760764562124154
4.0,2017.0,11.0,21.0,9.0,0.0,0.0,816.0,0.014870488989870978,4.278124071840722,3.003125561155528,0.4853699343551643,0.0,0.6774869603050604,0.11733043506446172
5.0,2017.0,11.0,22.0,9.0,0.0,0.0,840.0,0.0,4.1060946896561745,2.8316430698664163,0.4387905564011234,0.0,0.6394642326431352,0.20706990013311266
6.0,2017.0,11.0,23.0,9.0,0.0,0.0,864.0,0.0,4.50711047127956,3.0491309293502837,0.4532411699831336,0.0,0.6023736849287928,0.26687243986870257
7.0,2017.0,11.0,24.0,9.0,0.0,0.0,888.0,0.0,5.587810620675938,3.679549432040261,0.5159444983522068,0.0,0.5662615601998127,0.33660806102941
8.0,2017.0,11.0,25.0,9.0,0.0,0.0,912.0,5.4072302191343624e-11,5.4766370229336445,3.4903535410121833,0.4581473760416639,0.0,0.5311415952526275,0.4038337192094157
9.0,2017.0,11.0,26.0,9.0,0.0,0.0,936.0,0.0,3.1203156322309127,1.947876862396214,0.24840986437539314,0.0,0.49717180638637615,0.4845063650203816
10.0,2017.0,11.0,27.0,9.0,0.0,0.0,960.0,0.03717622236699469,2.6955913693555544,1.6686226192975226,0.21197080371560162,0.0,0.4652916817186252,0.5842374156082499
11.0,2017.0,11.0,28.0,9.0,0.0,0.0,984.0,5.297732777427342,1.8680088899181868,1.163359872081628,0.15393749692475112,0.0,0.4364267311145369,0.06814180033796902
12.0,2017.0,11.0,29.0,9.0,0.0,0.0,1008.0,206.65736394703515,1.081271682581189,0.7928410438901032,0.16745790184857157,0.0,0.41032049499107615,0.0017363906664855065
13.0,2017.0,11.0,30.0,9.0,0.0,0.0,1032.0,28.20481200818591,1.2729131052275164,0.9564992009606712,0.20154852153477165,0.0,0.3865977971721506,0.0015038212208206767
14.0,2017.0,12.0,1.0,9.0,0.0,0.0,1056.0,24.038531019022997,1.392527960642397,1.0373760132395553,0.2109121735189241,0.0,0.3653913287428736,0.0013013887648678085
15.0,2017.0,12.0,2.0,9.0,0.0,0.0,1080.0,1.5952613334708587,4.676542085181637,3.430721643931129,0.6581235492671773,0.0,0.347509882358608,0.0013717050333106819
16.0,2017.0,12.0,3.0,9.0,0.0,0.0,1104.0,7.063485015152935,5.2131205421961795,3.7283766773256133,0.7266244612278534,0.0,0.33441874911225966,0.00145503786743851
17.0,2017.0,12.0,4.0,9.0,0.0,0.0,1128.0,0.04203187201227365,5.600670672815539,3.9357569924891607,0.7169517999351314,0.0,0.3264181263478747,0.0015873097243747055
