∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2380.693219050528,2380.693219050528,0.0,0.0,0.0,0.0,0.0
5500.251698144895,3119.5584790943667,0.0,0.0,0.0,0.0,0.0
9082.763469425936,3582.51177128104,0.0,0.0,0.0,0.0,0.0
12682.763469425936,3600.0,0.0,0.0,0.0,0.0,0.0
16282.763469425936,3600.0,0.0,0.0,0.0,0.0,0.0
19882.763469425936,3600.0,0.0,0.0,0.0,0.0,0.0
23482.763469425936,3600.0,0.0,0.0,0.0,0.0,0.0
27082.763469425936,3600.0,0.0,0.0,0.0,0.0,0.0
30682.763469425936,3600.0,0.0,0.0,0.0,0.0,0.0
34282.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
37882.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
41482.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
45082.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
48682.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
52282.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
55882.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
59482.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
63082.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
66682.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
70282.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
73882.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
77482.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
81082.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
84682.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
88282.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
91882.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
95482.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
99082.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
102682.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
106282.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
109882.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
113482.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
117082.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
120682.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
124282.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
127882.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
131482.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
135082.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
138682.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
142282.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
145882.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
149482.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
153082.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
156682.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
160282.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
163882.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
167482.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
171082.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
174682.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
178282.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
181882.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
185482.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
189082.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
192682.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
196282.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
199882.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
203482.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
207082.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
210682.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
214282.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
217882.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
221482.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
225082.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
228682.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
232282.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
235882.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
239482.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
243082.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
246682.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
250282.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
253882.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
257482.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
261082.76346942593,3600.0,0.0,0.0,0.0,0.0,0.0
264682.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
268282.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
271882.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
275482.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
279082.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
282682.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
286282.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
289882.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
293482.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
297082.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
300682.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
304282.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
307882.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
311482.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
315082.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
318682.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
322282.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
325882.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
329482.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
333082.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
336682.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
340282.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
343882.76346942596,3600.0,0.0,0.0,0.0,0.0,0.0
347482.76346942596,3600.0,0.03694884278691024,0.03694884278691024,0.0,0.03694884278691024,0.0
351082.76346942596,3600.0,0.10759809649982177,0.07064925371291153,0.0,0.07064925371291153,0.0
354682.76346942596,3600.0,0.1782473502127333,0.07064925371291153,0.0,0.07064925371291153,0.0
358282.76346942596,3600.0,0.24889660392564572,0.07064925371291242,0.0,0.07064925371291242,0.0
361882.76346942596,3600.0,0.31954585763855725,0.07064925371291153,0.0,0.07064925371291153,0.0
365482.76346942596,3600.0,0.3901951113514688,0.07064925371291153,0.0,0.07064925371291153,0.0
369082.76346942596,3600.0,0.4608443650643812,0.07064925371291242,0.0,0.07064925371291242,0.0
372682.76346942596,3600.0,0.5314936187772927,0.07064925371291153,0.0,0.07064925371291153,0.0
376282.76346942596,3600.0,0.6021428724902043,0.07064925371291153,0.0,0.07064925371291153,0.0
379882.76346942596,3600.0,0.6727921262031167,0.07064925371291242,0.0,0.07064925371291242,0.0
383482.76346942596,3600.0,0.7434413799160282,0.07064925371291153,0.0,0.07064925371291153,0.0
387082.76346942596,3600.0,0.8140906336289397,0.07064925371291153,0.0,0.07064925371291153,0.0
390682.76346942596,3600.0,0.8847398873418522,0.07064925371291242,0.0,0.07064925371291242,0.0
394282.76346942596,3600.0,0.9553891410547637,0.07064925371291153,0.0,0.07064925371291153,0.0
397882.76346942596,3600.0,1.0260383947676752,0.07064925371291153,0.0,0.07064925371291153,0.0
401482.76346942596,3600.0,1.0966876484805876,0.07064925371291242,0.0,0.07064925371291242,0.0
405082.76346942596,3600.0,1.1673369021934992,0.07064925371291153,0.0,0.07064925371291153,0.0
408682.76346942596,3600.0,1.2379861559064116,0.07064925371291242,0.0,0.07064925371291242,0.0
412282.76346942596,3600.0,1.3086354096193231,0.07064925371291153,0.0,0.07064925371291153,0.0
415882.76346942596,3600.0,1.3792846633322347,0.07064925371291153,0.0,0.07064925371291153,0.0
419482.76346942596,3600.0,1.4499339170451462,0.07064925371291153,0.0,0.07064925371291153,0.0
423082.76346942596,3600.0,1.5205831707580577,0.07064925371291153,0.0,0.07064925371291153,0.0
426682.76346942596,3600.0,1.5912324244709692,0.07064925371291153,0.0,0.07064925371291153,0.0
430282.76346942596,3600.0,1.6618816781838825,0.0706492537129133,0.0,0.0706492537129133,0.0
433882.76346942596,3600.0,2.088406628212823,0.42652495002894053,0.0,0.42652495002894053,0.0
437458.87680627493,3576.1133368489755,2.83453597273207,0.7461293445192467,0.0,0.7461293445192467,0.0
440968.076105187,3509.1992989120854,3.5667042028899374,0.7321682301578676,0.0,0.7321682301578676,0.0
444568.076105187,3600.0,4.3178173213114235,0.7511131184214861,0.0,0.7511131184214861,0.0
448168.076105187,3600.0,5.06893043973291,0.7511131184214861,0.0,0.7511131184214861,0.0
451768.076105187,3600.0,5.820043558154396,0.7511131184214861,0.0,0.7511131184214861,0.0
455368.076105187,3600.0,6.571156676575882,0.7511131184214861,0.0,0.7511131184214861,0.0
458968.076105187,3600.0,7.322269794997354,0.7511131184214719,0.0,0.7511131184214719,0.0
462568.076105187,3600.0,8.07338291341884,0.7511131184214861,0.0,0.7511131184214861,0.0
466168.076105187,3600.0,8.824496031840326,0.7511131184214861,0.0,0.7511131184214861,0.0
469768.076105187,3600.0,9.575609150261812,0.7511131184214861,0.0,0.7511131184214861,0.0
473368.076105187,3600.0,10.326722268683298,0.7511131184214861,0.0,0.7511131184214861,0.0
476968.076105187,3600.0,11.07783538710477,0.7511131184214719,0.0,0.7511131184214719,0.0
480568.076105187,3600.0,11.828948505526256,0.7511131184214861,0.0,0.7511131184214861,0.0
484168.076105187,3600.0,12.580061623947742,0.7511131184214861,0.0,0.7511131184214861,0.0
487768.076105187,3600.0,13.331174742369228,0.7511131184214861,0.0,0.7511131184214861,0.0
491368.076105187,3600.0,14.082287860790714,0.7511131184214861,0.0,0.7511131184214861,0.0
494968.076105187,3600.0,14.833400979212186,0.7511131184214719,0.0,0.7511131184214719,0.0
498568.076105187,3600.0,15.584514097633672,0.7511131184214861,0.0,0.7511131184214861,0.0
502168.076105187,3600.0,16.33562721605516,0.7511131184214861,0.0,0.7511131184214861,0.0
505768.076105187,3600.0,17.086740334476644,0.7511131184214861,0.0,0.7511131184214861,0.0
509368.076105187,3600.0,17.83785345289813,0.7511131184214861,0.0,0.7511131184214861,0.0
512968.076105187,3600.0,18.588966571319617,0.7511131184214861,0.0,0.7511131184214861,0.0
516568.076105187,3600.0,19.34007968974109,0.7511131184214719,0.0,0.7511131184214719,0.0
520168.076105187,3600.0,19.72594936565062,0.38586967590953236,0.0,0.38586967590953236,0.0
