∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,3600.0,0.0,0.0,0.0,0.0,0.0
7041.913547720642,3441.9135477206423,0.0,0.0,0.0,0.0,0.0
10610.108845599585,3568.1952978789436,0.0,0.0,0.0,0.0,0.0
14210.108845599585,3600.0,0.0,0.0,0.0,0.0,0.0
17810.108845599585,3600.0,0.0,0.0,0.0,0.0,0.0
21410.108845599585,3600.0,0.0,0.0,0.0,0.0,0.0
25010.108845599585,3600.0,0.0,0.0,0.0,0.0,0.0
28610.108845599585,3600.0,0.0,0.0,0.0,0.0,0.0
32210.108845599585,3600.0,0.0,0.0,0.0,0.0,0.0
35810.108845599585,3600.0,0.0,0.0,0.0,0.0,0.0
39410.108845599585,3600.0,0.0,0.0,0.0,0.0,0.0
43010.108845599585,3600.0,0.0,0.0,0.0,0.0,0.0
46610.108845599585,3600.0,0.0,0.0,0.0,0.0,0.0
50210.108845599585,3600.0,0.0,0.0,0.0,0.0,0.0
53810.108845599585,3600.0,0.0,0.0,0.0,0.0,0.0
57410.108845599585,3600.0,0.0,0.0,0.0,0.0,0.0
61010.108845599585,3600.0,0.0,0.0,0.0,0.0,0.0
64610.108845599585,3600.0,0.0,0.0,0.0,0.0,0.0
68210.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
71810.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
75410.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
79010.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
82610.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
86210.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
89810.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
93410.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
97010.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
100610.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
104210.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
107810.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
111410.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
115010.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
118610.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
122210.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
125810.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
129410.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
133010.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
136610.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
140210.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
143810.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
147410.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
151010.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
154610.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
158210.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
161810.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
165410.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
169010.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
172610.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
176210.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
179810.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
183410.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
187010.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
190610.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
194210.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
197810.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
201410.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
205010.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
208610.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
212210.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
215810.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
219410.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
223010.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
226610.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
230210.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
233810.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
237410.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
241010.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
244610.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
248210.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
251810.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
255410.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
259010.10884559958,3600.0,0.0,0.0,0.0,0.0,0.0
262610.1088455996,3600.0,0.0,0.0,0.0,0.0,0.0
266210.1088455996,3600.0,0.0,0.0,0.0,0.0,0.0
269810.1088455996,3600.0,0.0,0.0,0.0,0.0,0.0
273410.1088455996,3600.0,0.0,0.0,0.0,0.0,0.0
277010.1088455996,3600.0,0.0,0.0,0.0,0.0,0.0
280610.1088455996,3600.0,0.0,0.0,0.0,0.0,0.0
284210.1088455996,3600.0,0.0,0.0,0.0,0.0,0.0
287810.1088455996,3600.0,0.0,0.0,0.0,0.0,0.0
291410.1088455996,3600.0,0.0,0.0,0.0,0.0,0.0
295010.1088455996,3600.0,0.0,0.0,0.0,0.0,0.0
298610.1088455996,3600.0,0.0,0.0,0.0,0.0,0.0
302210.1088455996,3600.0,0.0,0.0,0.0,0.0,0.0
