iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,3.589388298114784,4.18480204132905,0.08529316186427138,0.5818004621695501,0.0,0.4942586601485601,NaN
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,0.0,5.173107561453136,2.512229597301328,0.6834567376332465,0.0,0.44476892051726225,8.0483738808567505e9
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,5.1482735769698,2.350878383121966,0.6569484170597626,0.0,0.39547148769619866,NaN
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.669654715383388,2.0686393920925354,0.5849160984891189,0.0,0.35082504129658787,NaN
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,4.8606905692406315,2.0911995194898196,0.5980508030988076,0.0,0.31189096500966684,NaN
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,4.934827357691404,2.0562444535954256,0.5955470074789293,0.0,0.27709850701938876,NaN
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,3.792065080837048,1.5395690797534343,0.4532167243563805,0.0,0.24719718663402546,6.428950708482553e10
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,3.656208496123483,1.4488620150276361,0.4372842714537164,0.0,0.22427970960337973,NaN
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,4.291035853807557,1.6384059874426384,0.5065874786426932,0.0,0.2043912412325426,NaN
