iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,6.869697374800978,4.298779889806966,0.1301420259493966,0.8194844048195957,0.0,2.076603148070518,-6.1517385595752785
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,3.2284571109317994,5.148115414581596,3.8783802350686187,0.9735400558293374,0.0,2.1449748881970976,-1.7816995804233606
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.771267281260748,5.234569911103222,4.943632136299698,0.9611594934204639,0.0,2.198910259697854,-1.4555513963055517
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.7712672805979537,4.941382409789867,4.6899306538109045,0.8843287800800326,0.0,2.2366350750762223,-1.2282274482099318
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.771267281260748,5.105638091494598,4.838154551030726,0.8920363729439451,0.0,2.268409357441101,-1.060559981216234
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.7712672809293508,5.048615364675342,4.774725248754919,0.8604975620052002,0.0,2.285196708669588,-0.9275975332886137
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.7712672809293508,3.8847801392074928,3.675365765865422,0.6480909383475826,0.0,1.557939858513322,-0.8240440268103404
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.7712672809293508,3.4698937731950963,3.275092526547567,0.5705012994779679,0.0,1.0306761034498493,-0.7412449371921652
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.7712672809293508,3.898405136584742,3.668083726514382,0.6294914752320686,0.0,0.8575180486511158,-0.6724845516628419
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.7712672809293508,3.6915926378890447,3.460817316308294,0.5834240256263179,0.0,0.7469803290084371,-0.6149590761911603
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,292.8628496798865,3.359587234024559,3.1843908592357906,0.5657775086132375,0.0,0.6758021585733758,-0.030634627200267328
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,152.66760966756294,2.681303027996563,2.2570359666133086,0.5095096592285984,0.0,0.5848777918834287,-0.0843194455232279
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,1.5662373303689492,4.018869905861607,3.302462270764245,0.7633999619543061,0.0,0.5650235229642817,-0.15061534285405825
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,54.52507450618782,3.9237434068885477,3.670590416155079,0.7596718781195975,0.0,0.5257275285720766,-0.1345776256489023
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,28.776948554437922,3.842309305832032,3.4173754377543304,0.7624022082746649,0.0,0.5547652106209,-0.12741332215149284
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.2606397686145101,5.170376780973271,4.86785280223971,0.995086208164718,0.0,0.61907996499815,-0.12730253851823248
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.529168668152607,5.173031418107797,1.031518987115188,0.0,0.6880426063593177,-0.12724955731278642
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.793790617429011,5.38591445387803,1.0461922813981062,0.0,0.7130098886286618,-0.1271943953670198
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.540577613003364,5.115903863548198,0.9658457922232557,0.0,0.6929975087677178,-0.12710817002007394
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,0.0,3.790469299884222,3.4811698021259048,0.6419951147719374,0.0,0.6512018979045706,-0.12699765305839145
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,4.1813718522861905,3.8247632189204097,0.6927908476691869,0.0,0.6055436674834169,-0.12689721746062108
