∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,3600.0,0.0,0.0,0.0,0.0,0.0
7036.116974294959,3436.1169742949583,0.0,0.0,0.0,0.0,0.0
10636.116974294959,3600.0,0.0,0.0,0.0,0.0,0.0
14236.116974294959,3600.0,0.0,0.0,0.0,0.0,0.0
17836.116974294957,3600.0,0.0,0.0,0.0,0.0,0.0
21436.116974294957,3600.0,0.0,0.0,0.0,0.0,0.0
25036.116974294957,3600.0,0.0,0.0,0.0,0.0,0.0
28636.116974294957,3600.0,0.0,0.0,0.0,0.0,0.0
32236.116974294957,3600.0,0.0,0.0,0.0,0.0,0.0
35836.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
39436.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
43036.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
46636.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
50236.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
53836.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
57436.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
61036.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
64636.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
68236.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
71836.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
75436.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
79036.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
82636.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
86236.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
89836.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
93436.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
97036.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
100636.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
104236.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
107836.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
111436.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
115036.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
118636.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
122236.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
125836.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
129436.11697429496,3600.0,0.0,0.0,0.0,0.0,0.0
133036.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
136636.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
140236.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
143836.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
147436.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
151036.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
154636.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
158236.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
161836.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
165436.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
169036.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
172636.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
176236.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
179836.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
183436.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
187036.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
190636.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
194236.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
197836.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
201436.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
205036.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
208636.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
212236.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
215836.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
219436.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
223036.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
226636.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
230236.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
233836.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
237436.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
241036.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
244636.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
248236.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
251836.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
255436.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
259036.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
262636.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
266236.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
269836.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
273436.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
277036.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
280636.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
284236.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
287836.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
291436.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
295036.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
298636.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
302236.11697429494,3600.0,0.0,0.0,0.0,0.0,0.0
