Id,WofBest,RmseBest,Efficiency,Global_WaterBalance,Global_WaterBalance_NormPr,ΔT_Average,∑∑ΔSink,∑ΔQ_Bot,SwcRoots,iNonConverge,ΔRunTimeHypix
1.0,0.00019528182032222497,0.013974327186745879,272.0,0.3263447133306272,0.08842703237919844,3580.0,328.19141215783657,16.09385311979919,349.2769637673029,0.0,2625.979
2.0,0.00019528182032222497,0.013974327186745879,272.0,0.3263447133306272,0.08842703237919844,3580.0,328.19141215783657,16.09385311979919,349.2769637673029,0.0,6929.884
3.0,0.0001391291445850364,0.011795301801354487,278.0,-1.3256576363977501,-0.35920790324985913,3581.0,332.57546021630856,7.977732900228735,364.80453967226606,77.0,11043.304
4.0,8.714207558241901e-5,0.009334991996912425,262.0,0.16132909516767313,0.04585743544569099,3588.0,352.0193179584062,11.52144354622522,348.482267312539,0.0,15496.814
5.0,8.714207558241901e-5,0.009334991996912425,262.0,0.16132909516767313,0.04585743544569099,3588.0,352.0193179584062,11.52144354622522,348.482267312539,0.0,20408.674
6.0,8.139312115433586e-5,0.00902181362888504,261.0,0.17410570027709582,0.049274242336537794,3592.0,347.07722596068453,15.83869659814214,342.56688044907594,0.0,25127.329
7.0,6.467839760575158e-5,0.00804228808273812,283.0,-4.432983327825582,-1.2678100639934633,3592.0,342.0670700944961,17.286392346974576,343.3610691544897,214.0,29377.189
8.0,6.467839760575158e-5,0.00804228808273812,283.0,-4.432983327825582,-1.2678100639934633,3592.0,342.0670700944961,17.286392346974576,343.3610691544897,214.0,33720.218
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
