iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,4.997665135695399,3.8464216061534557,0.13196142745739792,0.31524532714625053,0.0,0.3093807394422079,NaN
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,0.0,4.876157407426348,4.239831100155683,0.37406297525671484,0.0,0.28483269982660175,NaN
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,4.961921296280877,4.207308671981679,0.35607033584416214,0.0,0.26279527479853115,2.3641362392135696e9
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,8.284928298962768e-11,4.663807870374811,3.8577931720408003,0.31649317538257904,0.0,0.24263297820050767,-3.680686851945038e9
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,-8.284928298962768e-11,4.891423611118171,3.9395749610972075,0.3134148202688305,0.0,0.22430469298761935,2.6633692948749084e9
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,4.7447685185233155,3.7130590659142513,0.28678943195898476,0.0,0.20768948331873816,NaN
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,3.706689814811199,2.830200225884397,0.2144799950711267,0.0,0.19260996883593506,NaN
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,3.646655092594216,2.7322251319613997,0.2051821939254861,0.0,0.17898925374614905,NaN
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,4.219039351860943,3.089085238821127,0.22784399427477453,0.0,0.16677660206634926,NaN
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,3.76192129627276,2.6892008349223318,0.1950969245459344,0.0,0.15577236728088195,NaN
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,14.05568347093876,4.0692836248303195,2.9033430603811468,0.23004141636197417,0.0,0.1476721431824224,0.0032225265363292066
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,15.916972112056982,3.5908534612474625,2.6422567893342546,0.23629692386491108,0.0,0.13622041393806228,0.001565103977142792
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,4.54911190380173,4.507701699654149,3.289825851691049,0.28376257322078224,0.0,0.1271250480579127,0.0014291621927619094
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,0.0,4.916777777774172,3.370745965144039,0.29297738750934244,0.0,0.12090065118299265,0.001530045669777652
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,0.0,5.147092592594532,3.351668615962282,0.29154559038700256,0.0,0.11397903437741519,0.0016527734664358211
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.52774074073136,3.463316767780938,0.2890539572129871,0.0,0.10757633618298712,0.0017792133394413812
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.344518518536461,3.2446562360616014,0.26203978551146356,0.0,0.10162595356903026,0.0018976775385846508
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.774833333326626,3.4217429498554566,0.26820763780844636,0.0,0.0960700591238961,0.0020222189916463407
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.589037037040697,3.250220827231601,0.24616530395415204,0.0,0.0908730020188564,0.0022103878906444153
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,0.0,4.7890370370379,2.730896698045285,0.2034180011387292,0.0,0.08599681963193717,0.0024097627714096403
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,5.202574074054553,2.9178327125768106,0.21414262316079302,0.0,0.08141922341583552,0.002622061119620451
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,4.514203703715907,2.493343356793588,0.1792548635505007,0.0,0.07713751517999157,0.0028039822322432316
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,0.0,4.410962962960355,2.4031504971343622,0.17208223809616996,0.0,0.07313298032249094,0.002979225589431445
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,0.0,5.658055555555393,3.0276807570150197,0.2123952779875129,0.0,0.06939170403099126,0.003198459486304782
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,0.0,6.136129629634553,3.2131793415443326,0.21813909516831842,0.0,0.06589897501924469,0.0034305866075398823
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,0.0,5.780648148141182,2.959564065088486,0.19629636313880816,0.0,0.06261698197608467,0.003644504709285819
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,0.0,5.280648148175146,2.653919642684997,0.17340788356818315,0.0,0.0595111447380674,0.0038365455046020028
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,0.0,4.908388888890869,2.431581580841325,0.15720200500572012,0.0,0.05656773988023289,0.004012627528319573
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,4.927740740679695,2.402733330922729,0.1541633530136579,0.0,0.05378514166023152,0.004186470071226555
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,0.0,3.9142037036979502,1.882646356944278,0.12008408106354551,0.0,0.05116293696958252,0.004395558486912978
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,11.72976356315715,4.679224041471372,2.253170544562181,0.18769608784595704,0.0,0.04976271829904988,0.003343350262611039
33.0,2017.0,12.0,21.0,0.0,0.0,0.0,1527.0002777777777,6.012114729859661,5.961436010104194,2.791078588792459,0.3139129943509076,0.0,0.04503505464733948,0.0029900760552135242
34.0,2017.0,12.0,22.0,0.0,0.0,0.0,1551.0002777777777,1.261923898709938e-10,6.684990740705302,3.031591914022144,0.2924334925475094,0.0,0.04565246058407624,0.0030734236707659433
35.0,2017.0,12.0,23.0,0.0,0.0,0.0,1575.0002777777777,-1.850253283919301e-10,4.788361111069435,2.158275238569132,0.19093586490787118,0.0,0.041970391074535485,0.003176282803394333
36.0,2017.0,12.0,24.0,0.0,0.0,0.0,1599.0002777777777,0.0,4.000000000000455,1.7867205507639028,0.1531174138719429,0.0,0.04019557264257756,0.0033470308984452773
37.0,2017.0,12.0,25.0,0.0,0.0,0.0,1623.0002777777777,1.6555645743210334e-10,3.7352453703954893,1.6516876180434537,0.13834232174273353,0.0,0.03836482050412471,0.0035049769024879333
38.0,2017.0,12.0,26.0,0.0,0.0,0.0,1647.0002777777777,-3.311129148642067e-10,4.328075231479829,1.8905249601688894,0.15507052491922124,0.0,0.03663542393516295,0.003620244927912818
39.0,2017.0,12.0,27.0,0.0,0.0,0.0,1671.0002777777777,23.644299245178644,3.126693813424879,1.3891045099472876,0.14156029061918574,0.0,0.034124040359486685,0.0025108107644309235
40.0,2017.0,12.0,28.0,0.0,0.0,0.0,1695.0002777777777,13.529160035449905,4.5257400776493455,2.182268942676046,0.29899324346551026,0.0,0.033635509083694615,0.002135239469101111
41.0,2017.0,12.0,29.0,0.0,0.0,0.0,1719.0002777777777,-9.79127889877418e-11,6.077149305457226,2.40152827803891,0.3127840331505283,0.0,0.03203983566971047,0.002160248684725978
42.0,2017.0,12.0,30.0,0.0,0.0,0.0,1743.0002777777777,0.0,5.789129629649324,2.168599788254653,0.26174577573813096,0.0,0.030726334631907548,0.0022081780752757863
43.0,2017.0,12.0,31.0,0.0,0.0,0.0,1767.0002777777777,1.2079226507921703e-11,5.687414351934251,2.144805958143138,0.23741138246535698,0.0,0.02944196619120376,0.002267577239412663
44.0,2018.0,1.0,1.0,0.0,0.0,0.0,1791.0002777777777,-1.2079226507921703e-11,4.906370370360833,1.8598037996136014,0.1926857662800181,0.0,0.028269733367039862,0.0023442472079095522
45.0,2018.0,1.0,2.0,0.0,0.0,0.0,1815.0002777777777,19.897205996789467,2.6698618033321395,1.045625305342739,0.12166774072316855,0.0,0.027547451586588778,0.0019400068482471125
46.0,2018.0,1.0,3.0,0.0,0.0,0.0,1839.0002777777777,61.36246384032745,2.2209755506708007,1.2026769073969916,0.26378533912908964,0.0,0.026234769070086372,0.0012378511367769698
