∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,3600.0,0.0,0.0,0.0,0.0,0.0
7200.0,3600.0,0.0,0.0,0.0,0.0,0.0
10800.0,3600.0,0.0,0.0,0.0,0.0,0.0
14400.0,3600.0,0.0,0.0,0.0,0.0,0.0
18000.0,3600.0,0.0,0.0,0.0,0.0,0.0
21600.0,3600.0,0.0,0.0,0.0,0.0,0.0
25200.0,3600.0,0.0,0.0,0.0,0.0,0.0
28800.0,3600.0,0.0,0.0,0.0,0.0,0.0
32400.0,3600.0,0.0,0.0,0.0,0.0,0.0
36000.0,3600.0,0.0,0.0,0.0,0.0,0.0
39600.0,3600.0,0.0,0.0,0.0,0.0,0.0
43200.0,3600.0,0.0,0.0,0.0,0.0,0.0
46800.0,3600.0,0.0,0.0,0.0,0.0,0.0
50400.0,3600.0,0.0,0.0,0.0,0.0,0.0
54000.0,3600.0,0.0,0.0,0.0,0.0,0.0
57600.0,3600.0,0.0,0.0,0.0,0.0,0.0
61200.0,3600.0,0.0,0.0,0.0,0.0,0.0
64800.0,3600.0,0.0,0.0,0.0,0.0,0.0
68400.0,3600.0,0.0,0.0,0.0,0.0,0.0
72000.0,3600.0,0.0,0.0,0.0,0.0,0.0
75600.0,3600.0,0.0,0.0,0.0,0.0,0.0
79200.0,3600.0,0.0,0.0,0.0,0.0,0.0
82800.0,3600.0,0.0,0.0,0.0,0.0,0.0
86400.0,3600.0,0.0,0.0,0.0,0.0,0.0
90000.0,3600.0,0.0,0.0,0.0,0.0,0.0
93600.0,3600.0,0.0,0.0,0.0,0.0,0.0
97200.0,3600.0,0.0,0.0,0.0,0.0,0.0
100800.0,3600.0,0.0,0.0,0.0,0.0,0.0
104400.0,3600.0,0.0,0.0,0.0,0.0,0.0
108000.0,3600.0,0.0,0.0,0.0,0.0,0.0
111600.0,3600.0,0.0,0.0,0.0,0.0,0.0
115200.0,3600.0,0.0,0.0,0.0,0.0,0.0
118800.0,3600.0,0.0,0.0,0.0,0.0,0.0
122374.55269325121,3574.5526932512107,0.0,0.0,0.0,0.0,0.0
125937.16024046838,3562.6075472171706,0.0,0.0,0.0,0.0,0.0
129495.59026491559,3558.4300244472047,0.0,0.0,0.0,0.0,0.0
133049.71951765937,3554.1292527437745,0.0,0.0,0.0,0.0,0.0
136599.89418572056,3550.1746680611895,0.0,0.0,0.0,0.0,0.0
140147.26208398963,3547.3678982690762,0.0,0.0,0.0,0.0,0.0
143692.9236718943,3545.6615879046585,0.0,0.0,0.0,0.0,0.0
147237.92922545367,3545.0055535593797,0.0,0.0,0.0,0.0,0.0
150782.63530093324,3544.7060754795557,0.0,0.0,0.0,0.0,0.0
154327.17881183236,3544.5435108991182,0.0,0.0,0.0,0.0,0.0
157871.63769485097,3544.4588830186,0.0,0.0,0.0,0.0,0.0
161416.0955937588,3544.4578989078364,0.0,0.0,0.0,0.0,0.0
164934.28047490248,3518.184881143672,0.0,0.0,0.0,0.0,0.0
168434.32590399784,3500.045429095353,0.0,0.0,0.0,0.0,0.0
171981.37135126803,3547.045447270175,0.0,0.0,0.0,0.0,0.0
175527.2673452486,3545.8959939805677,0.0,0.0,0.0,0.0,0.0
179072.64578155364,3545.378436305028,0.0,0.0,0.0,0.0,0.0
182617.77426184615,3545.128480292519,0.0,0.0,0.0,0.0,0.0
186162.7613786722,3544.98711682606,0.0,0.0,0.0,0.0,0.0
189707.6637236882,3544.9023450159875,0.0,0.0,0.0,0.0,0.0
193252.5185362178,3544.8548125296193,0.0,0.0,0.0,0.0,0.0
196797.35896682943,3544.840430611631,0.0,0.0,0.0,0.0,0.0
200342.23175024113,3544.8727834117094,0.0,0.0,0.0,0.0,0.0
203887.2709324485,3545.039182207381,0.0,0.0,0.0,0.0,0.0
207398.39145961637,3511.1205271678764,0.0,0.0,0.0,0.0,0.0
210907.83941160692,3509.447951990567,0.0,0.0,0.0,0.0,0.0
214455.98163655197,3548.1422249450397,0.0,0.0,0.0,0.0,0.0
218003.02626462013,3547.044628068169,0.0,0.0,0.0,0.0,0.0
221549.35761826404,3546.331353643911,0.0,0.0,0.0,0.0,0.0
225095.27297680007,3545.9153585360186,0.0,0.0,0.0,0.0,0.0
228640.96642971682,3545.6934529167415,0.0,0.0,0.0,0.0,0.0
232186.52736280882,3545.5609330919933,0.0,0.0,0.0,0.0,0.0
235732.00653198897,3545.479169180144,0.0,0.0,0.0,0.0,0.0
239277.4389156333,3545.4323836443277,0.0,0.0,0.0,0.0,0.0
242822.85525174745,3545.416336114128,0.0,0.0,0.0,0.0,0.0
246368.29334898532,3545.4380972378626,0.0,0.0,0.0,0.0,0.0
249913.826367635,3545.5330186496594,0.0,0.0,0.0,0.0,0.0
253459.74760768464,3545.921240049659,0.0,0.0,0.0,0.0,0.0
257009.92663846374,3550.1790307791125,0.0,0.0,0.0,0.0,0.0
260571.3337711707,3561.407132706964,0.0,0.0,0.0,0.0,0.0
264149.7883954867,3578.4546243159916,0.0,0.0,0.0,0.0,0.0
267721.28530074155,3571.496905254849,0.0,0.0,0.0,0.0,0.0
271288.3275740228,3567.042273281231,0.0,0.0,0.0,0.0,0.0
274852.2994381014,3563.971864078614,0.0,0.0,0.0,0.0,0.0
278414.454429936,3562.1549918346172,0.0,0.0,0.0,0.0,0.0
281975.40582703176,3560.9513970957264,0.0,0.0,0.0,0.0,0.0
285535.498665703,3560.0928386712353,0.0,0.0,0.0,0.0,0.0
289094.9462439481,3559.447578245118,0.0,0.0,0.0,0.0,0.0
292653.88993403275,3558.943690084634,0.0,0.0,0.0,0.0,0.0
