Year,Month,Day,Pr,Pr_Ground
2017.0,10.0,17.0,0.1,0.0
2017.0,10.0,18.0,0.1,0.0901381780257371
2017.0,10.0,19.0,0.1,0.0901381780257371
2017.0,10.0,20.0,0.1,0.0901381780257371
2017.0,10.0,21.0,0.1,0.0901381780257371
2017.0,10.0,22.0,0.1,0.0901381780257371
2017.0,10.0,23.0,23.9,22.393267859553024
2017.0,10.0,24.0,0.2,0.1802763560514742
2017.0,10.0,25.0,0.2,0.1802763560514742
2017.0,10.0,26.0,9.6,8.65326509047076
2017.0,10.0,27.0,5.1,4.597047079312592
2017.0,10.0,28.0,19.4,17.893267859553024
2017.0,10.0,29.0,17.2,16.44663392977651
2017.0,10.0,30.0,0.1,0.0901381780257371
2017.0,10.0,31.0,0.1,0.0901381780257371
2017.0,11.0,1.0,0.1,0.0862138710961289
2017.0,11.0,2.0,0.1,0.0862138710961289
2017.0,11.0,3.0,5.2,4.483121296998703
2017.0,11.0,4.0,51.2,49.693267859553025
2017.0,11.0,5.0,0.2,0.1724277421922578
2017.0,11.0,6.0,0.2,0.1724277421922578
2017.0,11.0,7.0,0.2,0.1724277421922578
2017.0,11.0,8.0,42.3,40.79326785955302
2017.0,11.0,9.0,0.1,0.0862138710961289
2017.0,11.0,10.0,0.1,0.0862138710961289
2017.0,11.0,11.0,0.1,0.0862138710961289
2017.0,11.0,12.0,0.1,0.0862138710961289
2017.0,11.0,13.0,3.6,3.10369935946064
2017.0,11.0,14.0,0.8,0.6897109687690312
2017.0,11.0,15.0,91.7,90.19326785955303
2017.0,11.0,16.0,2.8,2.4139883906916086
2017.0,11.0,17.0,0.1,0.0862138710961289
2017.0,11.0,18.0,0.7,0.6034970976729022
2017.0,11.0,19.0,1.0,0.8621387109612889
2017.0,11.0,20.0,0.1,0.0862138710961289
2017.0,11.0,21.0,0.1,0.0862138710961289
2017.0,11.0,22.0,0.1,0.0862138710961289
2017.0,11.0,23.0,0.1,0.0862138710961289
2017.0,11.0,24.0,0.1,0.0862138710961289
2017.0,11.0,25.0,0.1,0.0862138710961289
2017.0,11.0,26.0,0.1,0.0862138710961289
2017.0,11.0,27.0,0.1,0.0862138710961289
2017.0,11.0,28.0,0.1,0.0862138710961289
2017.0,11.0,29.0,47.0,45.49326785955302
2017.0,11.0,30.0,0.2,0.1724277421922578
2017.0,12.0,1.0,0.2,0.16917043553133715
2017.0,12.0,2.0,10.8,9.293267859553024
2017.0,12.0,3.0,0.1,0.08458521776566857
2017.0,12.0,4.0,0.0,0.0
2017.0,12.0,5.0,0.0,0.0
2017.0,12.0,6.0,0.0,0.0
2017.0,12.0,7.0,0.0,0.0
2017.0,12.0,8.0,0.0,0.0
2017.0,12.0,9.0,0.0,0.0
2017.0,12.0,10.0,0.0,0.0
2017.0,12.0,11.0,1.1,0.9304373954223543
2017.0,12.0,12.0,1.1,0.9304373954223543
2017.0,12.0,13.0,0.1,0.08458521776566857
2017.0,12.0,14.0,0.0,0.0
2017.0,12.0,15.0,0.0,0.0
2017.0,12.0,16.0,0.0,0.0
2017.0,12.0,17.0,0.0,0.0
2017.0,12.0,18.0,0.5,0.4229260888283428
2017.0,12.0,19.0,0.3,0.25375565329700567
2017.0,12.0,20.0,4.5,3.8063347994550853
2017.0,12.0,21.0,0.3,0.25375565329700567
2017.0,12.0,22.0,15.7,14.193267859553023
2017.0,12.0,23.0,1.0,0.8458521776566856
2017.0,12.0,24.0,0.2,0.16917043553133715
2017.0,12.0,25.0,0.2,0.16917043553133715
2017.0,12.0,26.0,6.6,5.5826243725341245
2017.0,12.0,27.0,0.2,0.16917043553133715
2017.0,12.0,28.0,0.2,0.16917043553133715
2017.0,12.0,29.0,0.2,0.16917043553133715
2017.0,12.0,30.0,0.2,0.16917043553133715
2017.0,12.0,31.0,0.2,0.16917043553133715
2018.0,1.0,1.0,9.7,8.193267859553023
2018.0,1.0,2.0,60.6,59.846633929776516
2018.0,1.0,3.0,13.7,12.94663392977651
2018.0,1.0,4.0,34.4,33.64663392977651
2018.0,1.0,5.0,35.6,34.846633929776516
2018.0,1.0,6.0,7.9,7.146633929776513
2018.0,1.0,7.0,0.0,0.0
2018.0,1.0,8.0,0.0,0.0
2018.0,1.0,9.0,0.0,0.0
2018.0,1.0,10.0,0.0,0.0
2018.0,1.0,11.0,0.0,0.0
2018.0,1.0,12.0,16.0,14.493267859553026
2018.0,1.0,13.0,0.1,0.07739491382351232
2018.0,1.0,14.0,0.1,0.07739491382351232
2018.0,1.0,15.0,0.1,0.07739491382351232
2018.0,1.0,16.0,1.3,1.0061338797056603
2018.0,1.0,17.0,0.1,0.07739491382351232
2018.0,1.0,18.0,17.0,15.493267859553026
2018.0,1.0,19.0,20.4,19.64663392977651
2018.0,1.0,20.0,0.1,0.07739491382351232
2018.0,1.0,21.0,0.1,0.07739491382351232
2018.0,1.0,22.0,8.2,6.693267859553024
2018.0,1.0,23.0,0.8,0.6191593105880986
2018.0,1.0,24.0,0.1,0.07739491382351232
2018.0,1.0,25.0,0.1,0.07739491382351232
2018.0,1.0,26.0,6.9,5.393267859553025
2018.0,1.0,27.0,0.1,0.07739491382351232
2018.0,1.0,28.0,15.1,13.615872945729512
2018.0,1.0,29.0,0.1,0.07739491382351232
2018.0,1.0,30.0,0.1,0.07739491382351232
2018.0,1.0,31.0,0.1,0.07739491382351232
2018.0,2.0,1.0,60.3,58.79326785955302
2018.0,2.0,2.0,0.1,0.06685065586535699
2018.0,2.0,3.0,0.1,0.06685065586535699
2018.0,2.0,4.0,0.1,0.06685065586535699
2018.0,2.0,5.0,1.6,1.0696104938457118
2018.0,2.0,6.0,1.0,0.6685065586535699
2018.0,2.0,7.0,0.4,0.26740262346142796
2018.0,2.0,8.0,0.4,0.26740262346142796
2018.0,2.0,9.0,19.9,18.39326785955302
2018.0,2.0,10.0,76.9,76.14663392977651
2018.0,2.0,11.0,0.3,0.20055196759607097
2018.0,2.0,12.0,0.3,0.20055196759607097
2018.0,2.0,13.0,22.1,20.593267859553023
2018.0,2.0,14.0,30.7,29.946633929776514
2018.0,2.0,15.0,0.0,0.0
2018.0,2.0,16.0,0.0,0.0
2018.0,2.0,17.0,0.0,0.0
2018.0,2.0,18.0,0.0,0.0
2018.0,2.0,19.0,15.0,13.493267859553024
2018.0,2.0,20.0,14.4,13.646633929776511
2018.0,2.0,21.0,4.3,3.5466339297765126
2018.0,2.0,22.0,4.4,3.6466339297765127
2018.0,2.0,23.0,0.0,0.0
2018.0,2.0,24.0,0.0,0.0
2018.0,2.0,25.0,0.0,0.0
2018.0,2.0,26.0,6.3,4.7932678595530245
2018.0,2.0,27.0,3.8,3.046633929776512
2018.0,2.0,28.0,0.0,0.0
2018.0,3.0,1.0,0.0,0.0
2018.0,3.0,2.0,0.0,0.0
2018.0,3.0,3.0,0.0,0.0
2018.0,3.0,4.0,0.0,0.0
2018.0,3.0,5.0,0.0,0.0
2018.0,3.0,6.0,0.0,0.0
2018.0,3.0,7.0,66.5,64.99326785955301
2018.0,3.0,8.0,25.8,25.046633929776515
2018.0,3.0,9.0,0.1,0.06173288423564478
2018.0,3.0,10.0,0.1,0.06173288423564478
2018.0,3.0,11.0,0.1,0.06173288423564478
2018.0,3.0,12.0,11.8,10.293267859553026
2018.0,3.0,13.0,0.2,0.12346576847128957
2018.0,3.0,14.0,1.9,1.1729248004772508
2018.0,3.0,15.0,0.1,0.06173288423564478
2018.0,3.0,16.0,0.6,0.37039730541386867
2018.0,3.0,17.0,0.0,0.0
2018.0,3.0,18.0,0.0,0.0
2018.0,3.0,19.0,0.0,0.0
