iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,6.927735081927722,4.301635835843328,0.1592350481154341,0.8923974301499555,0.0,5.202796097905676,-0.0005333228717753213
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,3.1260804635286377,5.196655856579156,5.12946550225935,1.078958265295828,0.0,5.593900564444752,-0.0002201989767770321
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.7712672812601795,5.216368279884676,5.148125325505589,1.0822533394763418,0.0,5.724177732293455,-0.00021035285537134019
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.7712672809293508,4.9432025729117015,4.8794188860730685,1.0264645346662284,0.0,5.802645481880617,-0.00035709492905570267
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.7712672809293508,5.109278417729868,5.034854258978498,1.0524529266872058,0.0,5.8720026916094525,-0.00032038260565091323
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.7712672805985221,5.044975038456641,4.920840574240714,0.9885601871025642,0.0,5.127584462665396,-0.00019322109720052057
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.7712672812601795,3.853837366115968,3.7349143537405496,0.7310602267039918,0.0,3.8589660518320272,-9.562926429833307e-6
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.7712672805985221,3.4753542625579996,3.354112493433675,0.6452651154276055,0.0,3.0192419808399507,0.00014341277897898103
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.7712672809293508,3.907505952200083,3.754937562620171,0.7092517264392697,0.0,2.4707336992496494,0.00029201516848645706
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.7712672809293508,3.680671659174493,3.5217624742227542,0.6532799107342697,0.0,2.0728884110660033,0.0004247168761095099
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,286.7838471947863,3.2524210767533077,3.1409276671477357,0.6075679839113413,0.0,1.7454530969882285,0.0003227317415135673
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,158.7514259243062,2.7559065088036903,2.7050608775963525,0.5569834280987251,0.0,1.5985399913282095,0.00017553060183585038
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,1.5259745611427888,3.921713521379303,3.8611496152221036,0.8043897608057229,0.0,1.796151607971268,5.134776172889457e-5
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,53.38496425494782,3.9405667449772466,3.837872287084977,0.838559698132638,0.0,2.347783794166844,-5.93039525632064e-5
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,29.927764143020568,3.8352512209812915,3.6929290506866295,0.8202113672796258,0.0,3.073603154110458,-6.785518572898505e-5
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.2713451065676509,5.145508508817159,4.8957950010322975,1.0416554853338624,0.0,3.3015191732727374,-2.5106044698369138e-5
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.534474052911094,5.2199911026637835,1.0745047801038545,0.0,2.84362061491305,4.450495544898979e-5
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.785320915538421,5.4125894579063925,1.0821904238317863,0.0,2.3398455751802203,0.0001256259479562264
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.550458931837142,5.124618687405416,1.0022245201863882,0.0,1.9342420299796004,0.0001994559714888623
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,0.0,3.8229364903379803,3.489100232846056,0.6742029796520796,0.0,1.62167383625399,0.000279109680133823
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,4.155962746680586,3.762141048832376,0.7219694750725338,0.0,1.3878269909932612,0.00034750911312264425
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,4.093578321481004,3.65913248149171,0.6943240168981504,0.0,1.2069195393282541,0.00042755540137727737
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,5.357319267126854,3.786190858546945,3.3551943727643874,0.6339657809851502,0.0,1.0627294789076984,0.0005024119932209945
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,8.342115442819704,4.990174290965882,4.387242609485128,0.8256729477716576,0.0,0.9452484754266663,0.0005582119976200702
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,3.4718252004375927,5.532503435566497,4.779827036264663,0.8865020429823147,0.0,0.8456204261540563,0.0006091330594368205
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,0.2713451069070061,5.619794968500742,4.740462957491047,0.8629433133766184,0.0,0.7599447166893185,0.0006650713305578551
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,-6.622258297284134e-10,5.122018626633292,4.220328093925772,0.757122508248905,0.0,0.6855269143813985,0.0007153580130264932
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,6.622258297284134e-10,4.543119389611661,3.671836856039434,0.6528370736709022,0.0,0.6207606911672201,0.0007878004226552189
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,4.8495410681868805,3.8440186701625976,0.677349255981909,0.0,0.5645687065796778,0.0008469631710473573
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,2.435145120615516,3.9306711550528064,3.060050602687056,0.5363210506030782,0.0,0.5151267576004557,0.0009015913778635766
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,2.817812607952419,4.337744007382753,3.3452070286243156,0.5869696730296852,0.0,0.47216243871471875,0.0009820554503433571
