iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,13.459563578551581,0.3780078323298426,0.0054977046806152785,0.047719911374345614,0.0,0.8728377597546029,-0.0010076566952195165
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,6.800532305271503,0.8266925741818056,0.6601840570301531,0.10556382237810524,0.0,0.826081316071253,0.0014113525063965682
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,2.116991524595761,1.6759083438479543,0.2658659257895639,0.0,0.8046948534766472,0.009075867408589455
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,3.1314708738240142,2.4527563199393114,0.3862477897752843,0.0,0.77119383180505,0.01731578934329525
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,4.861544902978579,3.752018746592043,0.5851723965838396,0.0,0.7208130927592293,0.024475923077858452
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,-1.6555645743210334e-10,6.065037014595987,4.588676650153047,0.7075720383523816,0.0,0.6580901953303169,0.031185881437643087
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,4.1741165047384925,3.106939007337303,0.47610648089200147,0.0,0.5883527376246747,0.03821058622341478
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,2.236359830063236,1.6577135758354231,0.25467158247171184,0.0,0.5245742748788018,0.04654029711870061
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,0.8699259708207165,0.6449921584264153,0.09935875668475624,0.0,0.4752303666660964,0.05201288158561432
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,1.197206310716524,0.8895215707078066,0.13740718675150454,0.0,0.4398257375185608,0.05863367673395442
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,47.622207582363245,0.5370582523779319,0.39796038699575575,0.06140219303926031,0.0,0.4057940274401801,0.00818187472129972
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,27.405257758153994,1.0002595104663925,0.776629533408606,0.12343964575264543,0.0,0.39865894620882614,0.005412028598750609
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,0.5582769953321076,3.446318194575369,2.6200497736227106,0.40845386268423667,0.0,0.4067846928907244,0.005764778160079519
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,0.0,6.104446373065443,4.481363716891266,0.7024385797961052,0.0,0.4128130288452212,0.006326040599478746
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,0.0,6.807466435213854,4.831870744459053,0.7528288099027591,0.0,0.39825264151311046,0.006940271723486512
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,1.6555645743210334e-10,6.892533564767774,4.749454258537639,0.7339616148383072,0.0,0.3689077717386766,0.007541340836748012
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,7.128355709833585,4.76505561827193,0.731870162763645,0.0,0.3344443128401764,0.008140181819842992
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,6.4298657409603095,4.176006308739346,0.6396780418008987,0.0,0.3001272721765389,0.008994374317348355
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,6.0,3.8054005213212747,0.5834021352896599,0.0,0.26855417339270105,0.00995054567025188
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,0.0,5.614932870465282,3.4797867538472076,0.534202735332336,0.0,0.24074749410584673,0.010823704437509553
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,4.244798611419981,2.5862393791221834,0.39859261034971993,0.0,0.2166566313628806,0.011785952437425876
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,4.241778549210522,2.558169146514892,0.3961110333179896,0.0,0.19617117986781807,0.01261844402357622
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,0.0,4.7925335647878455,2.836293728729885,0.43990067467047567,0.0,0.17880396701262669,0.013325927192169185
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,0.0,4.322399305699406,2.5075134477548033,0.39027974815036615,0.0,0.16378994894284915,0.014314760706304934
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,0.0,4.128355709809938,2.357505561102073,0.368726240876871,0.0,0.15067287541150165,0.015440725202573911
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,0.0,3.750755015546275,2.107899308138556,0.33118434698224064,0.0,0.1391588797752803,0.016494039231190513
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,0.0,4.205956404152602,2.3264995888584394,0.36720306939007585,0.0,0.12899772232965745,0.01725535718245568
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,0.0,4.535822145083728,2.4497378482588488,0.38840055788789485,0.0,0.11995603807815769,0.01785823842983018
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,5.655201388556208,2.962689276880468,0.4725114130738888,0.0,0.11177854124368025,0.018562880523345936
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,27.530990519374683,2.325057075470937,1.185761760314037,0.19032709080577348,0.0,0.10583251073366284,0.014054640468128599
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,15.366427364119488,1.3090069764859322,0.7606259696116098,0.12436981149671311,0.0,0.09725557288038544,0.012351947112356501
33.0,2017.0,12.0,21.0,0.0,0.0,0.0,1527.0002777777777,23.85922111910446,2.671457157692913,1.5563274737033623,0.25525008845875874,0.0,0.09125890414348703,0.010385966208366931
34.0,2017.0,12.0,22.0,0.0,0.0,0.0,1551.0002777777777,12.347835968761984,4.658037563395226,2.7532253962698547,0.4470324612637917,0.0,0.08674185573244131,0.009653222245094455
35.0,2017.0,12.0,23.0,0.0,0.0,0.0,1575.0002777777777,0.0,2.688334657383109,1.5203642512791333,0.2433104706326148,0.0,0.08285971082989363,0.009917641282892091
