∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2424.4979966150963,2424.4979966150963,0.0,0.0,0.0,0.0,0.0
5092.242239449901,2667.744242834805,0.0,0.0,0.0,0.0,0.0
8195.514999432693,3103.2727599827917,0.0,0.0,0.0,0.0,0.0
11018.369093881942,2822.854094449249,0.0,0.0,0.0,0.0,0.0
13822.279491945981,2803.91039806404,0.0,0.0,0.0,0.0,0.0
16874.423622188682,3052.144130242703,0.0,0.0,0.0,0.0,0.0
20099.230751035902,3224.8071288472183,0.0,0.0,0.0,0.0,0.0
23359.33111486667,3260.1003638307648,0.0,0.0,0.0,0.0,0.0
26613.550093317415,3254.218978450745,0.0,0.0,0.0,0.0,0.0
29862.89214372296,3249.3420504055434,0.0,0.0,0.0,0.0,0.0
33117.61161047835,3254.719466755391,0.0,0.0,0.0,0.0,0.0
36391.328789335435,3273.717178857085,0.0,0.0,0.0,0.0,0.0
39678.14014314335,3286.8113538079147,0.0,0.0,0.0,0.0,0.0
42981.415484852325,3303.275341708976,0.0,0.0,0.0,0.0,0.0
46308.82784146813,3327.412356615806,0.0,0.0,0.0,0.0,0.0
49650.15110163881,3341.323260170678,0.0,0.0,0.0,0.0,0.0
53005.851343703456,3355.7002420646472,0.0,0.0,0.0,0.0,0.0
56351.59922964402,3345.7478859405637,0.0,0.0,0.0,0.0,0.0
59745.31514766802,3393.715918024001,0.0,0.0,0.0,0.0,0.0
63158.16846648043,3412.853318812406,0.0,0.0,0.0,0.0,0.0
66590.95914281714,3432.790676336713,0.0,0.0,0.0,0.0,0.0
70042.543050363,3451.5839075458694,0.0,0.0,0.0,0.0,0.0
73510.14905617795,3467.606005814951,0.0,0.0,0.0,0.0,0.0
76990.39253059706,3480.2434744191137,0.0,0.0,0.0,0.0,0.0
80485.27965791787,3494.88712732081,0.0,0.0,0.0,0.0,0.0
83995.55868673028,3510.2790288124097,0.0,0.0,0.0,0.0,0.0
87515.7606279339,3520.2019412036134,0.0,0.0,0.0,0.0,0.0
91049.20003449073,3533.4394065568354,0.0,0.0,0.0,0.0,0.0
94594.50896257286,3545.308928082133,0.0,0.0,0.0,0.0,0.0
98145.58693894494,3551.0779763720843,0.0,0.0,0.0,0.0,0.0
101696.80695897504,3551.2200200300954,0.0,0.0,0.0,0.0,0.0
105248.19366540742,3551.386706432381,0.0,0.0,0.0,0.0,0.0
108799.77642292192,3551.582757514493,0.0,0.0,0.0,0.0,0.0
112351.59133819428,3551.814915272358,0.0,0.0,0.0,0.0,0.0
115903.68436164717,3552.093023452888,0.0,0.0,0.0,0.0,0.0
119456.11631027095,3552.4319486237805,0.0,0.0,0.0,0.0,0.0
123008.97154470929,3552.8552344383424,0.0,0.0,0.0,0.0,0.0
126562.37420441277,3553.4026597034886,0.0,0.0,0.0,0.0,0.0
130116.52190728328,3554.147702870511,0.0,0.0,0.0,0.0,0.0
133671.766467017,3555.2445597337323,0.0,0.0,0.0,0.0,0.0
137228.85290506817,3557.0864380511653,0.0,0.0,0.0,0.0,0.0
140789.92007851572,3561.0671734475577,0.0,0.0,0.0,0.0,0.0
144356.6643692476,3566.74429073187,0.0,0.0,0.0,0.0,0.0
147922.1595951491,3565.4952259015263,0.0,0.0,0.0,0.0,0.0
151481.29428003632,3559.1346848872267,0.0,0.0,0.0,0.0,0.0
155038.97023624546,3557.675956209123,0.0,0.0,0.0,0.0,0.0
158596.25869561522,3557.288459369753,0.0,0.0,0.0,0.0,0.0
162153.48478164303,3557.2260860278184,0.0,0.0,0.0,0.0,0.0
165710.7744317998,3557.2896501567766,0.0,0.0,0.0,0.0,0.0
169268.18590778357,3557.4114759837703,0.0,0.0,0.0,0.0,0.0
172825.75069188073,3557.564784097172,0.0,0.0,0.0,0.0,0.0
176383.48890568255,3557.7382138018206,0.0,0.0,0.0,0.0,0.0
