iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,9.784432754788241,3.651483728587081,0.11626509125225937,0.6186311273637983,0.0,0.6424329608346433,0.00288190168127489
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,5.618222007584421,4.713319553896227,4.088341742837869,0.7967227014720883,0.0,0.6311986059002983,0.005394034477612719
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,30.569335593550164,4.42145332769897,3.829983616930974,0.7421938336272618,0.0,0.4149744158224635,0.0013342162250679912
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,16.29314584202234,4.103693531697203,3.5848125096096766,0.7189351562140409,0.0,0.1613092164094425,0.0010679949296684907
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.26776898139473815,4.777615579902431,4.114195606540434,0.7776744487199565,0.0,0.11885723464182263,0.0017014545175450778
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,4.737183485127176,4.036859015886563,0.7285742319449859,0.0,0.09720488126121296,0.0024591274707690264
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,3.6801421979002384,3.114179642365613,0.5446894227972585,0.0,0.08309073069565187,0.003387002177247876
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,3.6599289010368636,3.080556625236923,0.5286067556992862,0.0,0.07279856419929587,0.00413408506312166
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,4.2285206436175145,3.5266043059194914,0.5879738250573645,0.0,0.0648103512238194,0.004792160684364617
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,3.7429587127761863,3.0904492971086057,0.5008122187162769,0.0,0.05826780630282968,0.005719469331346018
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,0.0,4.254153673394001,3.4788314393800306,0.5495395495788351,0.0,0.05276412394584895,0.006540357795969742
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,0.0,3.845846326623189,3.105688560912313,0.47451299739868347,0.0,0.04808158127547557,0.007460137778952797
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,0.0,4.648378445698711,3.707203328639025,0.549366687731343,0.0,0.04402070300847072,0.008316955791246475
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,0.0,4.905775227694107,3.793958745301893,0.5597695990331353,0.0,0.04047634975901815,0.00901969036572766
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,0.0,5.159928901053689,3.881043306586207,0.5595116674850757,0.0,0.03732459526281673,0.009737870138112604
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.531408257435231,4.053204182472825,0.549423258302074,0.0,0.03450727320099389,0.010487157272464975
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.337183485096773,3.806326302232023,0.484537968279092,0.0,0.03197418052374701,0.011190649929180618
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.791337158521628,4.0173899358992315,0.47942175355523275,0.0,0.029684372156694394,0.011932527808180826
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.574366970227317,3.7542639451090167,0.4159024590998186,0.0,0.0276125403964258,0.012625692680386276
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,0.0,4.77436697019715,3.1396946211271057,0.3298607461361982,0.0,0.02572941221098546,0.0135694748126901
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,1.6569856597925536e-10,5.222745415952062,3.3613502682880636,0.3368504595611306,0.0,0.02401899468707569,0.014369571262646041
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,2.0183920736873517,4.422052504210285,2.7933225807075814,0.27251855220894683,0.0,0.022470209023992993,0.014496316591412064
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,1.558146952168613,4.378560111142065,2.7465359250725356,0.2855140878592053,0.0,0.021064611298491798,0.01499593752854413
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,0.7679852518901953,5.662360456009651,3.4717243298389917,0.33918808669183775,0.0,0.019787972455183933,0.015535096517277087
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,0.7679852518901953,6.1110943965051945,3.652549891655738,0.3302411409967867,0.0,0.01862609154982664,0.015932132191339918
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,2.281779307217704,5.702544900976477,3.3360606876091055,0.2933759426944569,0.0,0.01755735447051876,0.01609160652351376
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,1.0535489337934223,5.239650764613998,3.0095339148438853,0.27534352719498045,0.0,0.016565852157370387,0.01666324082820711
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,1.6555645743210334e-10,4.902887613785822,2.766316289026989,0.22887988904351886,0.0,0.015645200715319163,0.017542924957824807
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,4.931408257483156,2.716988488764912,0.20754643441955523,0.0,0.014793084391392597,0.01840670239869239
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,3.508798118007803,3.7626693392139714,2.040732145543373,0.1592044835715427,0.0,0.013946529458436885,0.017808992049255387
