iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,0.0,4.51594444444946,0.12048276702148542,0.5313749976384692,0.0,0.19651518245897392,NaN
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,0.0,5.276083333341063,3.613680919219007,0.6098127041992782,0.0,0.1635984124543306,-2.2438311523438054e6
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,5.246620370354705,3.3842918420470625,0.5939748288243045,0.0,0.1368839647617719,NaN
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.965337962967141,3.031335235108756,0.5535642487638235,0.0,0.11506483516922827,-9.627726327603862e7
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,5.1306759259275765,2.9458949112817265,0.5629314670691006,0.0,0.09826068513203268,NaN
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,5.069324074072867,2.7237917561690637,0.5477994180106087,0.0,0.08479051225149803,NaN
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,3.889254629636895,1.977734151843606,0.41612431680187,0.0,0.07390883732198361,NaN
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,-8.270717444247566e-11,3.4960138888845336,1.713721845593554,0.3723175260566052,0.0,0.06559773268638125,3.6382986955409546e9
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,3.9266898148181326,1.8281812903119246,0.41439291078230234,0.0,0.05925925730063142,NaN
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,3.707972222221599,1.6297148860136659,0.3877546343127367,0.0,0.05398558077964921,NaN
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,115.87305555563304,3.491574074069433,1.948897514683793,0.39949281310170015,0.0,0.0493918475164854,0.0005126023549083397
