∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
512.0,512.0,0.0,0.0,0.0,0.0,0.0
757.0,245.0,0.0,0.0,0.0,0.0,0.0
1659.0,902.0,0.0,0.0,0.0,0.0,0.0
1873.0,214.0,0.0,0.0,0.0,0.0,0.0
1972.0,99.0,0.0,0.0,0.0,0.0,0.0
2085.0,113.0,0.0,0.0,0.0,0.0,0.0
2194.0,109.0,0.0,0.0,0.0,0.0,0.0
2291.0,97.0,0.0,0.0,0.0,0.0,0.0
2378.0,87.0,0.0,0.0,0.0,0.0,0.0
2458.0,80.0,0.0,0.0,0.0,0.0,0.0
2539.0,81.0,0.0,0.0,0.0,0.0,0.0
2617.0,78.0,0.0,0.0,0.0,0.0,0.0
2700.0,83.0,0.0,0.0,0.0,0.0,0.0
2805.0,105.0,0.0,0.0,0.0,0.0,0.0
2857.0,52.0,0.0,0.0,0.0,0.0,0.0
2907.0,50.0,0.0,0.0,0.0,0.0,0.0
2967.0,60.0,0.0,0.0,0.0,0.0,0.0
3030.0,63.0,0.0,0.0,0.0,0.0,0.0
3087.0,57.0,0.0,0.0,0.0,0.0,0.0
3140.0,53.0,0.0,0.0,0.0,0.0,0.0
3193.0,53.0,0.0,0.0,0.0,0.0,0.0
3243.0,50.0,0.0,0.0,0.0,0.0,0.0
3291.0,48.0,0.0,0.0,0.0,0.0,0.0
3337.0,46.0,0.0,0.0,0.0,0.0,0.0
3383.0,46.0,0.0,0.0,0.0,0.0,0.0
3429.0,46.0,0.0,0.0,0.0,0.0,0.0
3475.0,46.0,0.0,0.0,0.0,0.0,0.0
3521.0,46.0,0.0,0.0,0.0,0.0,0.0
3568.0,47.0,0.0,0.0,0.0,0.0,0.0
3616.0,48.0,0.0,0.0,0.0,0.0,0.0
3665.0,49.0,0.0,0.0,0.0,0.0,0.0
3716.0,51.0,0.0,0.0,0.0,0.0,0.0
3769.0,53.0,0.0,0.0,0.0,0.0,0.0
3825.0,56.0,0.0,0.0,0.0,0.0,0.0
3885.0,60.0,0.0,0.0,0.0,0.0,0.0
3953.0,68.0,0.0,0.0,0.0,0.0,0.0
4034.0,81.0,0.0,0.0,0.0,0.0,0.0
4115.0,81.0,0.0,0.0,0.0,0.0,0.0
4202.0,87.0,0.0,0.0,0.0,0.0,0.0
4307.0,105.0,0.0,0.0,0.0,0.0,0.0
4451.0,144.0,0.0,0.0,0.0,0.0,0.0
4691.0,240.0,0.0,0.0,0.0,0.0,0.0
4803.0,112.0,0.0,0.0,0.0,0.0,0.0
4919.0,116.0,0.0,0.0,0.0,0.0,0.0
5024.0,105.0,0.0,0.0,0.0,0.0,0.0
5119.0,95.0,0.0,0.0,0.0,0.0,0.0
5215.0,96.0,0.0,0.0,0.0,0.0,0.0
5304.0,89.0,0.0,0.0,0.0,0.0,0.0
