∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1295.0,1295.0,0.0,0.0,0.0,0.0,0.0
2598.0,1303.0,0.0,0.0,0.0,0.0,0.0
3900.0,1302.0,0.0,0.0,0.0,0.0,0.0
5139.0,1239.0,0.0,0.0,0.0,0.0,0.0
6344.0,1205.0,0.0,0.0,0.0,0.0,0.0
7528.0,1184.0,0.0,0.0,0.0,0.0,0.0
8699.0,1171.0,0.0,0.0,0.0,0.0,0.0
9861.0,1162.0,0.0,0.0,0.0,0.0,0.0
10957.0,1096.0,0.0,0.0,0.0,0.0,0.0
11993.0,1036.0,0.0,0.0,0.0,0.0,0.0
12995.0,1002.0,0.0,0.0,0.0,0.0,0.0
13977.0,982.0,0.0,0.0,0.0,0.0,0.0
14949.0,972.0,0.0,0.0,0.0,0.0,0.0
15928.0,979.0,0.0,0.0,0.0,0.0,0.0
17057.0,1129.0,0.0,0.0,0.0,0.0,0.0
18386.0,1329.0,0.0,0.0,0.0,0.0,0.0
20104.0,1718.0,0.0,0.0,0.0,0.0,0.0
22195.0,2091.0,0.0,0.0,0.0,0.0,0.0
24571.0,2376.0,0.0,0.0,0.0,0.0,0.0
27171.0,2600.0,0.0,0.0,0.0,0.0,0.0
29881.0,2710.0,0.0,0.0,0.0,0.0,0.0
32631.0,2750.0,0.0,0.0,0.0,0.0,0.0
35401.0,2770.0,0.0,0.0,0.0,0.0,0.0
38177.0,2776.0,0.0,0.0,0.0,0.0,0.0
40926.0,2749.0,0.0,0.0,0.0,0.0,0.0
43662.0,2736.0,0.0,0.0,0.0,0.0,0.0
46389.0,2727.0,0.0,0.0,0.0,0.0,0.0
49087.0,2698.0,0.0,0.0,0.0,0.0,0.0
51763.0,2676.0,0.0,0.0,0.0,0.0,0.0
54423.0,2660.0,0.0,0.0,0.0,0.0,0.0
57071.0,2648.0,0.0,0.0,0.0,0.0,0.0
59710.0,2639.0,0.0,0.0,0.0,0.0,0.0
62343.0,2633.0,0.0,0.0,0.0,0.0,0.0
64977.0,2634.0,0.0,0.0,0.0,0.0,0.0
67637.0,2660.0,0.0,0.0,0.0,0.0,0.0
70313.0,2676.0,0.0,0.0,0.0,0.0,0.0
72960.0,2647.0,0.0,0.0,0.0,0.0,0.0
75535.0,2575.0,0.0,0.0,0.0,0.0,0.0
78059.0,2524.0,0.0,0.0,0.0,0.0,0.0
80545.0,2486.0,0.0,0.0,0.0,0.0,0.0
83003.0,2458.0,0.0,0.0,0.0,0.0,0.0
85433.0,2430.0,0.0,0.0,0.0,0.0,0.0
87828.0,2395.0,0.0,0.0,0.0,0.0,0.0
90195.0,2367.0,0.0,0.0,0.0,0.0,0.0
92548.0,2353.0,0.0,0.0,0.0,0.0,0.0
94883.0,2335.0,0.0,0.0,0.0,0.0,0.0
97183.0,2300.0,0.0,0.0,0.0,0.0,0.0
99442.0,2259.0,0.0,0.0,0.0,0.0,0.0
101653.0,2211.0,0.0,0.0,0.0,0.0,0.0
103812.0,2159.0,0.0,0.0,0.0,0.0,0.0
105921.0,2109.0,0.0,0.0,0.0,0.0,0.0
107972.0,2051.0,0.0,0.0,0.0,0.0,0.0
109965.0,1993.0,0.0,0.0,0.0,0.0,0.0
111910.0,1945.0,0.0,0.0,0.0,0.0,0.0
113811.0,1901.0,0.0,0.0,0.0,0.0,0.0
115677.0,1866.0,0.0,0.0,0.0,0.0,0.0
117526.0,1849.0,0.0,0.0,0.0,0.0,0.0
119342.0,1816.0,0.0,0.0,0.0,0.0,0.0
121122.0,1780.0,0.0,0.0,0.0,0.0,0.0
122870.0,1748.0,0.0,0.0,0.0,0.0,0.0
124589.0,1719.0,0.0,0.0,0.0,0.0,0.0
126282.0,1693.0,0.0,0.0,0.0,0.0,0.0
127953.0,1671.0,0.0,0.0,0.0,0.0,0.0
129605.0,1652.0,0.0,0.0,0.0,0.0,0.0
131239.0,1634.0,0.0,0.0,0.0,0.0,0.0
132858.0,1619.0,0.0,0.0,0.0,0.0,0.0
134454.0,1596.0,0.0,0.0,0.0,0.0,0.0
136025.0,1571.0,0.0,0.0,0.0,0.0,0.0
137573.0,1548.0,0.0,0.0,0.0,0.0,0.0
139089.0,1516.0,0.0,0.0,0.0,0.0,0.0
140537.0,1448.0,0.0,0.0,0.0,0.0,0.0
141914.0,1377.0,0.0,0.0,0.0,0.0,0.0
143211.0,1297.0,0.0,0.0,0.0,0.0,0.0
144432.0,1221.0,0.0,0.0,0.0,0.0,0.0
145586.0,1154.0,0.0,0.0,0.0,0.0,0.0
146683.0,1097.0,0.0,0.0,0.0,0.0,0.0
147733.0,1050.0,0.0,0.0,0.0,0.0,0.0
148743.0,1010.0,0.0,0.0,0.0,0.0,0.0
149720.0,977.0,0.0,0.0,0.0,0.0,0.0
150669.0,949.0,0.0,0.0,0.0,0.0,0.0
151594.0,925.0,0.0,0.0,0.0,0.0,0.0
152498.0,904.0,0.0,0.0,0.0,0.0,0.0
153384.0,886.0,0.0,0.0,0.0,0.0,0.0
154254.0,870.0,0.0,0.0,0.0,0.0,0.0
155110.0,856.0,0.0,0.0,0.0,0.0,0.0
155953.0,843.0,0.0,0.0,0.0,0.0,0.0
156785.0,832.0,0.0,0.0,0.0,0.0,0.0
157607.0,822.0,0.0,0.0,0.0,0.0,0.0
158420.0,813.0,0.0,0.0,0.0,0.0,0.0
159225.0,805.0,0.0,0.0,0.0,0.0,0.0
160023.0,798.0,0.0,0.0,0.0,0.0,0.0
160814.0,791.0,0.0,0.0,0.0,0.0,0.0
161599.0,785.0,0.0,0.0,0.0,0.0,0.0
162379.0,780.0,0.0,0.0,0.0,0.0,0.0
163154.0,775.0,0.0,0.0,0.0,0.0,0.0
163924.0,770.0,0.0,0.0,0.0,0.0,0.0
164690.0,766.0,0.0,0.0,0.0,0.0,0.0
165453.0,763.0,0.0,0.0,0.0,0.0,0.0
166213.0,760.0,0.0,0.0,0.0,0.0,0.0
166970.0,757.0,0.0,0.0,0.0,0.0,0.0
167725.0,755.0,0.0,0.0,0.0,0.0,0.0
168478.0,753.0,0.0,0.0,0.0,0.0,0.0
169229.0,751.0,0.0,0.0,0.0,0.0,0.0
169979.0,750.0,0.0,0.0,0.0,0.0,0.0
170728.0,749.0,0.0,0.0,0.0,0.0,0.0
171476.0,748.0,0.0,0.0,0.0,0.0,0.0
172223.0,747.0,0.0,0.0,0.0,0.0,0.0
172970.0,747.0,0.0,0.0,0.0,0.0,0.0
173714.0,744.0,0.0,0.0,0.0,0.0,0.0
174450.0,736.0,0.0,0.0,0.0,0.0,0.0
175190.0,740.0,0.0,0.0,0.0,0.0,0.0
175933.0,743.0,0.0,0.0,0.0,0.0,0.0
176678.0,745.0,0.0,0.0,0.0,0.0,0.0
177425.0,747.0,0.0,0.0,0.0,0.0,0.0
178174.0,749.0,0.0,0.0,0.0,0.0,0.0
178924.0,750.0,0.0,0.0,0.0,0.0,0.0
179676.0,752.0,0.0,0.0,0.0,0.0,0.0
180430.0,754.0,0.0,0.0,0.0,0.0,0.0
181186.0,756.0,0.0,0.0,0.0,0.0,0.0
181944.0,758.0,0.0,0.0,0.0,0.0,0.0
182704.0,760.0,0.0,0.0,0.0,0.0,0.0
183466.0,762.0,0.0,0.0,0.0,0.0,0.0
184231.0,765.0,0.0,0.0,0.0,0.0,0.0
184999.0,768.0,0.0,0.0,0.0,0.0,0.0
185770.0,771.0,0.0,0.0,0.0,0.0,0.0
186544.0,774.0,0.0,0.0,0.0,0.0,0.0
187322.0,778.0,0.0,0.0,0.0,0.0,0.0
188103.0,781.0,0.0,0.0,0.0,0.0,0.0
188888.0,785.0,0.0,0.0,0.0,0.0,0.0
189677.0,789.0,0.0,0.0,0.0,0.0,0.0
190470.0,793.0,0.0,0.0,0.0,0.0,0.0
191268.0,798.0,0.0,0.0,0.0,0.0,0.0
192070.0,802.0,0.0,0.0,0.0,0.0,0.0
192877.0,807.0,0.0,0.0,0.0,0.0,0.0
193689.0,812.0,0.0,0.0,0.0,0.0,0.0
194506.0,817.0,0.0,0.0,0.0,0.0,0.0
195328.0,822.0,0.0,0.0,0.0,0.0,0.0
196156.0,828.0,0.0,0.0,0.0,0.0,0.0
196990.0,834.0,0.0,0.0,0.0,0.0,0.0
197830.0,840.0,0.0,0.0,0.0,0.0,0.0
198676.0,846.0,0.0,0.0,0.0,0.0,0.0
199529.0,853.0,0.0,0.0,0.0,0.0,0.0
200389.0,860.0,0.0,0.0,0.0,0.0,0.0
201256.0,867.0,0.0,0.0,0.0,0.0,0.0
202130.0,874.0,0.0,0.0,0.0,0.0,0.0
203011.0,881.0,0.0,0.0,0.0,0.0,0.0
203900.0,889.0,0.0,0.0,0.0,0.0,0.0
204797.0,897.0,0.0,0.0,0.0,0.0,0.0
205702.0,905.0,0.0,0.0,0.0,0.0,0.0
206606.0,904.0,0.0,0.0,0.0,0.0,0.0
207504.0,898.0,0.0,0.0,0.0,0.0,0.0
208394.0,890.0,0.0,0.0,0.0,0.0,0.0
209276.0,882.0,0.0,0.0,0.0,0.0,0.0
210149.0,873.0,0.0,0.0,0.0,0.0,0.0
211014.0,865.0,0.0,0.0,0.0,0.0,0.0
211871.0,857.0,0.0,0.0,0.0,0.0,0.0
212720.0,849.0,0.0,0.0,0.0,0.0,0.0
213561.0,841.0,0.0,0.0,0.0,0.0,0.0
214395.0,834.0,0.0,0.0,0.0,0.0,0.0
215222.0,827.0,0.0,0.0,0.0,0.0,0.0
216042.0,820.0,0.0,0.0,0.0,0.0,0.0
216856.0,814.0,0.0,0.0,0.0,0.0,0.0
217664.0,808.0,0.0,0.0,0.0,0.0,0.0
218466.0,802.0,0.0,0.0,0.0,0.0,0.0
219262.0,796.0,0.0,0.0,0.0,0.0,0.0
220052.0,790.0,0.0,0.0,0.0,0.0,0.0
220836.0,784.0,0.0,0.0,0.0,0.0,0.0
221615.0,779.0,0.0,0.0,0.0,0.0,0.0
222389.0,774.0,0.0,0.0,0.0,0.0,0.0
223158.0,769.0,0.0,0.0,0.0,0.0,0.0
223922.0,764.0,0.0,0.0,0.0,0.0,0.0
224682.0,760.0,0.0,0.0,0.0,0.0,0.0
225437.0,755.0,0.0,0.0,0.0,0.0,0.0
226188.0,751.0,0.0,0.0,0.0,0.0,0.0
226935.0,747.0,0.0,0.0,0.0,0.0,0.0
227678.0,743.0,0.0,0.0,0.0,0.0,0.0
228417.0,739.0,0.0,0.0,0.0,0.0,0.0
229152.0,735.0,0.0,0.0,0.0,0.0,0.0
229883.0,731.0,0.0,0.0,0.0,0.0,0.0
230610.0,727.0,0.0,0.0,0.0,0.0,0.0
231333.0,723.0,0.0,0.0,0.0,0.0,0.0
232053.0,720.0,0.0,0.0,0.0,0.0,0.0
232769.0,716.0,0.0,0.0,0.0,0.0,0.0
233482.0,713.0,0.0,0.0,0.0,0.0,0.0
234192.0,710.0,0.0,0.0,0.0,0.0,0.0
234898.0,706.0,0.0,0.0,0.0,0.0,0.0
235601.0,703.0,0.0,0.0,0.0,0.0,0.0
236301.0,700.0,0.0,0.0,0.0,0.0,0.0
236998.0,697.0,0.0,0.0,0.0,0.0,0.0
237692.0,694.0,0.0,0.0,0.0,0.0,0.0
238383.0,691.0,0.0,0.0,0.0,0.0,0.0
239071.0,688.0,0.0,0.0,0.0,0.0,0.0
239756.0,685.0,0.0,0.0,0.0,0.0,0.0
240438.0,682.0,0.0,0.0,0.0,0.0,0.0
241117.0,679.0,0.0,0.0,0.0,0.0,0.0
241794.0,677.0,0.0,0.0,0.0,0.0,0.0
242468.0,674.0,0.0,0.0,0.0,0.0,0.0
243139.0,671.0,0.0,0.0,0.0,0.0,0.0
243808.0,669.0,0.0,0.0,0.0,0.0,0.0
244474.0,666.0,0.0,0.0,0.0,0.0,0.0
245138.0,664.0,0.0,0.0,0.0,0.0,0.0
245799.0,661.0,0.0,0.0,0.0,0.0,0.0
246458.0,659.0,0.0,0.0,0.0,0.0,0.0
247114.0,656.0,0.0,0.0,0.0,0.0,0.0
247768.0,654.0,0.0,0.0,0.0,0.0,0.0
248419.0,651.0,0.0,0.0,0.0,0.0,0.0
249068.0,649.0,0.0,0.0,0.0,0.0,0.0
249715.0,647.0,0.0,0.0,0.0,0.0,0.0
250359.0,644.0,0.0,0.0,0.0,0.0,0.0
251001.0,642.0,0.0,0.0,0.0,0.0,0.0
251641.0,640.0,0.0,0.0,0.0,0.0,0.0
252278.0,637.0,0.0,0.0,0.0,0.0,0.0
252913.0,635.0,0.0,0.0,0.0,0.0,0.0
253545.0,632.0,0.0,0.0,0.0,0.0,0.0
254175.0,630.0,0.0,0.0,0.0,0.0,0.0
254803.0,628.0,0.0,0.0,0.0,0.0,0.0
255428.0,625.0,0.0,0.0,0.0,0.0,0.0
256051.0,623.0,0.0,0.0,0.0,0.0,0.0
256672.0,621.0,0.0,0.0,0.0,0.0,0.0
257290.0,618.0,0.0,0.0,0.0,0.0,0.0
257906.0,616.0,0.0,0.0,0.0,0.0,0.0
258520.0,614.0,0.0,0.0,0.0,0.0,0.0
259131.0,611.0,0.0,0.0,0.0,0.0,0.0
259740.0,609.0,0.0,0.0,0.0,0.0,0.0
260462.0,722.0,0.0,0.0,0.0,0.0,0.0
261166.0,704.0,0.0,0.0,0.0,0.0,0.0
261837.0,671.0,0.0,0.0,0.0,0.0,0.0
262485.0,648.0,0.0,0.0,0.0,0.0,0.0
263119.0,634.0,0.0,0.0,0.0,0.0,0.0
263744.0,625.0,0.0,0.0,0.0,0.0,0.0
264363.0,619.0,0.0,0.0,0.0,0.0,0.0
264978.0,615.0,0.0,0.0,0.0,0.0,0.0
265589.0,611.0,0.0,0.0,0.0,0.0,0.0
266197.0,608.0,0.0,0.0,0.0,0.0,0.0
266802.0,605.0,0.0,0.0,0.0,0.0,0.0
267404.0,602.0,0.0,0.0,0.0,0.0,0.0
268003.0,599.0,0.0,0.0,0.0,0.0,0.0
268599.0,596.0,0.0,0.0,0.0,0.0,0.0
269192.0,593.0,0.0,0.0,0.0,0.0,0.0
269782.0,590.0,0.0,0.0,0.0,0.0,0.0
270369.0,587.0,0.0,0.0,0.0,0.0,0.0
270953.0,584.0,0.0,0.0,0.0,0.0,0.0
271534.0,581.0,0.0,0.0,0.0,0.0,0.0
272113.0,579.0,0.0,0.0,0.0,0.0,0.0
272689.0,576.0,0.0,0.0,0.0,0.0,0.0
273262.0,573.0,0.0,0.0,0.0,0.0,0.0
273832.0,570.0,0.0,0.0,0.0,0.0,0.0
274399.0,567.0,0.0,0.0,0.0,0.0,0.0
274963.0,564.0,0.0,0.0,0.0,0.0,0.0
275524.0,561.0,0.0,0.0,0.0,0.0,0.0
276082.0,558.0,0.0,0.0,0.0,0.0,0.0
276637.0,555.0,0.0,0.0,0.0,0.0,0.0
277190.0,553.0,0.0,0.0,0.0,0.0,0.0
277740.0,550.0,0.0,0.0,0.0,0.0,0.0
278287.0,547.0,0.0,0.0,0.0,0.0,0.0
278831.0,544.0,0.0,0.0,0.0,0.0,0.0
279372.0,541.0,0.0,0.0,0.0,0.0,0.0
279911.0,539.0,0.0,0.0,0.0,0.0,0.0
280447.0,536.0,0.0,0.0,0.0,0.0,0.0
280980.0,533.0,0.0,0.0,0.0,0.0,0.0
281510.0,530.0,0.0,0.0,0.0,0.0,0.0
282038.0,528.0,0.0,0.0,0.0,0.0,0.0
