∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
330.0,330.0,0.0,0.0,0.0,0.0,0.0
676.0,346.0,0.0,0.0,0.0,0.0,0.0
1138.0,462.0,0.0,0.0,0.0,0.0,0.0
1611.0,473.0,0.0,0.0,0.0,0.0,0.0
2348.0,737.0,0.0,0.0,0.0,0.0,0.0
3202.0,854.0,0.0,0.0,0.0,0.0,0.0
3818.0,616.0,0.0,0.0,0.0,0.0,0.0
4401.0,583.0,0.0,0.0,0.0,0.0,0.0
4955.0,554.0,0.0,0.0,0.0,0.0,0.0
5748.0,793.0,0.0,0.0,0.0,0.0,0.0
6595.0,847.0,0.0,0.0,0.0,0.0,0.0
7498.0,903.0,0.0,0.0,0.0,0.0,0.0
8469.0,971.0,0.0,0.0,0.0,0.0,0.0
9545.0,1076.0,0.0,0.0,0.0,0.0,0.0
10697.0,1152.0,0.0,0.0,0.0,0.0,0.0
11989.0,1292.0,0.0,0.0,0.0,0.0,0.0
13415.0,1426.0,0.0,0.0,0.0,0.0,0.0
14909.0,1494.0,0.0,0.0,0.0,0.0,0.0
16487.0,1578.0,0.0,0.0,0.0,0.0,0.0
18173.0,1686.0,0.0,0.0,0.0,0.0,0.0
19955.0,1782.0,0.0,0.0,0.0,0.0,0.0
21865.0,1910.0,0.0,0.0,0.0,0.0,0.0
23927.0,2062.0,0.0,0.0,0.0,0.0,0.0
26174.0,2247.0,0.0,0.0,0.0,0.0,0.0
28607.0,2433.0,0.0,0.0,0.0,0.0,0.0
31204.0,2597.0,0.0,0.0,0.0,0.0,0.0
34004.0,2800.0,0.0,0.0,0.0,0.0,0.0
37043.0,3039.0,0.0,0.0,0.0,0.0,0.0
40308.0,3265.0,0.0,0.0,0.0,0.0,0.0
43746.0,3438.0,0.0,0.0,0.0,0.0,0.0
47292.0,3546.0,0.0,0.0,0.0,0.0,0.0
50892.0,3600.0,0.0,0.0,0.0,0.0,0.0
54492.0,3600.0,0.0,0.0,0.0,0.0,0.0
58092.0,3600.0,0.0,0.0,0.0,0.0,0.0
61692.0,3600.0,0.0,0.0,0.0,0.0,0.0
65292.0,3600.0,0.0,0.0,0.0,0.0,0.0
68892.0,3600.0,0.0,0.0,0.0,0.0,0.0
72492.0,3600.0,0.0,0.0,0.0,0.0,0.0
76092.0,3600.0,0.0,0.0,0.0,0.0,0.0
79692.0,3600.0,0.0,0.0,0.0,0.0,0.0
83292.0,3600.0,0.0,0.0,0.0,0.0,0.0
86892.0,3600.0,0.0,0.0,0.0,0.0,0.0
90492.0,3600.0,0.0,0.0,0.0,0.0,0.0
94092.0,3600.0,0.0,0.0,0.0,0.0,0.0
97692.0,3600.0,0.0,0.0,0.0,0.0,0.0
101292.0,3600.0,0.0,0.0,0.0,0.0,0.0
104892.0,3600.0,0.0,0.0,0.0,0.0,0.0
108492.0,3600.0,0.0,0.0,0.0,0.0,0.0
112092.0,3600.0,0.0,0.0,0.0,0.0,0.0
115692.0,3600.0,0.0,0.0,0.0,0.0,0.0
119292.0,3600.0,0.0,0.0,0.0,0.0,0.0
122892.0,3600.0,0.0,0.0,0.0,0.0,0.0
126492.0,3600.0,0.0,0.0,0.0,0.0,0.0
130092.0,3600.0,0.0,0.0,0.0,0.0,0.0
133692.0,3600.0,0.0,0.0,0.0,0.0,0.0
137292.0,3600.0,0.0,0.0,0.0,0.0,0.0
140892.0,3600.0,0.0,0.0,0.0,0.0,0.0
144492.0,3600.0,0.0,0.0,0.0,0.0,0.0
148092.0,3600.0,0.0,0.0,0.0,0.0,0.0
151692.0,3600.0,0.0,0.0,0.0,0.0,0.0
155292.0,3600.0,0.0,0.0,0.0,0.0,0.0
158892.0,3600.0,0.0,0.0,0.0,0.0,0.0
162492.0,3600.0,0.0,0.0,0.0,0.0,0.0
166092.0,3600.0,0.0,0.0,0.0,0.0,0.0
169692.0,3600.0,0.0,0.0,0.0,0.0,0.0
173292.0,3600.0,0.0,0.0,0.0,0.0,0.0
176892.0,3600.0,0.0,0.0,0.0,0.0,0.0
180492.0,3600.0,0.0,0.0,0.0,0.0,0.0
184092.0,3600.0,0.0,0.0,0.0,0.0,0.0
187692.0,3600.0,0.0,0.0,0.0,0.0,0.0
191292.0,3600.0,0.0,0.0,0.0,0.0,0.0
194892.0,3600.0,0.0,0.0,0.0,0.0,0.0
198492.0,3600.0,0.0,0.0,0.0,0.0,0.0
202092.0,3600.0,0.0,0.0,0.0,0.0,0.0
205692.0,3600.0,0.0,0.0,0.0,0.0,0.0
209292.0,3600.0,0.0,0.0,0.0,0.0,0.0
212892.0,3600.0,0.0,0.0,0.0,0.0,0.0
216492.0,3600.0,0.0,0.0,0.0,0.0,0.0
220092.0,3600.0,0.0,0.0,0.0,0.0,0.0
223692.0,3600.0,0.0,0.0,0.0,0.0,0.0
227292.0,3600.0,0.0,0.0,0.0,0.0,0.0
230892.0,3600.0,0.0,0.0,0.0,0.0,0.0
234492.0,3600.0,0.0,0.0,0.0,0.0,0.0
238092.0,3600.0,0.0,0.0,0.0,0.0,0.0
241692.0,3600.0,0.0,0.0,0.0,0.0,0.0
245292.0,3600.0,0.0,0.0,0.0,0.0,0.0
248892.0,3600.0,0.0,0.0,0.0,0.0,0.0
252492.0,3600.0,0.0,0.0,0.0,0.0,0.0
256092.0,3600.0,0.0,0.0,0.0,0.0,0.0
259692.0,3600.0,0.0,0.0,0.0,0.0,0.0
263292.0,3600.0,0.0,0.0,0.0,0.0,0.0
266892.0,3600.0,0.0,0.0,0.0,0.0,0.0
270492.0,3600.0,0.0,0.0,0.0,0.0,0.0
274092.0,3600.0,0.0,0.0,0.0,0.0,0.0
277692.0,3600.0,0.0,0.0,0.0,0.0,0.0
281292.0,3600.0,0.0,0.0,0.0,0.0,0.0
284892.0,3600.0,0.0,0.0,0.0,0.0,0.0
288492.0,3600.0,0.0,0.0,0.0,0.0,0.0
292092.0,3600.0,0.0,0.0,0.0,0.0,0.0
295692.0,3600.0,0.0,0.0,0.0,0.0,0.0
299292.0,3600.0,0.0,0.0,0.0,0.0,0.0
302892.0,3600.0,0.0,0.0,0.0,0.0,0.0
306492.0,3600.0,0.0,0.0,0.0,0.0,0.0
310092.0,3600.0,0.0,0.0,0.0,0.0,0.0
313692.0,3600.0,0.0,0.0,0.0,0.0,0.0
317292.0,3600.0,0.0,0.0,0.0,0.0,0.0
320892.0,3600.0,0.0,0.0,0.0,0.0,0.0
324492.0,3600.0,0.0,0.0,0.0,0.0,0.0
328092.0,3600.0,0.0,0.0,0.0,0.0,0.0
331692.0,3600.0,0.0,0.0,0.0,0.0,0.0
335292.0,3600.0,0.0,0.0,0.0,0.0,0.0
338892.0,3600.0,0.0,0.0,0.0,0.0,0.0
342492.0,3600.0,0.0,0.0,0.0,0.0,0.0
346092.0,3600.0,0.02031651221196995,0.02031651221196995,0.0,0.02031651221196995,0.0
349252.0,3160.0,0.15080468007746006,0.1304881678654901,0.0,0.1304881678654901,0.0
352393.0,3141.0,0.2805082671867982,0.12970358710933816,0.0,0.12970358710933816,0.0
355540.0,3147.0,0.4104596166401855,0.12995134945338727,0.0,0.12995134945338727,0.0
358754.0,3214.0,0.5431776456021122,0.13271802896192675,0.0,0.13271802896192675,0.0
362067.0,3313.0,0.6799837532408386,0.13680610763872636,0.0,0.13680610763872636,0.0
365489.0,3422.0,0.8212908767964429,0.14130712355560426,0.0,0.14130712355560426,0.0
369014.0,3525.0,0.9668512539248795,0.1455603771284366,0.0,0.1455603771284366,0.0
372612.0,3598.0,1.115426072905903,0.14857481898102343,0.0,0.14857481898102343,0.0
376212.0,3600.0,1.2640834793349445,0.14865740642904157,0.0,0.14865740642904157,0.0
379812.0,3600.0,1.4127408857639843,0.1486574064290398,0.0,0.1486574064290398,0.0
383412.0,3600.0,1.5613982921930258,0.14865740642904157,0.0,0.14865740642904157,0.0
387012.0,3600.0,1.7100556986220656,0.1486574064290398,0.0,0.1486574064290398,0.0
390612.0,3600.0,1.8587131050511072,0.14865740642904157,0.0,0.14865740642904157,0.0
394212.0,3600.0,2.007370511480149,0.14865740642904157,0.0,0.14865740642904157,0.0
397812.0,3600.0,2.1560279179091904,0.14865740642904157,0.0,0.14865740642904157,0.0
401412.0,3600.0,2.3046853243382284,0.14865740642903802,0.0,0.14865740642903802,0.0
405012.0,3600.0,2.45334273076727,0.14865740642904157,0.0,0.14865740642904157,0.0
408612.0,3600.0,2.6020001371963115,0.14865740642904157,0.0,0.14865740642904157,0.0
412212.0,3600.0,2.750657543625353,0.14865740642904157,0.0,0.14865740642904157,0.0
415812.0,3600.0,2.899314950054391,0.14865740642903802,0.0,0.14865740642903802,0.0
419412.0,3600.0,3.0479723564834327,0.14865740642904157,0.0,0.14865740642904157,0.0
423012.0,3600.0,3.1966297629124742,0.14865740642904157,0.0,0.14865740642904157,0.0
426612.0,3600.0,3.345287169341516,0.14865740642904157,0.0,0.14865740642904157,0.0
430212.0,3600.0,3.4939445757705574,0.14865740642904157,0.0,0.14865740642904157,0.0
