∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
325.0,325.0,0.0,0.0,0.0,0.0,0.0
978.0,653.0,0.0,0.0,0.0,0.0,0.0
1629.0,651.0,0.0,0.0,0.0,0.0,0.0
2284.0,655.0,0.0,0.0,0.0,0.0,0.0
2934.0,650.0,0.0,0.0,0.0,0.0,0.0
3493.0,559.0,0.0,0.0,0.0,0.0,0.0
4018.0,525.0,0.0,0.0,0.0,0.0,0.0
4504.0,486.0,0.0,0.0,0.0,0.0,0.0
5195.0,691.0,0.0,0.0,0.0,0.0,0.0
5975.0,780.0,0.0,0.0,0.0,0.0,0.0
6759.0,784.0,0.0,0.0,0.0,0.0,0.0
7558.0,799.0,0.0,0.0,0.0,0.0,0.0
8392.0,834.0,0.0,0.0,0.0,0.0,0.0
9285.0,893.0,0.0,0.0,0.0,0.0,0.0
10234.0,949.0,0.0,0.0,0.0,0.0,0.0
11187.0,953.0,0.0,0.0,0.0,0.0,0.0
12134.0,947.0,0.0,0.0,0.0,0.0,0.0
13108.0,974.0,0.0,0.0,0.0,0.0,0.0
14056.0,948.0,0.0,0.0,0.0,0.0,0.0
14960.0,904.0,0.0,0.0,0.0,0.0,0.0
15831.0,871.0,0.0,0.0,0.0,0.0,0.0
16660.0,829.0,0.0,0.0,0.0,0.0,0.0
17350.0,690.0,0.0,0.0,0.0,0.0,0.0
17991.0,641.0,0.0,0.0,0.0,0.0,0.0
18588.0,597.0,0.0,0.0,0.0,0.0,0.0
19156.0,568.0,0.0,0.0,0.0,0.0,0.0
19708.0,552.0,0.0,0.0,0.0,0.0,0.0
20252.0,544.0,0.0,0.0,0.0,0.0,0.0
20793.0,541.0,0.0,0.0,0.0,0.0,0.0
21333.0,540.0,0.0,0.0,0.0,0.0,0.0
21873.0,540.0,0.0,0.0,0.0,0.0,0.0
22414.0,541.0,0.0,0.0,0.0,0.0,0.0
22956.0,542.0,0.0,0.0,0.0,0.0,0.0
23500.0,544.0,0.0,0.0,0.0,0.0,0.0
24046.0,546.0,0.0,0.0,0.0,0.0,0.0
24600.0,554.0,0.0,0.0,0.0,0.0,0.0
25169.0,569.0,0.0,0.0,0.0,0.0,0.0
25743.0,574.0,0.0,0.0,0.0,0.0,0.0
26317.0,574.0,0.0,0.0,0.0,0.0,0.0
26895.0,578.0,0.0,0.0,0.0,0.0,0.0
27481.0,586.0,0.0,0.0,0.0,0.0,0.0
28080.0,599.0,0.0,0.0,0.0,0.0,0.0
28697.0,617.0,0.0,0.0,0.0,0.0,0.0
29337.0,640.0,0.0,0.0,0.0,0.0,0.0
30006.0,669.0,0.0,0.0,0.0,0.0,0.0
30713.0,707.0,0.0,0.0,0.0,0.0,0.0
31471.0,758.0,0.0,0.0,0.0,0.0,0.0
32291.0,820.0,0.0,0.0,0.0,0.0,0.0
33134.0,843.0,0.0,0.0,0.0,0.0,0.0
34023.0,889.0,0.0,0.0,0.0,0.0,0.0
34899.0,876.0,0.0,0.0,0.0,0.0,0.0
35776.0,877.0,0.0,0.0,0.0,0.0,0.0
36660.0,884.0,0.0,0.0,0.0,0.0,0.0
37552.0,892.0,0.0,0.0,0.0,0.0,0.0
38452.0,900.0,0.0,0.0,0.0,0.0,0.0
39357.0,905.0,0.0,0.0,0.0,0.0,0.0
40264.0,907.0,0.0,0.0,0.0,0.0,0.0
41171.0,907.0,0.0,0.0,0.0,0.0,0.0
42077.0,906.0,0.0,0.0,0.0,0.0,0.0
42982.0,905.0,0.0,0.0,0.0,0.0,0.0
43886.0,904.0,0.0,0.0,0.0,0.0,0.0
44791.0,905.0,0.0,0.0,0.0,0.0,0.0
45699.0,908.0,0.0,0.0,0.0,0.0,0.0
46611.0,912.0,0.0,0.0,0.0,0.0,0.0
47529.0,918.0,0.0,0.0,0.0,0.0,0.0
48455.0,926.0,0.0,0.0,0.0,0.0,0.0
49391.0,936.0,0.0,0.0,0.0,0.0,0.0
50339.0,948.0,0.0,0.0,0.0,0.0,0.0
51303.0,964.0,0.0,0.0,0.0,0.0,0.0
52284.0,981.0,0.0,0.0,0.0,0.0,0.0
53283.0,999.0,0.0,0.0,0.0,0.0,0.0
54300.0,1017.0,0.0,0.0,0.0,0.0,0.0
55336.0,1036.0,0.0,0.0,0.0,0.0,0.0
56399.0,1063.0,0.0,0.0,0.0,0.0,0.0
57500.0,1101.0,0.0,0.0,0.0,0.0,0.0
58629.0,1129.0,0.0,0.0,0.0,0.0,0.0
59818.0,1189.0,0.0,0.0,0.0,0.0,0.0
60836.0,1018.0,0.0,0.0,0.0,0.0,0.0
61535.0,699.0,0.0,0.0,0.0,0.0,0.0
61776.0,241.0,0.0,0.0,0.0,0.0,0.0
61890.0,114.0,0.0,0.0,0.0,0.0,0.0
61979.0,89.0,0.0,0.0,0.0,0.0,0.0
62063.0,84.0,0.0,0.0,0.0,0.0,0.0
62140.0,77.0,0.0,0.0,0.0,0.0,0.0
62212.0,72.0,0.0,0.0,0.0,0.0,0.0
