iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,24.70677087443505,0.19188523972010785,0.0014879035121933004,0.022904950918110956,0.0,0.8517591259160753,-5.035631859694363e-7
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,10.353771655045989,0.7204870743853888,0.6746415815626452,0.08935640889801988,0.0,0.7896726864676538,1.924748828087907e-6
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,2.072149531431762,1.9249685792798488,0.25168269132956134,0.0,0.7542594739390296,2.9728807467879793e-6
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,3.122425925928212,2.863043932092623,0.3677624499814449,0.0,0.7194913704277326,2.8481815274500037e-6
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,4.836671296281551,4.347419034322925,0.5448931255476595,0.0,0.6841880367980622,1.3936933489564466e-6
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,6.057122685186627,5.288332224858692,0.6419775721194512,0.0,0.6443721015851764,-8.083926589879894e-7
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,4.210296296299617,3.570706447295592,0.4218346850580854,0.0,0.5998699863028207,-4.319821343285916e-6
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,2.2510578703634394,1.8774740443031277,0.219130625701208,0.0,0.556643364418477,0.000620600027767336
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,40.2251851851139,0.6245416666904617,0.5177674234026526,0.06022548067236322,0.0,0.5067698376699354,0.0001924226317259331
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,100.42898148142143,0.3832708333199406,0.34864828501710576,0.045699082724679485,0.0,0.49303918995161666,5.53909756999902e-5
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,128.82030092587854,0.477719907404051,0.45025478049151246,0.06398886950668015,0.0,0.46726478253056314,5.456952863061712e-6
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,58.61164817183379,0.9936388888867214,0.9515138352170673,0.1435036815931845,0.0,0.44148133228368636,-2.8188915026316834e-6
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,6.819525116610663,3.0041810306074836,2.8633999404917354,0.41732361459814804,0.0,0.42854290626202385,-2.6974618984612087e-6
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,21.74318889191511,5.335634817045047,4.9780386535506125,0.7253496442432894,0.0,0.4614199255676965,-2.5250040408997055e-6
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,12.199851621651163,6.482299976970978,5.980115450325229,0.8552080139878022,0.0,0.4909258546572204,-2.7511236370400705e-6
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,6.892173611112781,6.1946725060385575,0.8415716611435329,0.0,0.5022269929128669,-3.0430129360331324e-6
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,7.128115740732227,6.174648774529345,0.8037733105649032,0.0,0.4961797055524073,-3.2343047533476175e-6
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,6.431305555575477,5.359411222314549,0.6722053105337942,0.0,0.47743883419904876,-3.307243468802392e-6
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.999999999966889,4.813496696065187,0.5859916871496296,0.0,0.45164941942240944,-3.331965250659584e-6
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,15.10059652804614,5.196976319496315,4.046364589205808,0.48542733381174585,0.0,0.42208928749020913,1.7330110111524796e-5
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,8.580594527761747,4.023253897222105,3.1122433798239797,0.37418237518691555,0.0,0.3950196516477007,3.0996373256412255e-5
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,4.2376620370553155,3.1945034626374564,0.3769227953423986,0.0,0.36868904319804585,3.128934717601403e-5
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,0.0,4.791298611096096,3.4966203783417598,0.4057989625971139,0.0,0.3444435383676563,3.1569308812287925e-5
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,-1.6555645743210334e-10,4.3261041666787605,3.051542230567037,0.34934480916219,0.0,0.3215187912493036,3.357489668008023e-5
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,62.84930555551199,3.501574074090769,2.4942858100867653,0.2962106205726336,0.0,0.3012369014804648,2.512562290110773e-5
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,48.034194277654905,2.779895833315635,2.1765110620759174,0.2744013949757047,0.0,0.2839490765981054,2.146019676419731e-5
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,6.850826046976408,3.524665199028533,2.764811130026601,0.34276599097599103,0.0,0.26347530638773264,2.788371103445126e-5
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,0.0,4.351649333405959,3.31313104693389,0.40070793903845114,0.0,0.2484738629212302,2.7880644344621144e-5
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,5.673999999983494,4.149376062427862,0.4902587532866569,0.0,0.23429907932001015,2.7867637776250773e-5
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,23.28960173119043,2.1926840504060294,1.5505027421978639,0.18039296467215848,0.0,0.2155437180234685,2.6212768773135984e-5
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,109.701532837489,1.2081583783559893,0.9650709276402836,0.12626730200801006,0.0,0.2102687769741749,2.1616509624037107e-5
33.0,2017.0,12.0,21.0,0.0,0.0,0.0,1527.0002777777777,55.03569249656181,2.7535150462958313,2.3734851713773963,0.324830035394978,0.0,0.20407239209471584,1.984946088550547e-5
34.0,2017.0,12.0,22.0,0.0,0.0,0.0,1551.0002777777777,2.398792275926098e-10,4.672635416721363,3.9362012165504012,0.5172964411955476,0.0,0.18836626925362054,1.9818813085908097e-5
35.0,2017.0,12.0,23.0,0.0,0.0,0.0,1575.0002777777777,10.814273537915255,2.3609817518861007,1.941924002231417,0.24903655189704565,0.0,0.17927995567967514,2.3849984977355153e-5
36.0,2017.0,12.0,24.0,0.0,0.0,0.0,1599.0002777777777,12.457110486435283,1.8461682245996656,1.5236802376047365,0.1963801081185359,0.0,0.17304632301264178,3.4428187347687524e-5
37.0,2017.0,12.0,25.0,0.0,0.0,0.0,1623.0002777777777,3.567299171889431,3.0614752875617626,2.5006564057622427,0.3187109065801401,0.0,0.1666368592408105,3.680531368988086e-5
38.0,2017.0,12.0,26.0,0.0,0.0,0.0,1647.0002777777777,12.359169758528878,4.440205170230087,3.550877863301622,0.4457421446613701,0.0,0.16111968004184973,4.505036253042976e-5
39.0,2017.0,12.0,27.0,0.0,0.0,0.0,1671.0002777777777,51.817449753099254,1.736222984670576,1.3758230731198324,0.17219266712307046,0.0,0.15223453935516318,4.858513538231308e-5
40.0,2017.0,12.0,28.0,0.0,0.0,0.0,1695.0002777777777,42.08573335842715,0.5821354165903188,0.49748961914140466,0.06689814159718566,0.0,0.15389567911914526,4.686996695205293e-5
41.0,2017.0,12.0,29.0,0.0,0.0,0.0,1719.0002777777777,24.971142243943234,0.317864583388797,0.273034282733974,0.03677861005168026,0.0,0.14457971910891843,4.5606933177829454e-5
42.0,2017.0,12.0,30.0,0.0,0.0,0.0,1743.0002777777777,9.711457730912798,-5.991296347929165e-11,3.453237695794087e-12,1.2043699371133698e-11,0.0,0.14476193899164969,5.071486533833971e-5
43.0,2017.0,12.0,31.0,0.0,0.0,0.0,1767.0002777777777,0.0,2.049037037089846,1.7726812539342376,0.23745658809104242,0.0,0.14062957548907207,5.44143682619029e-5
44.0,2018.0,1.0,1.0,0.0,0.0,0.0,1791.0002777777777,0.0,3.9043564814422496,3.310535539981757,0.4337632639162372,0.0,0.13848618172211502,5.440904905443142e-5
45.0,2018.0,1.0,2.0,0.0,0.0,0.0,1815.0002777777777,0.0,3.2754814815031636,2.7105654792758287,0.3472903224228787,0.0,0.13658215077248315,5.4443382203736244e-5
46.0,2018.0,1.0,3.0,0.0,0.0,0.0,1839.0002777777777,52.40623842537275,2.2970659721819686,1.814547315605509,0.26334422778929323,0.0,0.13351012804949391,5.036109461439245e-5
47.0,2018.0,1.0,4.0,0.0,0.0,0.0,1863.0002777777777,78.2820023160042,2.907480324075152,2.3628128811233466,0.3915439181457323,0.0,0.1323939953190063,4.5873120634144424e-5
48.0,2018.0,1.0,5.0,0.0,0.0,0.0,1887.0002777777777,333.60241897983144,2.5939293983247182,2.1704180614132014,0.4006764148193298,0.0,0.13173324244999662,-0.004044026465594541
49.0,2018.0,1.0,6.0,0.0,0.0,0.0,1911.0002777777777,568.7788425921281,0.7726493054588559,0.652378744204853,0.136810263015807,0.0,0.1287124952710741,-0.2039621203174562
50.0,2018.0,1.0,7.0,0.0,0.0,0.0,1935.0002777777777,231.93049768693072,1.120383785746526e-10,-2.2453150450019166e-12,-2.689048983484099e-11,0.0,0.13643672878841073,-0.2763037799093582
51.0,2018.0,1.0,8.0,0.0,0.0,0.0,1959.0002777777777,-3.115019353572279e-10,2.450516203526263,2.1591293021167957,0.4094049343030406,0.0,0.2433917364481175,-0.27630375980406463
52.0,2018.0,1.0,9.0,0.0,0.0,0.0,1983.0002777777777,6.269829100347124e-10,5.430490740812047,4.737652035122892,0.8607118559943387,0.0,0.43478493627318926,-0.27630379408812267
53.0,2018.0,1.0,10.0,0.0,0.0,0.0,2007.0002777777777,-9.140421752817929e-10,6.226518518518077,5.3685549060962785,0.9255052137026638,0.0,0.5922020647290793,-0.27630383477192494
54.0,2018.0,1.0,11.0,0.0,0.0,0.0,2031.0002777777777,18.054820861286203,2.3929612527575728,2.0413450484880116,0.3407830655163231,0.0,0.6135790673295674,-0.27399484752296194
55.0,2018.0,1.0,12.0,0.0,0.0,0.0,2055.0002777777777,10.216166169908547,2.604986987270763,2.228786251090156,0.3755585421122696,0.0,0.6455286855243116,-0.27270533929191204
56.0,2018.0,1.0,13.0,0.0,0.0,0.0,2079.0002777777777,111.91583333294602,1.6075416666572266,1.369259727197857,0.23106307002453264,0.0,0.6115108288502853,-0.2593348638547379
57.0,2018.0,1.0,14.0,0.0,0.0,0.0,2103.0002777777777,73.95331183732083,1.3791250000554385,1.2148312871917994,0.2314020913152106,0.0,0.6108750632343032,-0.2511964890588854
