iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,10.687561390434723,2.767054750150379,0.07229107177823835,0.29301830150511954,0.0,0.3398009710058183,5.9798370053570915e-5
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,5.511963260122457,3.5274220204551625,2.9863479377087856,0.3749138537150003,0.0,0.3147727321740348,1.1954977458436064e-5
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,4.169483796302757,3.453823723232631,0.42024102547228104,0.0,0.29394662910411284,0.0003332879526873299
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.361032407394816,3.5316995281318952,0.4204620753683965,0.0,0.27097506685035455,0.0005980735792695396
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,5.217839120391801,4.107379848384625,0.47742923246521407,0.0,0.248801071820278,0.0006492283306076772
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,5.534741898134683,4.200050288870983,0.4757037502304229,0.0,0.2274024788275959,0.001092346161368718
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,3.9337337962848125,2.8916330877173095,0.3230201065384186,0.0,0.20696728915020657,0.0032240422623253107
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,2.8389768518526495,2.0575677239719923,0.2308714292838836,0.0,0.18820070811131728,0.0062552468807723915
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,2.2432094907526903,1.6123396045197325,0.18161601496701607,0.0,0.1716290948020145,0.008313479496208753
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,89.76037037046027,1.939736111102988,1.4895610817918197,0.1920092253579,0.0,0.1576052991825705,0.000564866374449649
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,136.16428240749713,1.979557870367259,1.6989387672318799,0.2466072714666936,0.0,0.14127188024421145,0.00023328612926833917
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,87.1120592566416,2.2106064815045983,1.926620941456207,0.28067680882616486,0.0,0.13683222659942018,0.0001632259261373616
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,37.13787895106293,3.187791666662278,2.770883404664751,0.39173223912908206,0.0,0.12341777410775734,0.000147216602236749
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,16.452791432175218,4.505481965887014,3.8686988205298007,0.5932747297502328,0.0,0.12533348742850237,0.0001411011216373526
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,3.140364405940659,5.315901512779078,4.502390901282013,0.6857216399623987,0.0,0.13004521136607394,0.00013955520564778586
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.927447916645349,4.887066331620218,0.7076682492901512,0.0,0.14049797738278613,0.0001393403926794342
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,6.0345104166709405,4.789053895192467,0.6689835096195154,0.0,0.14817352084331858,0.00013926290622034683
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.934510416671202,4.517188136547304,0.6127725503701438,0.0,0.15037085306281384,0.00013923977113321199
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,20.51604785756865,5.131941591331611,3.831489264001746,0.5321662126136513,0.0,0.14732007920240164,0.00013219783013468302
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,10.919479823576808,3.44056951014025,2.6262103381533066,0.38061524325769724,0.0,0.14329464238288736,0.00012883985054036018
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,3.2976145832954273,2.444775367762695,0.3381389865441591,0.0,0.13419713964438174,0.00013082795866140715
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,3.3343935185347107,2.405597067071298,0.3271876188998881,0.0,0.12641001816337294,0.00013092083068826196
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,8.480698717768007,3.01245760328311,2.147660532092317,0.29652636771260177,0.0,0.11608924266958098,0.00012880125065960947
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,4.75531293752951,4.263085691877279,3.032332727862439,0.42239978876231277,0.0,0.11111054979857826,0.00012743141393214272
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,-1.6555645743210334e-10,4.8729282407506105,3.2935779380289176,0.4405457220245914,0.0,0.10492819676283816,0.00013113796619802098
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,0.0,4.799999999999727,3.0883784148577718,0.40619501877010933,0.0,0.09848085439632115,0.00013207780115394077
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,0.0,4.5458564814694,2.796443021858721,0.36475163643698494,0.0,0.09237111222508787,0.00013203795373792243
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,0.0,4.400000000000091,2.6017546141818997,0.3384837519898163,0.0,0.08661618241618996,0.00013202028525381707
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,4.908287037026128,2.7894250979192776,0.3613950755276427,0.0,0.0812309423794133,0.00013210913245512414
