∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1367.0,1367.0,0.0,0.0,0.0,0.0,0.0
2522.0,1155.0,0.0,0.0,0.0,0.0,0.0
3656.0,1134.0,0.0,0.0,0.0,0.0,0.0
4967.0,1311.0,0.0,0.0,0.0,0.0,0.0
6796.0,1829.0,0.0,0.0,0.0,0.0,0.0
8605.0,1809.0,0.0,0.0,0.0,0.0,0.0
10461.0,1856.0,0.0,0.0,0.0,0.0,0.0
12490.0,2029.0,0.0,0.0,0.0,0.0,0.0
14569.0,2079.0,0.0,0.0,0.0,0.0,0.0
16704.0,2135.0,0.0,0.0,0.0,0.0,0.0
18916.0,2212.0,0.0,0.0,0.0,0.0,0.0
21173.0,2257.0,0.0,0.0,0.0,0.0,0.0
23546.0,2373.0,0.0,0.0,0.0,0.0,0.0
26061.0,2515.0,0.0,0.0,0.0,0.0,0.0
28693.0,2632.0,0.0,0.0,0.0,0.0,0.0
31428.0,2735.0,0.0,0.0,0.0,0.0,0.0
34266.0,2838.0,0.0,0.0,0.0,0.0,0.0
37215.0,2949.0,0.0,0.0,0.0,0.0,0.0
40282.0,3067.0,0.0,0.0,0.0,0.0,0.0
43458.0,3176.0,0.0,0.0,0.0,0.0,0.0
46722.0,3264.0,0.0,0.0,0.0,0.0,0.0
50061.0,3339.0,0.0,0.0,0.0,0.0,0.0
53450.0,3389.0,0.0,0.0,0.0,0.0,0.0
56865.0,3415.0,0.0,0.0,0.0,0.0,0.0
60304.0,3439.0,0.0,0.0,0.0,0.0,0.0
63769.0,3465.0,0.0,0.0,0.0,0.0,0.0
67256.0,3487.0,0.0,0.0,0.0,0.0,0.0
70765.0,3509.0,0.0,0.0,0.0,0.0,0.0
74290.0,3525.0,0.0,0.0,0.0,0.0,0.0
77830.0,3540.0,0.0,0.0,0.0,0.0,0.0
81384.0,3554.0,0.0,0.0,0.0,0.0,0.0
84951.0,3567.0,0.0,0.0,0.0,0.0,0.0
88530.0,3579.0,0.0,0.0,0.0,0.0,0.0
