iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,7.105427357601002e-12,4.590571759256719,0.1270157274786925,0.4223808670626248,0.0,0.2742560054692831,NaN
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,-1.2505552149377763e-11,5.197508101853032,3.873648072108324,0.46566995833188507,0.0,0.22569974976102003,NaN
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,3.979039320256561e-12,5.172798611093825,3.7194254260615907,0.4496149182190461,0.0,0.1913922994520476,NaN
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,7.105427357601002e-12,5.115336805580981,3.548623514871892,0.4332109963788007,0.0,0.17123304016354268,NaN
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,-1.6342482922482304e-11,5.099631944442677,3.4012362922336905,0.4203197193961028,0.0,0.1426431871963132,NaN
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,1.5489831639570184e-11,5.05412962961384,3.2316045082555576,0.4055973127734287,0.0,0.1248931757153855,NaN
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,1.5489831639570184e-11,3.895307870378929,2.398499673588617,0.30628321296351046,0.0,0.11023922366706529,2.9704289227498474e9
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,3.4936180555617113,2.089531010845228,0.2712457934666137,0.0,0.0991133794078678,NaN
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,3.9226967592520623,2.265561282474671,0.29922635175050516,0.0,0.09016112879686489,NaN
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,3.7127638888836145,2.062536251269414,0.27802507340797256,0.0,0.08249365203607795,NaN
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,113.4440972223328,3.4717650463040854,2.1166268668578354,0.2915163134280583,0.0,0.0754001312571404,0.0002998007402423182
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,75.37815868095493,3.0864085648230457,2.270951516699533,0.29307315136148304,0.0,0.07425959980167818,0.00017536556375664957
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,5.854390907482383,3.949240560543842,2.7390234334495673,0.34225875577793907,0.0,0.09015121553170502,0.00017010605931141353
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,17.608399076074903,4.159331157761443,2.723341681679102,0.38323118629844544,0.0,0.10005194849543386,0.00016208135082144623
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,9.87043556970633,4.885053973650315,3.1338670606213697,0.4682272348083263,0.0,0.10308859148244665,0.00015792618664568447
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.620295138867817,3.3819867864811073,0.5108477148644024,0.0,0.09930666112080644,0.00016526320813792003
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.543763888906767,3.1394088793455097,0.4859717223609348,0.0,0.09211703348677247,0.00016489375796442437
