iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,4.283785058804455,3.7796342929262607,0.13461288721207154,0.4642765089163863,0.0,0.32740385725047183,NaN
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,0.0,4.8893981481505335,4.320516376801109,0.5420243873398238,0.0,0.31721896492148893,2.8203765729166716e6
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,4.955300925927062,4.248040601176882,0.4948640151892345,0.0,0.30714973469353346,NaN
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.664469907404083,3.8899126084903486,0.4273190993781384,0.0,0.2970878681694007,NaN
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,4.893409722220497,3.9664312512676787,0.40970212066440936,0.0,0.28714437590766373,5.42117403125e6
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,-8.270717444247566e-11,4.742120370375147,3.733178669675624,0.3619782307842563,0.0,0.27738401584649,NaN
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,1.6555645743210334e-10,3.6974212962926885,2.842390508545691,0.2634111571998208,0.0,0.26782244087181084,-437463.85416666046
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,3.6512893518534923,2.7575366880415544,0.2490714668846472,0.0,0.25855629246281,1.1350238511458397e8
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,4.222349537029572,3.1221160735007203,0.2695140462367256,0.0,0.2497041229228003,-3.3665863330210114e8
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,3.755300925923649,2.719628951352277,0.2242714232052947,0.0,0.24121010755871808,-4.4076557552081597e8
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,11.801402556698832,3.7662953482619344,2.7353339930826763,0.2575253944841016,0.0,0.22882784595026706,0.00013406530254104349
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,14.150955114670296,3.432578150385723,2.592143881697254,0.3106708127424902,0.0,0.22591839581967577,5.933257340413542e-5
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,4.190573973746012,4.6146951288372975,3.4519791370267257,0.3970430100383986,0.0,0.22401685765382595,6.137942953670049e-5
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,0.0,4.904763888885242,3.3853980947939846,0.36518437342297716,0.0,0.2102924150513239,6.132684898159134e-5
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,0.0,5.161108796298237,3.3607986714834936,0.34005188742036196,0.0,0.20331197344620122,6.130731677208929e-5
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.5317453703941055,3.4935152556503937,0.31610466222248235,0.0,0.19652336135590787,6.130014426029926e-5
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.336509259244167,3.3069651567416827,0.2701337843059015,0.0,0.18990041448515171,7.780024737132508e-5
