iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,10.652874908223993,2.8326543889707096,0.07393550367760326,0.2619537045042293,0.0,0.5805855144099539,-3.075295759720053e-7
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,5.546649742333187,3.5533617334910588,2.9792781248675766,0.32925371120581204,0.0,0.5370248791180998,0.0003571240994598352
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,4.168488425939998,3.452462511533696,0.3677476368007193,0.0,0.5015423390960763,0.0005906468937775118
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.363023148142645,3.565657206897612,0.3697147972247521,0.0,0.46615419905380406,0.0006209484502324248
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,5.223313657387635,4.19839057833407,0.4221748019949487,0.0,0.43124017388083047,0.0008466112649243018
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,5.534244212974144,4.354897528927893,0.42253597633622775,0.0,0.3967314173474463,0.0011385655900294066
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,3.9218611111161863,3.0310994320683307,0.28709028641925727,0.0,0.36314060320477637,0.0032753393678161546
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,2.83697685185264,2.176988431685423,0.2059023119127943,0.0,0.33177669547144717,0.006447177944019736
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,2.2397094907415322,1.7116126550040107,0.16193533255236403,0.0,0.30368966006260933,0.008703066791132585
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,88.84228009255892,1.9170034722197329,1.5233357611647875,0.1657955232715871,0.0,0.2765688746571584,0.0006068237475686453
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,138.27695601844994,2.010082175927579,1.708505915266052,0.21918263162869778,0.0,0.25531065402830677,0.0002341643301077053
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,85.9448303841566,2.1939351851773665,1.8819710332816797,0.24567178718335647,0.0,0.24216911740091263,0.00016798552851762967
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,37.72177086195356,3.2668935185138253,2.7892619968781673,0.3504083877177333,0.0,0.22692692139173687,0.0001535525317858578
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,15.863662528110751,4.436869959905579,3.731596433827761,0.5077888342247192,0.0,0.22605175117708853,0.00014950226001398802
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,3.118246938548026,5.317902407664803,4.415122268325945,0.5937197896991222,0.0,0.24142406418655327,0.0001481504783509191
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.928663194456277,4.841568367303978,0.6141585766819411,0.0,0.259869253164176,0.00014807870151847368
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,6.0342673610823,4.810748423252335,0.583200316737436,0.0,0.2716050674384789,0.00014805165587980127
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.934267361148727,4.6106672649465565,0.5369292376266017,0.0,0.27333537934585905,0.00015766127589233184
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,20.69796642051614,5.145052429076287,3.952131868760702,0.4649309851177925,0.0,0.267016788724348,0.0001522864265098825
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,10.73756126062932,3.3492433945868356,2.6067207265508543,0.3194358733120808,0.0,0.25042138329263963,0.0001487048060787518
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,-1.6555645743210334e-10,3.27632291662664,2.5047788962253676,0.2923138789984172,0.0,0.24109607403016042,0.00014950989817734563
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,3.3438564815011205,2.5155145596142603,0.2866375360691844,0.0,0.2267314378916936,0.00014946082180570736
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,8.274805203289617,3.0411275110766667,2.2713929303935743,0.26025637672969104,0.0,0.2097825291341735,0.00014693863036763233
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,4.9612064520079,4.4661380063024865,3.32752416701976,0.3826782804360569,0.0,0.20820555578336553,0.00014803203573001737
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,0.0,4.866687499976734,3.5124445623826688,0.3826046037560431,0.0,0.1876317975403765,0.00015151125776692066
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,0.0,4.800000000032867,3.358910233757115,0.35315408725458397,0.0,0.17622279472577418,0.00015301818180072838
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,0.0,4.533374999987927,3.0791028314467894,0.31471436141514175,0.0,0.16542310328875942,0.0001531194725310753
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,0.0,4.400000000000091,2.9057240694943545,0.29047016710137186,0.0,0.1552557940880206,0.00015309227208668312
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,4.933249999989073,3.1574221540016367,0.3078546691070194,0.0,0.14573365131145266,0.00015376396335798302
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,50.56891786288418,2.4979861111145,1.6082572375126745,0.1693888769476537,0.0,0.13287387367794423,0.0001366903921909237
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,36.72326837910191,2.3924094030675462,1.7912966941595698,0.23283051552710177,0.0,0.12851283587157525,0.00012709132111469624
