∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1465.0,1465.0,0.0,0.0,0.0,0.0,0.0
2723.0,1258.0,0.0,0.0,0.0,0.0,0.0
3799.0,1076.0,0.0,0.0,0.0,0.0,0.0
4848.0,1049.0,0.0,0.0,0.0,0.0,0.0
5784.0,936.0,0.0,0.0,0.0,0.0,0.0
6669.0,885.0,0.0,0.0,0.0,0.0,0.0
7260.0,591.0,0.0,0.0,0.0,0.0,0.0
7720.0,460.0,0.0,0.0,0.0,0.0,0.0
8124.0,404.0,0.0,0.0,0.0,0.0,0.0
8523.0,399.0,0.0,0.0,0.0,0.0,0.0
8955.0,432.0,0.0,0.0,0.0,0.0,0.0
9455.0,500.0,0.0,0.0,0.0,0.0,0.0
10047.0,592.0,0.0,0.0,0.0,0.0,0.0
10788.0,741.0,0.0,0.0,0.0,0.0,0.0
11624.0,836.0,0.0,0.0,0.0,0.0,0.0
12445.0,821.0,0.0,0.0,0.0,0.0,0.0
13265.0,820.0,0.0,0.0,0.0,0.0,0.0
14096.0,831.0,0.0,0.0,0.0,0.0,0.0
14946.0,850.0,0.0,0.0,0.0,0.0,0.0
15822.0,876.0,0.0,0.0,0.0,0.0,0.0
16729.0,907.0,0.0,0.0,0.0,0.0,0.0
17672.0,943.0,0.0,0.0,0.0,0.0,0.0
18656.0,984.0,0.0,0.0,0.0,0.0,0.0
19687.0,1031.0,0.0,0.0,0.0,0.0,0.0
20773.0,1086.0,0.0,0.0,0.0,0.0,0.0
21925.0,1152.0,0.0,0.0,0.0,0.0,0.0
23158.0,1233.0,0.0,0.0,0.0,0.0,0.0
24494.0,1336.0,0.0,0.0,0.0,0.0,0.0
25969.0,1475.0,0.0,0.0,0.0,0.0,0.0
27620.0,1651.0,0.0,0.0,0.0,0.0,0.0
29409.0,1789.0,0.0,0.0,0.0,0.0,0.0
31300.0,1891.0,0.0,0.0,0.0,0.0,0.0
33290.0,1990.0,0.0,0.0,0.0,0.0,0.0
35367.0,2077.0,0.0,0.0,0.0,0.0,0.0
37527.0,2160.0,0.0,0.0,0.0,0.0,0.0
39760.0,2233.0,0.0,0.0,0.0,0.0,0.0
42060.0,2300.0,0.0,0.0,0.0,0.0,0.0
44425.0,2365.0,0.0,0.0,0.0,0.0,0.0
46839.0,2414.0,0.0,0.0,0.0,0.0,0.0
49299.0,2460.0,0.0,0.0,0.0,0.0,0.0
51789.0,2490.0,0.0,0.0,0.0,0.0,0.0
54305.0,2516.0,0.0,0.0,0.0,0.0,0.0
56848.0,2543.0,0.0,0.0,0.0,0.0,0.0
59418.0,2570.0,0.0,0.0,0.0,0.0,0.0
62017.0,2599.0,0.0,0.0,0.0,0.0,0.0
64642.0,2625.0,0.0,0.0,0.0,0.0,0.0
67291.0,2649.0,0.0,0.0,0.0,0.0,0.0
69963.0,2672.0,0.0,0.0,0.0,0.0,0.0
72662.0,2699.0,0.0,0.0,0.0,0.0,0.0
75392.0,2730.0,0.0,0.0,0.0,0.0,0.0
78158.0,2766.0,0.0,0.0,0.0,0.0,0.0
80954.0,2796.0,0.0,0.0,0.0,0.0,0.0
83772.0,2818.0,0.0,0.0,0.0,0.0,0.0
86606.0,2834.0,0.0,0.0,0.0,0.0,0.0
89459.0,2853.0,0.0,0.0,0.0,0.0,0.0
92356.0,2897.0,0.0,0.0,0.0,0.0,0.0
95264.0,2908.0,0.0,0.0,0.0,0.0,0.0
98182.0,2918.0,0.0,0.0,0.0,0.0,0.0
101110.0,2928.0,0.0,0.0,0.0,0.0,0.0
104051.0,2941.0,0.0,0.0,0.0,0.0,0.0
107006.0,2955.0,0.0,0.0,0.0,0.0,0.0
109978.0,2972.0,0.0,0.0,0.0,0.0,0.0
112969.0,2991.0,0.0,0.0,0.0,0.0,0.0
115984.0,3015.0,0.0,0.0,0.0,0.0,0.0
119028.0,3044.0,0.0,0.0,0.0,0.0,0.0
122084.0,3056.0,0.0,0.0,0.0,0.0,0.0
125152.0,3068.0,0.0,0.0,0.0,0.0,0.0
128233.0,3081.0,0.0,0.0,0.0,0.0,0.0
131326.0,3093.0,0.0,0.0,0.0,0.0,0.0
134432.0,3106.0,0.0,0.0,0.0,0.0,0.0
137553.0,3121.0,0.0,0.0,0.0,0.0,0.0
140689.0,3136.0,0.0,0.0,0.0,0.0,0.0
143845.0,3156.0,0.0,0.0,0.0,0.0,0.0
147018.0,3173.0,0.0,0.0,0.0,0.0,0.0
150197.0,3179.0,0.0,0.0,0.0,0.0,0.0
153382.0,3185.0,0.0,0.0,0.0,0.0,0.0
156573.0,3191.0,0.0,0.0,0.0,0.0,0.0
159770.0,3197.0,0.0,0.0,0.0,0.0,0.0
162973.0,3203.0,0.0,0.0,0.0,0.0,0.0
166182.0,3209.0,0.0,0.0,0.0,0.0,0.0
169397.0,3215.0,0.0,0.0,0.0,0.0,0.0
172618.0,3221.0,0.0,0.0,0.0,0.0,0.0
175844.0,3226.0,0.0,0.0,0.0,0.0,0.0
179077.0,3233.0,0.0,0.0,0.0,0.0,0.0
182316.0,3239.0,0.0,0.0,0.0,0.0,0.0
185561.0,3245.0,0.0,0.0,0.0,0.0,0.0
