iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,4.314346642317872,3.7809578123865464,0.12834203617293838,0.590001129895402,0.0,0.1650514681059274,NaN
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,0.0,4.884351851843121,4.117345063715987,0.7280451240387684,0.0,0.15893092742640214,-3.42343994453125e7
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,4.957824074058649,4.057288392477403,0.7061834762103771,0.0,0.15292898475631933,NaN
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.664217592605837,3.7221475781305315,0.6430992334300711,0.0,0.14696932517613348,NaN
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,4.892652777767594,3.80556117893461,0.6524096642607482,0.0,0.1410815749271972,-1.8472828890102148e8
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,-8.270717444247566e-11,4.7431296296428656,3.5932229595395455,0.6119465802358235,0.0,0.13529690379276182,NaN
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,1.6555645743210334e-10,3.7009537037000797,2.747316763602555,0.46769227891077847,0.0,0.12963250407216975,-2.011131276635376e9
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,3.6495231481497825,2.6736630573229263,0.45683058253499453,0.0,0.12413653798944324,3.088557058218726e9
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,4.221087962972064,3.033246046604276,0.5164882465591809,0.0,0.11886815787458715,-3.0915728146564302e9
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,3.7578240740717774,2.6459530047337125,0.44979665199227625,0.0,0.11382992615413556,-5.191680381989456e9
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,12.302258415834189,3.883448063815166,2.73534180304722,0.48069064312207743,0.0,0.11016788911282838,0.0017422371407526671
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,13.712504543717472,3.340734250656112,2.4093799373020346,0.4403168662234265,0.0,0.10251025038840389,0.0009276301364196343
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,4.12816868556348,4.471108535219315,3.1960380057003874,0.5732261874803832,0.0,0.10009088496842367,0.0008901264691121883
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,0.0,4.91912500002752,3.3000218418234937,0.6284537101481362,0.0,0.09596019729381311,0.0009118804223045914
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,0.0,5.144354166636191,3.2861380980128843,0.6496161004313166,0.0,0.09202442675613476,0.000932916709000302
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.526958333358351,3.402469490710473,0.6653070527745975,0.0,0.08826599984470285,0.0009460334165262647
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.34608333331812,3.1805493236265505,0.6179997436945115,0.0,0.08467298062793915,0.0009469828149955634
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.771312499993371,3.3268201822630203,0.6431347746698464,0.0,0.08123309685735869,0.0009519884315710189
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.592166666670266,3.1254700126706183,0.5998728179126935,0.0,0.07794094759536563,0.0009523997402493223
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,0.0,4.792166666667583,2.616520534824218,0.5035828275744443,0.0,0.07478468844197295,0.0012144755727187123
