iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,10.249574242468924,2.783487516840367,0.06708944444195453,0.2503394941299151,0.0,0.9039870394049316,0.000483572800217158
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,5.949950408088256,3.4992867074796266,2.646043159534365,0.3142714487274789,0.0,0.8483214158087975,0.0003663284318118954
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,4.173458333331553,3.1113611494184994,0.3666324067362252,0.0,0.7988504262098814,0.0003654753502222205
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.35308333333731,3.20386981692468,0.3758544091409668,0.0,0.7417113118615148,0.0015831302715351256
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,5.1959791666715205,3.7693537762849587,0.4400862993179029,0.0,0.6823574534937933,0.0015792494028809296
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,5.536729166653231,3.9500836320954704,0.4590386946992169,0.0,0.6233920926176637,0.001578238968361443
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,3.9815000000016596,2.8042193133873354,0.32534782626230907,0.0,0.5663149330939277,0.0031396145792155633
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,2.8469166666708503,1.9951433473789848,0.23191869616389482,0.0,0.5165845635409028,0.005172073395224311
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,2.25710416666206,1.575100188775913,0.18324042143351704,0.0,0.4772999280893302,0.006587273867669989
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,87.23601851844947,1.9444259259335155,1.3934598922808874,0.16704816591625793,0.0,0.4483733240712411,0.0004813677314907984
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,139.14231481479248,2.021324074046163,1.558290029646912,0.19377816286891836,0.0,0.43057513388671254,0.00019311523584914989
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,85.51073474566408,2.1568449074253664,1.699389038766384,0.21065083137747997,0.0,0.4801128870191178,0.00015210669291457993
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,38.33746544363322,3.2416134259170377,2.519901188485825,0.30643561491598525,0.0,0.6078940463579627,0.00014071280682387662
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,16.259613067804963,4.424525312543608,3.349484275254497,0.45438144374515943,0.0,0.6967894069139362,0.0001376749968170974
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,3.281600233433579,5.303124369814384,3.912708680454813,0.548773563999184,0.0,0.7230351889402584,0.00013903176295924512
