iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,4.3223010271404405,3.781291445291629,0.14550472987843932,0.6055675908210745,0.0,0.18960023041869078,NaN
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,-8.284928298962768e-11,4.883032407415229,4.696734171434429,0.7499356626883653,0.0,0.17571126020544625,-9.096454734895831e7
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,8.284928298962768e-11,4.958483796280873,4.688048291931608,0.7275893264222724,0.0,0.16275392836273284,NaN
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.66415162037481,4.343956454042939,0.6605930843233097,0.0,0.15056998487639817,NaN
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,-8.284928298962768e-11,4.8924548611181535,4.483290059831461,0.6670244849717051,0.0,0.13927028406801867,-1.6445364967707024e9
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,-8.270717444247566e-11,4.743393518523334,4.271433717922974,0.6214527829161582,0.0,0.1288292043771122,NaN
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,1.6555645743210334e-10,3.701877314807831,3.2867665961550614,0.47146433680549293,0.0,0.11920503545724159,-2.0565616619790726e9
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,3.6490613425975766,3.2076167226004344,0.4571200184256021,0.0,0.11042625364190428,2.0607824022394931e9
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,4.22075810186098,3.655253220523221,0.5121508800478196,0.0,0.1025035040347575,-2.1750477735623503e9
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,3.7584837962892834,3.202558250198649,0.44125758429688133,0.0,0.09531903894736615,-2.2157479360416174e9
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,12.354807942120374,3.8970826460854084,3.3110546185557723,0.46727520951607815,0.0,0.0900066989054551,0.0006116409192653549
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,13.736097318739127,3.3497555652195103,2.8774741722798183,0.4232064838272471,0.0,0.0816297569619735,0.0004952005221825102
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,4.052026384090084,4.486397082840142,3.8128184267852276,0.5470221550183361,0.0,0.07746950121885732,0.0005490786780873022
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,1.6555645743210334e-10,4.915083333324418,3.9403776338060226,0.5885524357897509,0.0,0.0725786181115069,0.0005489843747586588
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,-1.6555645743210334e-10,5.149069444446354,3.941942470112153,0.5984357696498783,0.0,0.0680836554217592,0.0005489447055436079
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,1.6555645743210334e-10,5.528305555579294,4.090152460484006,0.5978461548143734,0.0,0.0639416011676559,0.0005489106689985886
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,-1.6555645743210334e-10,5.343388888873676,3.8201022719469506,0.5399194844657096,0.0,0.06011809313937988,0.0005785349549469836
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,1.6555645743210334e-10,5.777374999993356,3.9908962547903,0.5464110304942267,0.0,0.05657936879812553,0.0005894155566912623
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,-1.6555645743210334e-10,5.586777777778536,3.722568892025663,0.4922396977479764,0.0,0.05330297908118098,0.0005949584422130429
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,1.6555645743210334e-10,4.786777777781538,3.0984097067414638,0.402225687147741,0.0,0.050259295149047034,0.0005963363817504783
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,-1.6555645743210334e-10,5.205680555536048,3.2826285526306833,0.41913725242565647,0.0,0.047433227826459756,0.0006065357672373046
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,4.509402777789973,2.770375559626359,0.34612049234504383,0.0,0.04481811396522062,0.0006094704575986471
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,0.0,4.413222222219588,2.658017580366888,0.33113930942380065,0.0,0.04239243224832023,0.0006099244188116233
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,0.0,5.662291666676197,3.329241492414738,0.40338405778360453,0.0,0.040144422522516265,0.0006201101647607902
