iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,10.17888881664959,2.798450224252747,0.059019858051009066,0.22645935447103227,0.0,0.6659716546307379,0.004187259540942456
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,6.0206358339075905,3.4897742315404656,2.3020747727390116,0.28009508282084905,0.0,0.6241400644623667,0.008301715432341372
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,4.1743310185179325,2.658225167509343,0.3269004323952247,0.0,0.5632674299748999,0.017726855739668812
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,8.284928298962768e-11,4.351337962973986,2.6705376802704137,0.3333888685885027,0.0,0.49345300542405823,0.02698190514085186
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,5.19117939813647,3.049637344729888,0.38820583634638517,0.0,0.4320856176759378,0.03694328849213441
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,5.53716550926238,3.0902202251302526,0.4035285099376562,0.0,0.3750380794461563,0.04707894213705527
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,3.991972222223879,2.1299085743779074,0.2853166729034431,0.0,0.326618522685294,0.05758963893203567
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,-8.284928298962768e-11,2.8486620370412226,1.4753208063771623,0.2014888913199826,0.0,0.2936799539685495,0.06791284236629691
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,2.2601585648102116,1.1408121049523174,0.15837123961193633,0.0,0.271435814305633,0.07708150499769456
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,86.43050925918956,1.9419814814733343,1.0515315189461951,0.1437310749487466,0.0,0.2573010274659424,0.005489097364137996
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,139.39785879623912,2.0243043981239452,1.3342349022059885,0.1679937072626867,0.0,0.32029042905479344,0.0019402597611026182
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,86.59349031065261,2.1868576389348817,1.5410960471821369,0.18721203487324445,0.0,0.5809946209505625,0.0012539164461514533
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,37.761780674407674,3.2141620370121444,2.2701053801350852,0.2725518359388541,0.0,0.7738373500707496,0.001102002723382969
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,16.28902642687308,4.423078238954645,3.0504853282560305,0.41430351913036745,0.0,0.7944866354891644,0.0011736589725379826
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,3.29508135641575,5.301904776769817,3.524351466872176,0.504613010836362,0.0,0.7168439964072064,0.001290339372728282
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.918946759235325,3.762807030051789,0.5459726283290198,0.0,0.6074653748318894,0.0014143188963086821
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,6.036210648185545,3.655823848036988,0.5405855344208419,0.0,0.5074653449907061,0.0016123697838447276
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.936210648119584,3.416517208275124,0.5171045510212835,0.0,0.4280196557464393,0.0018124547503014102
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,20.815485812080965,5.277439784904061,2.94269404193291,0.4551942459937557,0.0,0.37547876405368186,0.0017728676629433643
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,10.620041869064494,3.3900724739421264,1.9019696851275327,0.2942685051053875,0.0,0.3392259627785563,0.0017689257505539078
