∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
777.0,777.0,0.0,0.0,0.0,0.0,0.0
1275.0,498.0,0.0,0.0,0.0,0.0,0.0
1789.0,514.0,0.0,0.0,0.0,0.0,0.0
2545.0,756.0,0.0,0.0,0.0,0.0,0.0
3627.0,1082.0,0.0,0.0,0.0,0.0,0.0
4879.0,1252.0,0.0,0.0,0.0,0.0,0.0
6298.0,1419.0,0.0,0.0,0.0,0.0,0.0
8082.0,1784.0,0.0,0.0,0.0,0.0,0.0
9953.0,1871.0,0.0,0.0,0.0,0.0,0.0
11917.0,1964.0,0.0,0.0,0.0,0.0,0.0
14020.0,2103.0,0.0,0.0,0.0,0.0,0.0
16258.0,2238.0,0.0,0.0,0.0,0.0,0.0
18672.0,2414.0,0.0,0.0,0.0,0.0,0.0
21296.0,2624.0,0.0,0.0,0.0,0.0,0.0
24121.0,2825.0,0.0,0.0,0.0,0.0,0.0
27074.0,2953.0,0.0,0.0,0.0,0.0,0.0
30089.0,3015.0,0.0,0.0,0.0,0.0,0.0
33181.0,3092.0,0.0,0.0,0.0,0.0,0.0
36367.0,3186.0,0.0,0.0,0.0,0.0,0.0
39625.0,3258.0,0.0,0.0,0.0,0.0,0.0
42960.0,3335.0,0.0,0.0,0.0,0.0,0.0
46374.0,3414.0,0.0,0.0,0.0,0.0,0.0
49875.0,3501.0,0.0,0.0,0.0,0.0,0.0
53444.0,3569.0,0.0,0.0,0.0,0.0,0.0
57031.0,3587.0,0.0,0.0,0.0,0.0,0.0
60628.0,3597.0,0.0,0.0,0.0,0.0,0.0
64228.0,3600.0,0.0,0.0,0.0,0.0,0.0
67828.0,3600.0,0.0,0.0,0.0,0.0,0.0
71428.0,3600.0,0.0,0.0,0.0,0.0,0.0
75028.0,3600.0,0.0,0.0,0.0,0.0,0.0
78628.0,3600.0,0.0,0.0,0.0,0.0,0.0
82228.0,3600.0,0.0,0.0,0.0,0.0,0.0
85828.0,3600.0,0.0,0.0,0.0,0.0,0.0
89428.0,3600.0,0.0,0.0,0.0,0.0,0.0
93028.0,3600.0,0.0,0.0,0.0,0.0,0.0
96628.0,3600.0,0.0,0.0,0.0,0.0,0.0
100228.0,3600.0,0.0,0.0,0.0,0.0,0.0
103828.0,3600.0,0.0,0.0,0.0,0.0,0.0
107428.0,3600.0,0.0,0.0,0.0,0.0,0.0
111028.0,3600.0,0.0,0.0,0.0,0.0,0.0
114628.0,3600.0,0.0,0.0,0.0,0.0,0.0
118228.0,3600.0,0.0,0.0,0.0,0.0,0.0
121828.0,3600.0,0.0,0.0,0.0,0.0,0.0
125428.0,3600.0,0.0,0.0,0.0,0.0,0.0
129028.0,3600.0,0.0,0.0,0.0,0.0,0.0
132628.0,3600.0,0.0,0.0,0.0,0.0,0.0
136228.0,3600.0,0.0,0.0,0.0,0.0,0.0
139828.0,3600.0,0.0,0.0,0.0,0.0,0.0
143428.0,3600.0,0.0,0.0,0.0,0.0,0.0
147028.0,3600.0,0.0,0.0,0.0,0.0,0.0
150628.0,3600.0,0.0,0.0,0.0,0.0,0.0
154228.0,3600.0,0.0,0.0,0.0,0.0,0.0
157828.0,3600.0,0.0,0.0,0.0,0.0,0.0
161428.0,3600.0,0.0,0.0,0.0,0.0,0.0
165028.0,3600.0,0.0,0.0,0.0,0.0,0.0
168628.0,3600.0,0.0,0.0,0.0,0.0,0.0
172228.0,3600.0,0.0,0.0,0.0,0.0,0.0
175828.0,3600.0,0.0,0.0,0.0,0.0,0.0
179428.0,3600.0,0.0,0.0,0.0,0.0,0.0
183028.0,3600.0,0.0,0.0,0.0,0.0,0.0
186628.0,3600.0,0.0,0.0,0.0,0.0,0.0
190228.0,3600.0,0.0,0.0,0.0,0.0,0.0
193828.0,3600.0,0.0,0.0,0.0,0.0,0.0
197428.0,3600.0,0.0,0.0,0.0,0.0,0.0
201028.0,3600.0,0.0,0.0,0.0,0.0,0.0
204628.0,3600.0,0.0,0.0,0.0,0.0,0.0
208228.0,3600.0,0.0,0.0,0.0,0.0,0.0
211828.0,3600.0,0.0,0.0,0.0,0.0,0.0
215428.0,3600.0,0.0,0.0,0.0,0.0,0.0
219028.0,3600.0,0.0,0.0,0.0,0.0,0.0
222628.0,3600.0,0.0,0.0,0.0,0.0,0.0
226228.0,3600.0,0.0,0.0,0.0,0.0,0.0
229828.0,3600.0,0.0,0.0,0.0,0.0,0.0
233428.0,3600.0,0.0,0.0,0.0,0.0,0.0
237028.0,3600.0,0.0,0.0,0.0,0.0,0.0
240628.0,3600.0,0.0,0.0,0.0,0.0,0.0
244228.0,3600.0,0.0,0.0,0.0,0.0,0.0
247828.0,3600.0,0.0,0.0,0.0,0.0,0.0
251428.0,3600.0,0.0,0.0,0.0,0.0,0.0
255028.0,3600.0,0.0,0.0,0.0,0.0,0.0
258628.0,3600.0,0.0,0.0,0.0,0.0,0.0
262228.0,3600.0,0.0,0.0,0.0,0.0,0.0
265828.0,3600.0,0.0,0.0,0.0,0.0,0.0
269428.0,3600.0,0.0,0.0,0.0,0.0,0.0
273028.0,3600.0,0.0,0.0,0.0,0.0,0.0
276628.0,3600.0,0.0,0.0,0.0,0.0,0.0
280228.0,3600.0,0.0,0.0,0.0,0.0,0.0
283828.0,3600.0,0.0,0.0,0.0,0.0,0.0
287428.0,3600.0,0.0,0.0,0.0,0.0,0.0
291028.0,3600.0,0.0,0.0,0.0,0.0,0.0
294628.0,3600.0,0.0,0.0,0.0,0.0,0.0
298228.0,3600.0,0.0,0.0,0.0,0.0,0.0
301828.0,3600.0,0.0,0.0,0.0,0.0,0.0
305428.0,3600.0,0.0,0.0,0.0,0.0,0.0
309028.0,3600.0,0.0,0.0,0.0,0.0,0.0
312628.0,3600.0,0.0,0.0,0.0,0.0,0.0
316228.0,3600.0,0.0,0.0,0.0,0.0,0.0
319828.0,3600.0,0.0,0.0,0.0,0.0,0.0
323428.0,3600.0,0.0,0.0,0.0,0.0,0.0
327028.0,3600.0,0.0,0.0,0.0,0.0,0.0
330628.0,3600.0,0.0,0.0,0.0,0.0,0.0
334228.0,3600.0,0.0,0.0,0.0,0.0,0.0
337828.0,3600.0,0.0,0.0,0.0,0.0,0.0
341428.0,3600.0,0.0,0.0,0.0,0.0,0.0
345028.0,3600.0,0.0,0.0,0.0,0.0,0.0
348282.0,3254.0,0.11074976778963652,0.11074976778963652,0.0,0.11074976778963652,0.0
351536.0,3254.0,0.24511954571188532,0.1343697779222488,0.0,0.1343697779222488,0.0
354722.0,3186.0,0.37668135040158646,0.13156180468970113,0.0,0.13156180468970113,0.0
357894.0,3172.0,0.5076650429551748,0.13098369255358833,0.0,0.13098369255358833,0.0
361072.0,3178.0,0.6388964978528122,0.13123145489763743,0.0,0.13123145489763743,0.0
364263.0,3191.0,0.7706647711625525,0.13176827330974028,0.0,0.13176827330974028,0.0
367472.0,3209.0,0.9031763315044401,0.1325115603418876,0.0,0.1325115603418876,0.0
370704.0,3232.0,1.0366376474985124,0.1334613159940723,0.0,0.1334613159940723,0.0
373960.0,3256.0,1.1710900128687776,0.13445236537026517,0.0,0.13445236537026517,0.0
377243.0,3283.0,1.3066573087872602,0.1355672959184826,0.0,0.1355672959184826,0.0
380556.0,3313.0,1.4434634164259865,0.13680610763872636,0.0,0.13680610763872636,0.0
383902.0,3346.0,1.5816322169569776,0.13816880053099112,0.0,0.13816880053099112,0.0
387283.0,3381.0,1.7212462978282517,0.13961408087127403,0.0,0.13961408087127403,0.0
390700.0,3417.0,1.8623469527638168,0.14110065493556512,0.0,0.14110065493556512,0.0
394153.0,3453.0,2.004934181763671,0.14258722899985443,0.0,0.14258722899985443,0.0
397640.0,3487.0,2.1489253973798004,0.14399121561612915,0.0,0.14399121561612915,0.0
401159.0,3519.0,2.294238012164188,0.1453126147843875,0.0,0.1453126147843875,0.0
404709.0,3550.0,2.4408307323928273,0.14659272022863945,0.0,0.14659272022863945,0.0
408286.0,3577.0,2.5885383831696824,0.1477076507768551,0.0,0.1477076507768551,0.0
411885.0,3599.0,2.737154495874714,0.1486161127050316,0.0,0.1486161127050316,0.0
415485.0,3600.0,2.8858119023037556,0.14865740642904157,0.0,0.14865740642904157,0.0
419085.0,3600.0,3.034469308732797,0.14865740642904157,0.0,0.14865740642904157,0.0
422685.0,3600.0,3.183126715161835,0.14865740642903802,0.0,0.14865740642903802,0.0
426285.0,3600.0,3.331784121590877,0.14865740642904157,0.0,0.14865740642904157,0.0
429885.0,3600.0,3.4804415280199184,0.14865740642904157,0.0,0.14865740642904157,0.0
433139.0,3254.0,3.6512623084671922,0.1708207804472739,0.0,0.1708207804472739,0.0
436405.0,3266.0,3.890648220600557,0.2393859121333648,0.0,0.2393859121333648,0.0
