iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,0.0,4.522819444435498,0.12102075674818025,0.3781794075426843,0.0,0.2763666846229782,NaN
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,0.0,5.265770833346778,3.6619494166166646,0.43127557799413196,0.0,0.23583529011713011,NaN
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,5.252349537028451,3.519572438141509,0.4208143312228714,0.0,0.20012426308249687,NaN
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.964765046302176,3.205197056091748,0.3898588773233769,0.0,0.17085219458445877,NaN
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,5.129530092593882,3.1826360626706105,0.3949022184295856,0.0,0.14797664422158618,NaN
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,5.0704699074052115,3.0150055841673407,0.3828444636849664,0.0,0.12891461984277441,NaN
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,8.270717444247566e-11,3.8989942129695265,2.231307359907426,0.2897451383015852,0.0,0.11321642999379833,1.1290533597847864e11
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,3.494295138888276,1.937554469506786,0.2565334708271312,0.0,0.10163655155851714,NaN
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,3.9238252314796966,2.099836001311644,0.2842803018433564,0.0,0.09284896406150622,NaN
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,3.711409722211556,1.91199733870571,0.2653704887228443,0.0,0.08500063047275219,NaN
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,115.00983796281929,3.494652777778697,1.923129747179523,0.2590770964156963,0.0,0.07850595928544735,0.0053477105508483724
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,73.66205789564887,3.0303761574261614,1.978380254134251,0.24137124188485615,0.0,0.09367504211086342,0.0031780021911192863
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,6.004750952301947,3.867189585846944,2.4541815638218765,0.30140724407092456,0.0,0.1262242167583345,0.0032464933079093504
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,17.543200452103775,4.256785881156162,2.58224278772083,0.3597019224741125,0.0,0.12904154581303118,0.0030362775801569333
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,9.935634193677458,4.8834245305069715,2.9094363788958617,0.4305743656809895,0.0,0.12416609629440956,0.0030216534188009375
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.6192129629393435,3.1891820621352878,0.4842763520844784,0.0,0.11639660992404188,0.0033128585357185044
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.544629629647375,2.990028545571519,0.4680650080635598,0.0,0.10382441786676466,0.003585350622030397
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.783055555529188,2.957181998123474,0.47875805261231896,0.0,0.09181623832484576,0.0038538729975903345
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.553101851881195,2.684750218092873,0.4512180119741398,0.0,0.08136383589805973,0.004097422685499945
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,0.0,3.8316203703409997,1.7699280854734738,0.3071689721109774,0.0,0.0725717066848155,0.004341529277890062
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,4.149166666688217,1.8443448608972304,0.32907423394584256,0.0,0.06607572048669041,0.004620912389250546
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,4.097731481462375,1.7388061870966354,0.32096535749635535,0.0,0.06099538550171957,0.004937282959882758
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,0.0,3.9553703703878114,1.606080168513202,0.30649055781302437,0.0,0.05647868647896104,0.005229492165874237
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,0.0,5.249166666684971,2.01423787469853,0.40128336279164856,0.0,0.0526042016738586,0.0054670322011944284
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,0.0,5.644629629606186,2.018094078077752,0.42500193839205735,0.0,0.04885309567848495,0.0058141119706481195
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,0.0,5.627685185186124,1.872468313370021,0.4179618333574773,0.0,0.04514872335983,0.006151201020154812
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,0.0,5.125416666668116,1.5908222814816213,0.3761531529948243,0.0,0.04177901705240217,0.006438124315709356
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,0.0,4.544629629651041,1.3274681636091543,0.3304415374325309,0.0,0.038846710934524964,0.006678197152156811
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,4.846898148126115,1.3303711500638684,0.3492245612341378,0.0,0.036403531373824904,0.006918350657226544
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,21.124354133634853,3.510213191213637,0.9568290602349805,0.25370667534546953,0.0,0.0342913765330195,0.006295818932004829
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,26.43827583373408,3.792577583294303,1.209313782250149,0.28197965504346456,0.0,0.03307619215352986,0.005498986183553427
33.0,2017.0,12.0,21.0,0.0,0.0,0.0,1527.0002777777777,8.203240342997162,6.0803240343148275,1.9002866542546997,0.44812156518792534,0.0,0.03344514590828496,0.005343363642172074
34.0,2017.0,12.0,22.0,0.0,0.0,0.0,1551.0002777777777,0.0,6.426249999985799,1.7796320744433416,0.463455181262141,0.0,0.0337818282113993,0.005550435726604111
35.0,2017.0,12.0,23.0,0.0,0.0,0.0,1575.0002777777777,14.20899708146294,4.5112006340840765,1.1874894175281128,0.3241167009866217,0.0,0.03259172048780812,0.00528836427448464
36.0,2017.0,12.0,24.0,0.0,0.0,0.0,1599.0002777777777,8.420631450337481,3.559829348701129,0.9988688328806177,0.25842202276519544,0.0,0.03184757987356335,0.005150021850843185
