∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,53.0,0.0,0.0,0.0,0.0,0.0
86.0,33.0,0.0,0.0,0.0,0.0,0.0
103.0,17.0,0.0,0.0,0.0,0.0,0.0
118.0,15.0,0.0,0.0,0.0,0.0,0.0
135.0,17.0,0.0,0.0,0.0,0.0,0.0
151.0,16.0,0.0,0.0,0.0,0.0,0.0
165.0,14.0,0.0,0.0,0.0,0.0,0.0
177.0,12.0,0.0,0.0,0.0,0.0,0.0
188.0,11.0,0.0,0.0,0.0,0.0,0.0
199.0,11.0,0.0,0.0,0.0,0.0,0.0
201.0,2.0,0.0,0.0,0.0,0.0,0.0
209.0,8.0,0.0,0.0,0.0,0.0,0.0
216.0,7.0,0.0,0.0,0.0,0.0,0.0
223.0,7.0,0.0,0.0,0.0,0.0,0.0
229.0,6.0,0.0,0.0,0.0,0.0,0.0
235.0,6.0,0.0,0.0,0.0,0.0,0.0
240.0,5.0,0.0,0.0,0.0,0.0,0.0
245.0,5.0,0.0,0.0,0.0,0.0,0.0
250.0,5.0,0.0,0.0,0.0,0.0,0.0
255.0,5.0,0.0,0.0,0.0,0.0,0.0
259.0,4.0,0.0,0.0,0.0,0.0,0.0
263.0,4.0,0.0,0.0,0.0,0.0,0.0
267.0,4.0,0.0,0.0,0.0,0.0,0.0
271.0,4.0,0.0,0.0,0.0,0.0,0.0
275.0,4.0,0.0,0.0,0.0,0.0,0.0
279.0,4.0,0.0,0.0,0.0,0.0,0.0
282.0,3.0,0.0,0.0,0.0,0.0,0.0
285.0,3.0,0.0,0.0,0.0,0.0,0.0
288.0,3.0,0.0,0.0,0.0,0.0,0.0
291.0,3.0,0.0,0.0,0.0,0.0,0.0
294.0,3.0,0.0,0.0,0.0,0.0,0.0
297.0,3.0,0.0,0.0,0.0,0.0,0.0
300.0,3.0,0.0,0.0,0.0,0.0,0.0
303.0,3.0,0.0,0.0,0.0,0.0,0.0
306.0,3.0,0.0,0.0,0.0,0.0,0.0
309.0,3.0,0.0,0.0,0.0,0.0,0.0
312.0,3.0,0.0,0.0,0.0,0.0,0.0
315.0,3.0,0.0,0.0,0.0,0.0,0.0
318.0,3.0,0.0,0.0,0.0,0.0,0.0
321.0,3.0,0.0,0.0,0.0,0.0,0.0
324.0,3.0,0.0,0.0,0.0,0.0,0.0
326.0,2.0,0.0,0.0,0.0,0.0,0.0
328.0,2.0,0.0,0.0,0.0,0.0,0.0
330.0,2.0,0.0,0.0,0.0,0.0,0.0
332.0,2.0,0.0,0.0,0.0,0.0,0.0
334.0,2.0,0.0,0.0,0.0,0.0,0.0
336.0,2.0,0.0,0.0,0.0,0.0,0.0
338.0,2.0,0.0,0.0,0.0,0.0,0.0
340.0,2.0,0.0,0.0,0.0,0.0,0.0
342.0,2.0,0.0,0.0,0.0,0.0,0.0
344.0,2.0,0.0,0.0,0.0,0.0,0.0
346.0,2.0,0.0,0.0,0.0,0.0,0.0
