iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,24.94553922580053,0.2232600386546011,0.00190170941689205,0.01979226147839519,0.0,0.5409623020130709,-1.3702805258205587e-7
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,11.277802036675695,0.7397327121270934,0.6404608179543412,0.06754836182878599,0.0,0.5086092693670565,6.22962466330576e-5
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,2.0571677643598747,1.7747432366173541,0.1820728074893161,0.0,0.5142246677967677,6.922560318461414e-5
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,3.102472222224492,2.6526640505420147,0.2649281013599394,0.0,0.5008773910865045,0.00011306870489248827
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,4.781798611112933,4.0266685213320415,0.38924300990529215,0.0,0.4637886702587508,0.00016313142025231527
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,6.03966319443839,4.976093568851127,0.46105166037639833,0.0,0.4110727100070335,0.00016216516725218484
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,4.290111111105389,3.46059276384608,0.30949618215214514,0.0,0.35316807718686505,0.0015161087139668183
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,2.283482638898491,1.8234078254844874,0.16149291428089008,0.0,0.30383721548628273,0.003223329258756423
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,41.08444444450498,0.6694374999946859,0.5330690221335743,0.04721104159762213,0.0,0.2707107493976224,0.0008135651398733512
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,99.35722222208341,0.3822083333364361,0.32774997029472175,0.03540626576005046,0.0,0.24033021729118786,0.00026754839442619596
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,126.06862268510099,0.46973148148063615,0.4100646042397038,0.04761361739983627,0.0,0.23109207223545525,0.00013851815975206945
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,61.27175741980693,0.9615081018646379,0.8455021134914347,0.10094036483879343,0.0,0.2833666026347714,0.00011365234227983425
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,7.6453960462175985,3.0598243260949403,2.6699518091415158,0.30016142234808285,0.0,0.4842147654725437,0.00011129811751846342
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,22.183633554701743,5.4028978944488415,4.631069336117918,0.513227844926071,0.0,0.6257051156037079,0.00010490983595806913
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,12.739764629088342,6.514809796264274,5.5347620992598365,0.5995548150305758,0.0,0.6192587055958967,0.00010411804154322816
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,6.890562499985123,5.73256840067981,0.5816690225000176,0.0,0.5555790774885878,0.00010400782234545471
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,7.127041666674785,5.772550086793103,0.5557197815277028,0.0,0.47144210798713004,0.0001039431663955449
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,6.437750000019861,5.072578429441137,0.46640664805170395,0.0,0.38944297532714245,0.00010392205111948192
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.999999999966889,4.606110621205147,0.4082171621769355,0.0,0.3219041155878841,0.00011084618221540526
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,15.824946806192486,5.330022458387248,4.0214230054821485,0.3551926697630883,0.0,0.2724619468977352,0.00011134211804236934
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,8.540214717361607,4.019118693975344,3.038305573078773,0.2739814067054578,0.0,0.22656869090079113,0.00011321495376099316
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,4.245520833354391,3.1430633111754247,0.271280439260952,0.0,0.19686948671925109,0.00011551045724718158
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,-1.6569856597925536e-10,4.793656249984991,3.4610301765180225,0.28987963899927394,0.0,0.17322271895685049,0.00011843970373405723
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,0.0,4.319031249978991,3.036509233434245,0.24781779042043084,0.0,0.15348756615679804,0.00011922242186297628
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,61.82166666694897,3.4365833333570777,2.4581717187261205,0.22243686315947997,0.0,0.13487748757158613,0.00010326247861050519
