∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2304.0,2304.0,0.0,0.0,0.0,0.0,0.0
4568.0,2264.0,0.0,0.0,0.0,0.0,0.0
6883.0,2315.0,0.0,0.0,0.0,0.0,0.0
9219.0,2336.0,0.0,0.0,0.0,0.0,0.0
11594.0,2375.0,0.0,0.0,0.0,0.0,0.0
13931.0,2337.0,0.0,0.0,0.0,0.0,0.0
16165.0,2234.0,0.0,0.0,0.0,0.0,0.0
18297.0,2132.0,0.0,0.0,0.0,0.0,0.0
20404.0,2107.0,0.0,0.0,0.0,0.0,0.0
22562.0,2158.0,0.0,0.0,0.0,0.0,0.0
24741.0,2179.0,0.0,0.0,0.0,0.0,0.0
26927.0,2186.0,0.0,0.0,0.0,0.0,0.0
29113.0,2186.0,0.0,0.0,0.0,0.0,0.0
31292.0,2179.0,0.0,0.0,0.0,0.0,0.0
33459.0,2167.0,0.0,0.0,0.0,0.0,0.0
35555.0,2096.0,0.0,0.0,0.0,0.0,0.0
37599.0,2044.0,0.0,0.0,0.0,0.0,0.0
39595.0,1996.0,0.0,0.0,0.0,0.0,0.0
41557.0,1962.0,0.0,0.0,0.0,0.0,0.0
43499.0,1942.0,0.0,0.0,0.0,0.0,0.0
45433.0,1934.0,0.0,0.0,0.0,0.0,0.0
47368.0,1935.0,0.0,0.0,0.0,0.0,0.0
49314.0,1946.0,0.0,0.0,0.0,0.0,0.0
51280.0,1966.0,0.0,0.0,0.0,0.0,0.0
53275.0,1995.0,0.0,0.0,0.0,0.0,0.0
55312.0,2037.0,0.0,0.0,0.0,0.0,0.0
57388.0,2076.0,0.0,0.0,0.0,0.0,0.0
59479.0,2091.0,0.0,0.0,0.0,0.0,0.0
61576.0,2097.0,0.0,0.0,0.0,0.0,0.0
63684.0,2108.0,0.0,0.0,0.0,0.0,0.0
65808.0,2124.0,0.0,0.0,0.0,0.0,0.0
67953.0,2145.0,0.0,0.0,0.0,0.0,0.0
70125.0,2172.0,0.0,0.0,0.0,0.0,0.0
72329.0,2204.0,0.0,0.0,0.0,0.0,0.0
74570.0,2241.0,0.0,0.0,0.0,0.0,0.0
76853.0,2283.0,0.0,0.0,0.0,0.0,0.0
79172.0,2319.0,0.0,0.0,0.0,0.0,0.0
81527.0,2355.0,0.0,0.0,0.0,0.0,0.0
83920.0,2393.0,0.0,0.0,0.0,0.0,0.0
86353.0,2433.0,0.0,0.0,0.0,0.0,0.0
88814.0,2461.0,0.0,0.0,0.0,0.0,0.0
91506.0,2692.0,0.0,0.0,0.0,0.0,0.0
94328.0,2822.0,0.0,0.0,0.0,0.0,0.0
97220.0,2892.0,0.0,0.0,0.0,0.0,0.0
100138.0,2918.0,0.0,0.0,0.0,0.0,0.0
103050.0,2912.0,0.0,0.0,0.0,0.0,0.0
105954.0,2904.0,0.0,0.0,0.0,0.0,0.0
108856.0,2902.0,0.0,0.0,0.0,0.0,0.0
111759.0,2903.0,0.0,0.0,0.0,0.0,0.0
114667.0,2908.0,0.0,0.0,0.0,0.0,0.0
117583.0,2916.0,0.0,0.0,0.0,0.0,0.0
120509.0,2926.0,0.0,0.0,0.0,0.0,0.0
123446.0,2937.0,0.0,0.0,0.0,0.0,0.0
126395.0,2949.0,0.0,0.0,0.0,0.0,0.0
129355.0,2960.0,0.0,0.0,0.0,0.0,0.0
132324.0,2969.0,0.0,0.0,0.0,0.0,0.0
135300.0,2976.0,0.0,0.0,0.0,0.0,0.0
138282.0,2982.0,0.0,0.0,0.0,0.0,0.0
141268.0,2986.0,0.0,0.0,0.0,0.0,0.0
144256.0,2988.0,0.0,0.0,0.0,0.0,0.0
147246.0,2990.0,0.0,0.0,0.0,0.0,0.0
150229.0,2983.0,0.0,0.0,0.0,0.0,0.0
153203.0,2974.0,0.0,0.0,0.0,0.0,0.0
156149.0,2946.0,0.0,0.0,0.0,0.0,0.0
159077.0,2928.0,0.0,0.0,0.0,0.0,0.0
161996.0,2919.0,0.0,0.0,0.0,0.0,0.0
164912.0,2916.0,0.0,0.0,0.0,0.0,0.0
167830.0,2918.0,0.0,0.0,0.0,0.0,0.0
170752.0,2922.0,0.0,0.0,0.0,0.0,0.0
173680.0,2928.0,0.0,0.0,0.0,0.0,0.0
176620.0,2940.0,0.0,0.0,0.0,0.0,0.0
179573.0,2953.0,0.0,0.0,0.0,0.0,0.0
182532.0,2959.0,0.0,0.0,0.0,0.0,0.0
185497.0,2965.0,0.0,0.0,0.0,0.0,0.0
188467.0,2970.0,0.0,0.0,0.0,0.0,0.0
191441.0,2974.0,0.0,0.0,0.0,0.0,0.0
194417.0,2976.0,0.0,0.0,0.0,0.0,0.0
197395.0,2978.0,0.0,0.0,0.0,0.0,0.0
200374.0,2979.0,0.0,0.0,0.0,0.0,0.0
203345.0,2971.0,0.0,0.0,0.0,0.0,0.0
206305.0,2960.0,0.0,0.0,0.0,0.0,0.0
209256.0,2951.0,0.0,0.0,0.0,0.0,0.0
212199.0,2943.0,0.0,0.0,0.0,0.0,0.0
215124.0,2925.0,0.0,0.0,0.0,0.0,0.0
218038.0,2914.0,0.0,0.0,0.0,0.0,0.0
220945.0,2907.0,0.0,0.0,0.0,0.0,0.0
223849.0,2904.0,0.0,0.0,0.0,0.0,0.0
226752.0,2903.0,0.0,0.0,0.0,0.0,0.0
229656.0,2904.0,0.0,0.0,0.0,0.0,0.0
232561.0,2905.0,0.0,0.0,0.0,0.0,0.0
235469.0,2908.0,0.0,0.0,0.0,0.0,0.0
238380.0,2911.0,0.0,0.0,0.0,0.0,0.0
241294.0,2914.0,0.0,0.0,0.0,0.0,0.0
244211.0,2917.0,0.0,0.0,0.0,0.0,0.0
247132.0,2921.0,0.0,0.0,0.0,0.0,0.0
250056.0,2924.0,0.0,0.0,0.0,0.0,0.0
252984.0,2928.0,0.0,0.0,0.0,0.0,0.0
255914.0,2930.0,0.0,0.0,0.0,0.0,0.0
258838.0,2924.0,0.0,0.0,0.0,0.0,0.0
261749.0,2911.0,0.0,0.0,0.0,0.0,0.0
