iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,4.344499012536005,3.787189484602891,0.11740066515949366,0.43318582202634026,0.0,0.3074159636769558,NaN
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,0.0,4.900925925900623,3.8034103452547185,0.535863720495394,0.0,0.28263340696894446,-1.3893725152243652e10
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,4.949537037054753,3.7799221381637125,0.5185180113276324,0.0,0.2592136111860519,NaN
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.66504629628416,3.5230119553087604,0.47711290015495145,0.0,0.23691703628372807,NaN
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,4.895138888904057,3.6520745119274522,0.48767011047366715,0.0,0.215949065047095,NaN
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,-8.284928298962768e-11,4.73981481479494,3.4899275875812066,0.4593456355014034,0.0,0.19659267755574916,NaN
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,1.6555645743210334e-10,3.689055555565133,2.692302364058989,0.35256566693378133,0.0,0.17893240930847654,-1.1464659185230322e11
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,3.655259259258159,2.6575793774971572,0.3492719618983955,0.0,0.16313789542416046,1.2558311014362866e11
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,4.225185185183847,3.0401558034711655,0.3956580015344411,0.0,0.1492023555620463,-1.491063238132284e11
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,0.0,3.7496296296273215,2.66654586229609,0.343516712103062,0.0,0.1368870558247579,-1.6517514863113348e11
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,12.762587820728442,3.9070689672728065,2.7965450875312285,0.374617555975167,0.0,0.12654794032171424,0.04552497697253122
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,14.04871702260806,3.3567235541302978,2.455815556157283,0.3462294724637367,0.0,0.11308662564134409,0.022592853709939853
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,4.341362112022011,4.470626951920963,3.248903384320762,0.4482609282240837,0.0,0.10763346346282532,0.020430217385922038
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,0.0,4.922972222218618,3.444079495192696,0.4542462082642942,0.0,0.09985402937840604,0.021433829895489503
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,0.0,5.139865740744,3.484203392643721,0.446542302560502,0.0,0.09288929940588986,0.022621058600769996
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.525675925915209,3.635888907663059,0.4510132543321248,0.0,0.08659568633230919,0.023833106347240736
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,5.348648148166063,3.4214165229718105,0.41327358143809434,0.0,0.08082447500047607,0.025606013504315933
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.765541666660027,3.5915311081002415,0.4242758758106291,0.0,0.07546761493068743,0.027166818200988027
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,0.0,5.59729629629706,3.3898598897994674,0.390839672385745,0.0,0.07046871051196746,0.029096014744438195
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,0.0,4.797296296300061,2.8462697717033336,0.32527917492480896,0.0,0.06579431190962026,0.03092320468453151
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,5.191217592578624,3.0265137249525793,0.3440715127378091,0.0,0.061434297059690834,0.03286306541383989
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,4.531754629636254,2.590963130112698,0.29144111497826586,0.0,0.057395832742486164,0.035356930402330414
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,-1.6555645743210334e-10,4.402703703701093,2.4856553947467432,0.2813586541927542,0.0,0.05366466863263497,0.03748305497889051
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,1.6555645743210334e-10,5.642569444453898,3.1240890058078747,0.3488159622504412,0.0,0.05022286387220021,0.03943682025528035
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,-1.6555645743210334e-10,6.137162037032368,3.3153722102419465,0.36052923913869606,0.0,0.047056313983276254,0.04154750003244584
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,0.0,5.785810185178207,3.0612460020640384,0.32662880970006825,0.0,0.044125965678581736,0.04349629137484948
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,1.6555645743210334e-10,5.285810185145948,2.7510188440090104,0.290673059845453,0.0,0.04140012949099514,0.04524828394169323
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,-1.6555645743210334e-10,4.9114861111793005,2.520684624904689,0.2654157972604736,0.0,0.038863845342980596,0.04685392288510664
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,4.9256759259311025,2.491957912095714,0.2618591453146877,0.0,0.03650935306641401,0.048440050692974225
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,0.0,3.931754629623896,1.9604592723413816,0.2064833672864097,0.0,0.034329563713725975,0.05034662739179145
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,10.498557235766128,4.527586047610811,2.2416998143737743,0.27946143894125086,0.0,0.03278141813154889,0.03820947070846692
33.0,2017.0,12.0,21.0,0.0,0.0,0.0,1527.0002777777777,5.8224990494032625,6.199700136443795,3.0799682740712484,0.4326297049517791,0.0,0.030975825960496195,0.03374339583544035
34.0,2017.0,12.0,22.0,0.0,0.0,0.0,1551.0002777777777,0.0,6.467611111122295,3.042021500670799,0.3782196416282382,0.0,0.028675046331329668,0.034517836080976375
35.0,2017.0,12.0,23.0,0.0,0.0,0.0,1575.0002777777777,0.0,4.811333333320476,2.2229069752171995,0.26033111141337173,0.0,0.02708887261039905,0.035965498344993255
36.0,2017.0,12.0,24.0,0.0,0.0,0.0,1599.0002777777777,0.0,3.999999999934232,1.8297326090100938,0.21152854726168968,0.0,0.025614616774653598,0.03749088995159375
37.0,2017.0,12.0,25.0,0.0,0.0,0.0,1623.0002777777777,0.0,3.7352222222874616,1.6887182998348038,0.19369170972496974,0.0,0.02424149897051109,0.038899074718141864
38.0,2017.0,12.0,26.0,0.0,0.0,0.0,1647.0002777777777,0.0,4.328138888913315,1.931897972396655,0.21977368975549183,0.0,0.022966240631298263,0.04050652446968327
39.0,2017.0,12.0,27.0,0.0,0.0,0.0,1671.0002777777777,21.4278270025396,2.917052376107165,1.3172012021112494,0.1759184890057739,0.0,0.021033149809632334,0.028254671834171186
40.0,2017.0,12.0,28.0,0.0,0.0,0.0,1695.0002777777777,12.768671880396454,4.553326678802023,2.29125773882474,0.37498429885463125,0.0,0.02139397162514456,0.02386986460913601
41.0,2017.0,12.0,29.0,0.0,0.0,0.0,1719.0002777777777,0.0,6.095986111138643,2.747822587560549,0.40305631217085747,0.0,0.019662897060790385,0.024117022547846183
42.0,2017.0,12.0,30.0,0.0,0.0,0.0,1743.0002777777777,0.0,5.772018518471953,2.4320318231737303,0.33569687002908566,0.0,0.018716573487154164,0.024604916106467034
43.0,2017.0,12.0,31.0,0.0,0.0,0.0,1767.0002777777777,0.0,5.697993055568759,2.334092658023181,0.3062694348703765,0.0,0.01783678640914843,0.02517319699419666
44.0,2018.0,1.0,1.0,0.0,0.0,0.0,1791.0002777777777,0.0,4.876032407400885,1.955405295121551,0.24729973527726656,0.0,0.017014301038436486,0.02592959192604831
45.0,2018.0,1.0,2.0,0.0,0.0,0.0,1815.0002777777777,19.33125812702187,2.5522832201331767,1.0404726394303907,0.14998810526719808,0.0,0.015709359206155682,0.02115840543500025
46.0,2018.0,1.0,3.0,0.0,0.0,0.0,1839.0002777777777,61.48303271305991,2.2518079009125245,1.1881262552682017,0.23469567673694058,0.0,0.015878511893667735,0.013080212352894638
47.0,2018.0,1.0,4.0,0.0,0.0,0.0,1863.0002777777777,79.23495370373814,2.2311712963499417,1.4161547020463274,0.2786770718367855,0.0,0.01477489383714925,0.008724296503754114
