∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1392.0,1392.0,0.0,0.0,0.0,0.0,0.0
2435.0,1043.0,0.0,0.0,0.0,0.0,0.0
3458.0,1023.0,0.0,0.0,0.0,0.0,0.0
4584.0,1126.0,0.0,0.0,0.0,0.0,0.0
5696.0,1112.0,0.0,0.0,0.0,0.0,0.0
6855.0,1159.0,0.0,0.0,0.0,0.0,0.0
8036.0,1181.0,0.0,0.0,0.0,0.0,0.0
9221.0,1185.0,0.0,0.0,0.0,0.0,0.0
10450.0,1229.0,0.0,0.0,0.0,0.0,0.0
11754.0,1304.0,0.0,0.0,0.0,0.0,0.0
13192.0,1438.0,0.0,0.0,0.0,0.0,0.0
14716.0,1524.0,0.0,0.0,0.0,0.0,0.0
16399.0,1683.0,0.0,0.0,0.0,0.0,0.0
18331.0,1932.0,0.0,0.0,0.0,0.0,0.0
20433.0,2102.0,0.0,0.0,0.0,0.0,0.0
22684.0,2251.0,0.0,0.0,0.0,0.0,0.0
24980.0,2296.0,0.0,0.0,0.0,0.0,0.0
27330.0,2350.0,0.0,0.0,0.0,0.0,0.0
29718.0,2388.0,0.0,0.0,0.0,0.0,0.0
32150.0,2432.0,0.0,0.0,0.0,0.0,0.0
34640.0,2490.0,0.0,0.0,0.0,0.0,0.0
37208.0,2568.0,0.0,0.0,0.0,0.0,0.0
39859.0,2651.0,0.0,0.0,0.0,0.0,0.0
42600.0,2741.0,0.0,0.0,0.0,0.0,0.0
45439.0,2839.0,0.0,0.0,0.0,0.0,0.0
48363.0,2924.0,0.0,0.0,0.0,0.0,0.0
51308.0,2945.0,0.0,0.0,0.0,0.0,0.0
54258.0,2950.0,0.0,0.0,0.0,0.0,0.0
57213.0,2955.0,0.0,0.0,0.0,0.0,0.0
60174.0,2961.0,0.0,0.0,0.0,0.0,0.0
63141.0,2967.0,0.0,0.0,0.0,0.0,0.0
66112.0,2971.0,0.0,0.0,0.0,0.0,0.0
69088.0,2976.0,0.0,0.0,0.0,0.0,0.0
72070.0,2982.0,0.0,0.0,0.0,0.0,0.0
75059.0,2989.0,0.0,0.0,0.0,0.0,0.0
78055.0,2996.0,0.0,0.0,0.0,0.0,0.0
81059.0,3004.0,0.0,0.0,0.0,0.0,0.0
84071.0,3012.0,0.0,0.0,0.0,0.0,0.0
87092.0,3021.0,0.0,0.0,0.0,0.0,0.0
90131.0,3039.0,0.0,0.0,0.0,0.0,0.0
93194.0,3063.0,0.0,0.0,0.0,0.0,0.0
96265.0,3071.0,0.0,0.0,0.0,0.0,0.0
99344.0,3079.0,0.0,0.0,0.0,0.0,0.0
102431.0,3087.0,0.0,0.0,0.0,0.0,0.0
105526.0,3095.0,0.0,0.0,0.0,0.0,0.0
108629.0,3103.0,0.0,0.0,0.0,0.0,0.0
111740.0,3111.0,0.0,0.0,0.0,0.0,0.0
114859.0,3119.0,0.0,0.0,0.0,0.0,0.0
117986.0,3127.0,0.0,0.0,0.0,0.0,0.0
121121.0,3135.0,0.0,0.0,0.0,0.0,0.0
124264.0,3143.0,0.0,0.0,0.0,0.0,0.0
127415.0,3151.0,0.0,0.0,0.0,0.0,0.0
130574.0,3159.0,0.0,0.0,0.0,0.0,0.0
133741.0,3167.0,0.0,0.0,0.0,0.0,0.0
136917.0,3176.0,0.0,0.0,0.0,0.0,0.0
140101.0,3184.0,0.0,0.0,0.0,0.0,0.0
143293.0,3192.0,0.0,0.0,0.0,0.0,0.0
146494.0,3201.0,0.0,0.0,0.0,0.0,0.0
149703.0,3209.0,0.0,0.0,0.0,0.0,0.0
152921.0,3218.0,0.0,0.0,0.0,0.0,0.0
156147.0,3226.0,0.0,0.0,0.0,0.0,0.0
159382.0,3235.0,0.0,0.0,0.0,0.0,0.0
162625.0,3243.0,0.0,0.0,0.0,0.0,0.0
165877.0,3252.0,0.0,0.0,0.0,0.0,0.0
169136.0,3259.0,0.0,0.0,0.0,0.0,0.0
172403.0,3267.0,0.0,0.0,0.0,0.0,0.0
175678.0,3275.0,0.0,0.0,0.0,0.0,0.0
178967.0,3289.0,0.0,0.0,0.0,0.0,0.0
