iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,19.0,0.0,0.0,0.0,759.0002777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,20.0,0.0,0.0,0.0,783.0002777777778,10.873221331438998,2.849694818328004,0.07555138524655547,0.19003807318467114,0.0,1.5020182966811717,0.00010900123575241505
3.0,2017.0,11.0,21.0,0.0,0.0,0.0,807.0002777777778,5.642483514363619,3.5400238143990492,3.0630126227748633,0.23664365405899002,0.0,1.4146435592566888,0.00040881683721338477
4.0,2017.0,11.0,22.0,0.0,0.0,0.0,831.0002777777778,0.0,4.169537037034573,3.590945497742908,0.2619706904344099,0.0,1.3717390702217358,0.000945997644532022
5.0,2017.0,11.0,23.0,0.0,0.0,0.0,855.0002777777778,0.0,4.360925925936954,3.742569244078311,0.26078879339790717,0.0,1.3197760200657456,0.0014815997226468348
6.0,2017.0,11.0,24.0,0.0,0.0,0.0,879.0002777777778,0.0,5.217546296293079,4.461616371970905,0.29590684065922535,0.0,1.2674447370918642,0.002104441271121877
7.0,2017.0,11.0,25.0,0.0,0.0,0.0,903.0002777777778,0.0,5.534768518513147,4.714470356008775,0.29548935193994463,0.0,1.2141843393011698,0.002744859660954807
8.0,2017.0,11.0,26.0,0.0,0.0,0.0,927.0002777777778,0.0,3.934444444446129,3.341441423657585,0.20016546904430665,0.0,1.1600891169774314,0.003415973550745015
9.0,2017.0,11.0,27.0,0.0,0.0,0.0,951.0002777777778,0.0,2.839074074061699,2.4082475696250896,0.1415196368284839,0.0,1.107326086598178,0.004460606847166287
10.0,2017.0,11.0,28.0,0.0,0.0,0.0,975.0002777777778,0.0,2.2433796296415807,1.9014784026635567,0.11035526263030793,0.0,1.0577997909798569,0.0055276774286745975
11.0,2017.0,11.0,29.0,0.0,0.0,0.0,999.0002777777778,86.04678240727864,1.888719907413332,1.6247328009792383,0.11677138128922948,0.0,0.988055665183623,0.00039316170349684015
12.0,2017.0,11.0,30.0,0.0,0.0,0.0,1023.0002777777778,140.5273842593357,2.040733796298042,1.805513590343324,0.17618368250279204,0.0,0.9779494251084202,0.00014888846518003058
13.0,2017.0,12.0,1.0,0.0,0.0,0.0,1047.0002777777777,86.901730326137,2.1911041666555064,1.9472311007437995,0.19784489641648584,0.0,0.9434722715222961,0.00010399539407188684
14.0,2017.0,12.0,2.0,0.0,0.0,0.0,1071.0002777777777,37.98592233636086,3.1781805555571765,2.807422053277577,0.2699501688645096,0.0,0.8826111754608519,9.260043249106136e-5
15.0,2017.0,12.0,3.0,0.0,0.0,0.0,1095.0002777777777,16.69703896733111,4.510245423522747,3.9043243268622803,0.40513769560868695,0.0,0.8625322940166313,9.270101436632992e-5
16.0,2017.0,12.0,4.0,0.0,0.0,0.0,1119.0002777777777,3.4613952481886656,5.362347060554896,4.573709992064693,0.46070246424238803,0.0,0.8458018376797583,9.762376429071665e-5
17.0,2017.0,12.0,5.0,0.0,0.0,0.0,1143.0002777777777,0.0,5.913744212974763,4.998235015680336,0.46229689179600975,0.0,0.8329645301398756,0.00010447836123169814
18.0,2017.0,12.0,6.0,0.0,0.0,0.0,1167.0002777777777,0.0,6.037251157411703,5.0653373931829435,0.4346674314514267,0.0,0.8243877107676809,0.00011087254097003101
19.0,2017.0,12.0,7.0,0.0,0.0,0.0,1191.0002777777777,0.0,5.937251157411907,4.949920572928022,0.39595223981638306,0.0,0.8157912201816089,0.00011675898112996973
20.0,2017.0,12.0,8.0,0.0,0.0,0.0,1215.0002777777777,20.475511649537594,5.265962044569903,4.3881004104591455,0.34902175965804005,0.0,0.8128481693086798,0.00011331259317428548
21.0,2017.0,12.0,9.0,0.0,0.0,0.0,1239.0002777777777,11.62428887507474,3.496711294952405,2.93038026647568,0.24834575505973966,0.0,0.7993007390355729,0.00011262861842864172
22.0,2017.0,12.0,10.0,0.0,0.0,0.0,1263.0002777777777,0.0,3.284958333292593,2.732006425285249,0.2123898840552947,0.0,0.7726787537040138,0.00011829521155337275
23.0,2017.0,12.0,11.0,0.0,0.0,0.0,1287.0002777777777,0.0,3.3400185185374767,2.7665622974736266,0.2047136975061239,0.0,0.7542577980665044,0.00012711273178298748
24.0,2017.0,12.0,12.0,0.0,0.0,0.0,1311.0002777777777,8.557600329985462,3.0522797089271023,2.5268425671057457,0.18569432025767796,0.0,0.7226733952291227,0.00012937190953931404
25.0,2017.0,12.0,13.0,0.0,0.0,0.0,1335.0002777777777,4.958105154166361,4.254161209852583,3.5244337643015626,0.26142283213285644,0.0,0.7109876363205387,0.00013253811189220142
26.0,2017.0,12.0,14.0,0.0,0.0,0.0,1359.0002777777777,-1.6555645743210334e-10,4.874611111122363,4.011204351038003,0.2722982398344751,0.0,0.6952756766716846,0.0001400604834953596
27.0,2017.0,12.0,15.0,0.0,0.0,0.0,1383.0002777777777,0.0,4.79999999996798,3.929892295800272,0.24821412193707104,0.0,0.6744458923539867,0.00014729744217803042
28.0,2017.0,12.0,16.0,0.0,0.0,0.0,1407.0002777777777,0.0,4.549222222230895,3.7085280840005055,0.21920054992101257,0.0,0.653248893150689,0.00015397282181638022
29.0,2017.0,12.0,17.0,0.0,0.0,0.0,1431.0002777777777,0.0,4.400000000000091,3.573272984033707,0.19840132466616822,0.0,0.6319746820877725,0.00016029045673680327
30.0,2017.0,12.0,18.0,0.0,0.0,0.0,1455.0002777777777,0.0,4.9015555555777155,3.9645520087268835,0.204979069797524,0.0,0.6108960806450341,0.00016736866613499985
31.0,2017.0,12.0,19.0,0.0,0.0,0.0,1479.0002777777777,53.712727620859084,2.7347083332788316,2.222075668913206,0.124509839203931,0.0,0.610607236874074,0.0001499474929290746
32.0,2017.0,12.0,20.0,0.0,0.0,0.0,1503.0002777777777,35.76561299643345,2.5731829946600158,2.159946229476148,0.18627296522300973,0.0,0.5689353587036976,0.00013939372135501307
33.0,2017.0,12.0,21.0,0.0,0.0,0.0,1527.0002777777777,4.28686617863832,5.081213842295369,4.215214820651028,0.31784104977121785,0.0,0.5447421960035683,0.0001410404544421349
34.0,2017.0,12.0,22.0,0.0,0.0,0.0,1551.0002777777777,0.0,5.904621527839538,4.8462591343884185,0.3173182586233647,0.0,0.53214494629934,0.00014489041809660498
35.0,2017.0,12.0,23.0,0.0,0.0,0.0,1575.0002777777777,7.037699413125154,4.136362533855731,3.3792106533882134,0.20655322415293398,0.0,0.5086080795618528,0.00014588374742308173
36.0,2017.0,12.0,24.0,0.0,0.0,0.0,1599.0002777777777,12.852757392218308,2.6026900911670907,2.135698841900009,0.13939315402815922,0.0,0.5051388773232475,0.00014527918847010636
37.0,2017.0,12.0,25.0,0.0,0.0,0.0,1623.0002777777777,4.606759384226393,2.41937964211715,1.9866823938543803,0.13097880579316978,0.0,0.47401987204025886,0.00014627749862410443
