∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1252.0,1252.0,0.0,0.0,0.0,0.0,0.0
2677.0,1425.0,0.0,0.0,0.0,0.0,0.0
4015.0,1338.0,0.0,0.0,0.0,0.0,0.0
5263.0,1248.0,0.0,0.0,0.0,0.0,0.0
6487.0,1224.0,0.0,0.0,0.0,0.0,0.0
7818.0,1331.0,0.0,0.0,0.0,0.0,0.0
9138.0,1320.0,0.0,0.0,0.0,0.0,0.0
10415.0,1277.0,0.0,0.0,0.0,0.0,0.0
11587.0,1172.0,0.0,0.0,0.0,0.0,0.0
12736.0,1149.0,0.0,0.0,0.0,0.0,0.0
13878.0,1142.0,0.0,0.0,0.0,0.0,0.0
15017.0,1139.0,0.0,0.0,0.0,0.0,0.0
16155.0,1138.0,0.0,0.0,0.0,0.0,0.0
17293.0,1138.0,0.0,0.0,0.0,0.0,0.0
18431.0,1138.0,0.0,0.0,0.0,0.0,0.0
19567.0,1136.0,0.0,0.0,0.0,0.0,0.0
20508.0,941.0,0.0,0.0,0.0,0.0,0.0
21453.0,945.0,0.0,0.0,0.0,0.0,0.0
22317.0,864.0,0.0,0.0,0.0,0.0,0.0
23105.0,788.0,0.0,0.0,0.0,0.0,0.0
23861.0,756.0,0.0,0.0,0.0,0.0,0.0
24600.0,739.0,0.0,0.0,0.0,0.0,0.0
25329.0,729.0,0.0,0.0,0.0,0.0,0.0
26052.0,723.0,0.0,0.0,0.0,0.0,0.0
26771.0,719.0,0.0,0.0,0.0,0.0,0.0
27487.0,716.0,0.0,0.0,0.0,0.0,0.0
28202.0,715.0,0.0,0.0,0.0,0.0,0.0
28917.0,715.0,0.0,0.0,0.0,0.0,0.0
29633.0,716.0,0.0,0.0,0.0,0.0,0.0
30351.0,718.0,0.0,0.0,0.0,0.0,0.0
31072.0,721.0,0.0,0.0,0.0,0.0,0.0
31796.0,724.0,0.0,0.0,0.0,0.0,0.0
32525.0,729.0,0.0,0.0,0.0,0.0,0.0
33260.0,735.0,0.0,0.0,0.0,0.0,0.0
34002.0,742.0,0.0,0.0,0.0,0.0,0.0
34753.0,751.0,0.0,0.0,0.0,0.0,0.0
35516.0,763.0,0.0,0.0,0.0,0.0,0.0
36286.0,770.0,0.0,0.0,0.0,0.0,0.0
37048.0,762.0,0.0,0.0,0.0,0.0,0.0
37811.0,763.0,0.0,0.0,0.0,0.0,0.0
38591.0,780.0,0.0,0.0,0.0,0.0,0.0
39414.0,823.0,0.0,0.0,0.0,0.0,0.0
40305.0,891.0,0.0,0.0,0.0,0.0,0.0
41199.0,894.0,0.0,0.0,0.0,0.0,0.0
42095.0,896.0,0.0,0.0,0.0,0.0,0.0
42995.0,900.0,0.0,0.0,0.0,0.0,0.0
43904.0,909.0,0.0,0.0,0.0,0.0,0.0
44827.0,923.0,0.0,0.0,0.0,0.0,0.0
45709.0,882.0,0.0,0.0,0.0,0.0,0.0
46531.0,822.0,0.0,0.0,0.0,0.0,0.0
47333.0,802.0,0.0,0.0,0.0,0.0,0.0
48148.0,815.0,0.0,0.0,0.0,0.0,0.0
48994.0,846.0,0.0,0.0,0.0,0.0,0.0
49839.0,845.0,0.0,0.0,0.0,0.0,0.0
50683.0,844.0,0.0,0.0,0.0,0.0,0.0
51529.0,846.0,0.0,0.0,0.0,0.0,0.0
52378.0,849.0,0.0,0.0,0.0,0.0,0.0
53233.0,855.0,0.0,0.0,0.0,0.0,0.0
54095.0,862.0,0.0,0.0,0.0,0.0,0.0
54966.0,871.0,0.0,0.0,0.0,0.0,0.0
55847.0,881.0,0.0,0.0,0.0,0.0,0.0
56740.0,893.0,0.0,0.0,0.0,0.0,0.0
57647.0,907.0,0.0,0.0,0.0,0.0,0.0
58570.0,923.0,0.0,0.0,0.0,0.0,0.0
59511.0,941.0,0.0,0.0,0.0,0.0,0.0
60466.0,955.0,0.0,0.0,0.0,0.0,0.0
61421.0,955.0,0.0,0.0,0.0,0.0,0.0
62376.0,955.0,0.0,0.0,0.0,0.0,0.0
63331.0,955.0,0.0,0.0,0.0,0.0,0.0
64287.0,956.0,0.0,0.0,0.0,0.0,0.0
65243.0,956.0,0.0,0.0,0.0,0.0,0.0
66200.0,957.0,0.0,0.0,0.0,0.0,0.0
67158.0,958.0,0.0,0.0,0.0,0.0,0.0
68116.0,958.0,0.0,0.0,0.0,0.0,0.0
69075.0,959.0,0.0,0.0,0.0,0.0,0.0
70035.0,960.0,0.0,0.0,0.0,0.0,0.0
70997.0,962.0,0.0,0.0,0.0,0.0,0.0
71960.0,963.0,0.0,0.0,0.0,0.0,0.0
72924.0,964.0,0.0,0.0,0.0,0.0,0.0
73889.0,965.0,0.0,0.0,0.0,0.0,0.0
74856.0,967.0,0.0,0.0,0.0,0.0,0.0
75824.0,968.0,0.0,0.0,0.0,0.0,0.0
76794.0,970.0,0.0,0.0,0.0,0.0,0.0
77766.0,972.0,0.0,0.0,0.0,0.0,0.0
78739.0,973.0,0.0,0.0,0.0,0.0,0.0
79714.0,975.0,0.0,0.0,0.0,0.0,0.0
80691.0,977.0,0.0,0.0,0.0,0.0,0.0
81670.0,979.0,0.0,0.0,0.0,0.0,0.0
82651.0,981.0,0.0,0.0,0.0,0.0,0.0
83634.0,983.0,0.0,0.0,0.0,0.0,0.0
84619.0,985.0,0.0,0.0,0.0,0.0,0.0
85606.0,987.0,0.0,0.0,0.0,0.0,0.0
86596.0,990.0,0.0,0.0,0.0,0.0,0.0
87616.0,1020.0,0.0,0.0,0.0,0.0,0.0
88735.0,1119.0,0.0,0.0,0.0,0.0,0.0
89926.0,1191.0,0.0,0.0,0.0,0.0,0.0
91235.0,1309.0,0.0,0.0,0.0,0.0,0.0
92671.0,1436.0,0.0,0.0,0.0,0.0,0.0
94204.0,1533.0,0.0,0.0,0.0,0.0,0.0
95813.0,1609.0,0.0,0.0,0.0,0.0,0.0
97476.0,1663.0,0.0,0.0,0.0,0.0,0.0
99185.0,1709.0,0.0,0.0,0.0,0.0,0.0
100928.0,1743.0,0.0,0.0,0.0,0.0,0.0
102699.0,1771.0,0.0,0.0,0.0,0.0,0.0
104496.0,1797.0,0.0,0.0,0.0,0.0,0.0
106312.0,1816.0,0.0,0.0,0.0,0.0,0.0
108130.0,1818.0,0.0,0.0,0.0,0.0,0.0
109948.0,1818.0,0.0,0.0,0.0,0.0,0.0
111766.0,1818.0,0.0,0.0,0.0,0.0,0.0
113585.0,1819.0,0.0,0.0,0.0,0.0,0.0
115405.0,1820.0,0.0,0.0,0.0,0.0,0.0
117227.0,1822.0,0.0,0.0,0.0,0.0,0.0
119051.0,1824.0,0.0,0.0,0.0,0.0,0.0
120878.0,1827.0,0.0,0.0,0.0,0.0,0.0
122708.0,1830.0,0.0,0.0,0.0,0.0,0.0
124542.0,1834.0,0.0,0.0,0.0,0.0,0.0
126380.0,1838.0,0.0,0.0,0.0,0.0,0.0
128222.0,1842.0,0.0,0.0,0.0,0.0,0.0
130068.0,1846.0,0.0,0.0,0.0,0.0,0.0
131919.0,1851.0,0.0,0.0,0.0,0.0,0.0
133775.0,1856.0,0.0,0.0,0.0,0.0,0.0
135636.0,1861.0,0.0,0.0,0.0,0.0,0.0
