Id,WofBest,RmseBest,Efficiency,Global_WaterBalance,Global_WaterBalance_NormPr,ΔT_Average,∑∑ΔSink,∑ΔQ_Bot,SwcRoots,iNonConverge,ΔRunTimeHypix
1,0.005525676,0.015263226,514,0.029180152,0.008003408,2856,356.8041468,5.797138691,341.185112,1,3211.933
2,0.004763706,0.014035766,381,0.054449216,0.0149341,3375,374.8140917,4.210831562,330.6172546,0,6980.013
3,0.004277611,0.013044777,454,0.05512864,0.015120449,3342,361.23642,15.16061585,328.3378273,17,10017.383
4,0.00425739,0.012771361,501,0.022678619,0.006220195,2797,346.9934767,15.42246283,335.5014231,6,13628.116
5,0.00425739,0.012771361,501,0.022678619,0.006220195,2797,346.9934767,15.42246283,335.5014231,6,17158.794
6,0.004127179,0.011648045,496,0.022256311,0.006104366,2743,360.143643,17.80010358,340.8957196,6,20631.871
7,0.003840807,0.011459087,444,0.022357763,0.006132192,3049,339.7862558,11.41016271,344.3720886,5,23847.719
8,0.003427838,0.009996474,480,0.02233003,0.006124586,2921,354.3777606,15.59898835,344.4426839,7,26939.717
9,0.003169814,0.009420137,464,0.02261802,0.006203575,2926,351.4503065,20.94067101,340.6881308,6,30118.44
10,0.002881025,0.008904208,466,0.023370735,0.006304416,2922,374.2063433,20.28160446,333.9438047,5,33135.433
