∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1689.0,1689.0,0.0,0.0,0.0,0.0,0.0
3004.0,1315.0,0.0,0.0,0.0,0.0,0.0
4312.0,1308.0,0.0,0.0,0.0,0.0,0.0
5611.0,1299.0,0.0,0.0,0.0,0.0,0.0
6909.0,1298.0,0.0,0.0,0.0,0.0,0.0
8213.0,1304.0,0.0,0.0,0.0,0.0,0.0
9577.0,1364.0,0.0,0.0,0.0,0.0,0.0
10995.0,1418.0,0.0,0.0,0.0,0.0,0.0
12338.0,1343.0,0.0,0.0,0.0,0.0,0.0
13696.0,1358.0,0.0,0.0,0.0,0.0,0.0
15133.0,1437.0,0.0,0.0,0.0,0.0,0.0
16587.0,1454.0,0.0,0.0,0.0,0.0,0.0
18043.0,1456.0,0.0,0.0,0.0,0.0,0.0
19504.0,1461.0,0.0,0.0,0.0,0.0,0.0
20971.0,1467.0,0.0,0.0,0.0,0.0,0.0
22375.0,1404.0,0.0,0.0,0.0,0.0,0.0
23747.0,1372.0,0.0,0.0,0.0,0.0,0.0
25110.0,1363.0,0.0,0.0,0.0,0.0,0.0
26473.0,1363.0,0.0,0.0,0.0,0.0,0.0
27841.0,1368.0,0.0,0.0,0.0,0.0,0.0
29215.0,1374.0,0.0,0.0,0.0,0.0,0.0
30587.0,1372.0,0.0,0.0,0.0,0.0,0.0
31932.0,1345.0,0.0,0.0,0.0,0.0,0.0
33259.0,1327.0,0.0,0.0,0.0,0.0,0.0
34575.0,1316.0,0.0,0.0,0.0,0.0,0.0
35881.0,1306.0,0.0,0.0,0.0,0.0,0.0
37182.0,1301.0,0.0,0.0,0.0,0.0,0.0
38483.0,1301.0,0.0,0.0,0.0,0.0,0.0
39790.0,1307.0,0.0,0.0,0.0,0.0,0.0
41103.0,1313.0,0.0,0.0,0.0,0.0,0.0
42403.0,1300.0,0.0,0.0,0.0,0.0,0.0
43689.0,1286.0,0.0,0.0,0.0,0.0,0.0
44968.0,1279.0,0.0,0.0,0.0,0.0,0.0
46251.0,1283.0,0.0,0.0,0.0,0.0,0.0
47534.0,1283.0,0.0,0.0,0.0,0.0,0.0
48819.0,1285.0,0.0,0.0,0.0,0.0,0.0
50109.0,1290.0,0.0,0.0,0.0,0.0,0.0
51409.0,1300.0,0.0,0.0,0.0,0.0,0.0
52717.0,1308.0,0.0,0.0,0.0,0.0,0.0
54022.0,1305.0,0.0,0.0,0.0,0.0,0.0
55325.0,1303.0,0.0,0.0,0.0,0.0,0.0
56632.0,1307.0,0.0,0.0,0.0,0.0,0.0
57933.0,1301.0,0.0,0.0,0.0,0.0,0.0
59226.0,1293.0,0.0,0.0,0.0,0.0,0.0
60513.0,1287.0,0.0,0.0,0.0,0.0,0.0
61797.0,1284.0,0.0,0.0,0.0,0.0,0.0
63080.0,1283.0,0.0,0.0,0.0,0.0,0.0
64365.0,1285.0,0.0,0.0,0.0,0.0,0.0
65653.0,1288.0,0.0,0.0,0.0,0.0,0.0
66946.0,1293.0,0.0,0.0,0.0,0.0,0.0
68245.0,1299.0,0.0,0.0,0.0,0.0,0.0
69552.0,1307.0,0.0,0.0,0.0,0.0,0.0
70868.0,1316.0,0.0,0.0,0.0,0.0,0.0
72194.0,1326.0,0.0,0.0,0.0,0.0,0.0
73532.0,1338.0,0.0,0.0,0.0,0.0,0.0
74883.0,1351.0,0.0,0.0,0.0,0.0,0.0
76248.0,1365.0,0.0,0.0,0.0,0.0,0.0
77628.0,1380.0,0.0,0.0,0.0,0.0,0.0
79024.0,1396.0,0.0,0.0,0.0,0.0,0.0
80437.0,1413.0,0.0,0.0,0.0,0.0,0.0
81869.0,1432.0,0.0,0.0,0.0,0.0,0.0
83321.0,1452.0,0.0,0.0,0.0,0.0,0.0
84795.0,1474.0,0.0,0.0,0.0,0.0,0.0
86292.0,1497.0,0.0,0.0,0.0,0.0,0.0
87814.0,1522.0,0.0,0.0,0.0,0.0,0.0
89470.0,1656.0,0.0,0.0,0.0,0.0,0.0
91194.0,1724.0,0.0,0.0,0.0,0.0,0.0
92959.0,1765.0,0.0,0.0,0.0,0.0,0.0
94756.0,1797.0,0.0,0.0,0.0,0.0,0.0
96582.0,1826.0,0.0,0.0,0.0,0.0,0.0
98438.0,1856.0,0.0,0.0,0.0,0.0,0.0
100325.0,1887.0,0.0,0.0,0.0,0.0,0.0
102244.0,1919.0,0.0,0.0,0.0,0.0,0.0
104197.0,1953.0,0.0,0.0,0.0,0.0,0.0
106186.0,1989.0,0.0,0.0,0.0,0.0,0.0
108212.0,2026.0,0.0,0.0,0.0,0.0,0.0
110271.0,2059.0,0.0,0.0,0.0,0.0,0.0
112360.0,2089.0,0.0,0.0,0.0,0.0,0.0
114480.0,2120.0,0.0,0.0,0.0,0.0,0.0
116631.0,2151.0,0.0,0.0,0.0,0.0,0.0
118815.0,2184.0,0.0,0.0,0.0,0.0,0.0
121033.0,2218.0,0.0,0.0,0.0,0.0,0.0
123287.0,2254.0,0.0,0.0,0.0,0.0,0.0
125572.0,2285.0,0.0,0.0,0.0,0.0,0.0
127887.0,2315.0,0.0,0.0,0.0,0.0,0.0
130232.0,2345.0,0.0,0.0,0.0,0.0,0.0
132608.0,2376.0,0.0,0.0,0.0,0.0,0.0
135016.0,2408.0,0.0,0.0,0.0,0.0,0.0
137458.0,2442.0,0.0,0.0,0.0,0.0,0.0
139935.0,2477.0,0.0,0.0,0.0,0.0,0.0
142448.0,2513.0,0.0,0.0,0.0,0.0,0.0
144996.0,2548.0,0.0,0.0,0.0,0.0,0.0
147575.0,2579.0,0.0,0.0,0.0,0.0,0.0
150183.0,2608.0,0.0,0.0,0.0,0.0,0.0
152818.0,2635.0,0.0,0.0,0.0,0.0,0.0
155478.0,2660.0,0.0,0.0,0.0,0.0,0.0
158163.0,2685.0,0.0,0.0,0.0,0.0,0.0
160872.0,2709.0,0.0,0.0,0.0,0.0,0.0
163603.0,2731.0,0.0,0.0,0.0,0.0,0.0
166355.0,2752.0,0.0,0.0,0.0,0.0,0.0
169126.0,2771.0,0.0,0.0,0.0,0.0,0.0
171917.0,2791.0,0.0,0.0,0.0,0.0,0.0
174728.0,2811.0,0.0,0.0,0.0,0.0,0.0
177569.0,2841.0,0.0,0.0,0.0,0.0,0.0
180435.0,2866.0,0.0,0.0,0.0,0.0,0.0
183321.0,2886.0,0.0,0.0,0.0,0.0,0.0
186225.0,2904.0,0.0,0.0,0.0,0.0,0.0
189145.0,2920.0,0.0,0.0,0.0,0.0,0.0
192080.0,2935.0,0.0,0.0,0.0,0.0,0.0
195030.0,2950.0,0.0,0.0,0.0,0.0,0.0
197994.0,2964.0,0.0,0.0,0.0,0.0,0.0
200970.0,2976.0,0.0,0.0,0.0,0.0,0.0
203958.0,2988.0,0.0,0.0,0.0,0.0,0.0
206959.0,3001.0,0.0,0.0,0.0,0.0,0.0
209972.0,3013.0,0.0,0.0,0.0,0.0,0.0
212998.0,3026.0,0.0,0.0,0.0,0.0,0.0
216037.0,3039.0,0.0,0.0,0.0,0.0,0.0
219087.0,3050.0,0.0,0.0,0.0,0.0,0.0
222146.0,3059.0,0.0,0.0,0.0,0.0,0.0
225215.0,3069.0,0.0,0.0,0.0,0.0,0.0
228293.0,3078.0,0.0,0.0,0.0,0.0,0.0
231381.0,3088.0,0.0,0.0,0.0,0.0,0.0
234479.0,3098.0,0.0,0.0,0.0,0.0,0.0
237587.0,3108.0,0.0,0.0,0.0,0.0,0.0
240704.0,3117.0,0.0,0.0,0.0,0.0,0.0
243831.0,3127.0,0.0,0.0,0.0,0.0,0.0
246969.0,3138.0,0.0,0.0,0.0,0.0,0.0
250117.0,3148.0,0.0,0.0,0.0,0.0,0.0
253275.0,3158.0,0.0,0.0,0.0,0.0,0.0
256442.0,3167.0,0.0,0.0,0.0,0.0,0.0
259618.0,3176.0,0.0,0.0,0.0,0.0,0.0
262801.0,3183.0,0.0,0.0,0.0,0.0,0.0
265973.0,3172.0,0.0,0.0,0.0,0.0,0.0
269156.0,3183.0,0.0,0.0,0.0,0.0,0.0
272350.0,3194.0,0.0,0.0,0.0,0.0,0.0
275555.0,3205.0,0.0,0.0,0.0,0.0,0.0
278772.0,3217.0,0.0,0.0,0.0,0.0,0.0
282000.0,3228.0,0.0,0.0,0.0,0.0,0.0
285238.0,3238.0,0.0,0.0,0.0,0.0,0.0
288486.0,3248.0,0.0,0.0,0.0,0.0,0.0
291743.0,3257.0,0.0,0.0,0.0,0.0,0.0
295009.0,3266.0,0.0,0.0,0.0,0.0,0.0
