∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1859.1548043909231,1859.1548043909231,0.006231625576882969,0.006231625576882969,0.0,0.006231625576882969,0.0
3815.2211916599936,1956.0663872690707,0.012788085157439733,0.006556459580556764,0.0,0.006556459580556764,0.0
5637.382266946005,1822.1610752860113,0.01889571295429385,0.006107627796854118,0.0,0.006107627796854118,0.0
7358.944426451958,1721.5621595059529,0.024666147325887674,0.005770434371593823,0.0,0.005770434371593823,0.0
9110.888986510234,1751.9445600582765,0.030538419233506895,0.005872271907619221,0.0,0.005872271907619221,0.0
10954.479500399559,1843.5905138893245,0.03671787549638399,0.006179456262877098,0.0,0.006179456262877098,0.0
12896.23982303333,1941.7603226337712,0.04322638315917935,0.006508507662795357,0.0,0.006508507662795357,0.0
14878.215361132521,1981.9755380991921,0.04986968657146383,0.006643303412284481,0.0,0.006643303412284481,0.0
16870.749927365407,1992.534566232886,0.05654838236184913,0.006678695790385297,0.0,0.006678695790385297,0.0
18963.411103154755,2092.6611757893484,0.06356268847342177,0.007014306111572638,0.0,0.007014306111572638,0.0
21195.476948886728,2232.0658457319746,0.07104425944357405,0.007481570970152285,0.0,0.007481570970152285,0.0
23446.71877547221,2251.2418265854844,0.07859010560612362,0.007545846162549566,0.0,0.007545846162549566,0.0
25740.62584680768,2293.9070713354718,0.08627895967194193,0.007688854065818318,0.0,0.007688854065818318,0.0
28105.35284322836,2364.7269964206785,0.09420519217202061,0.007926232500078678,0.0,0.007926232500078678,0.0
30547.73671729929,2442.38387407093,0.10239171961033855,0.008186527438317937,0.0,0.008186527438317937,0.0
33045.100915415984,2497.3641981166975,0.11076253336668644,0.008370813756347892,0.0,0.008370813756347892,0.0
35609.425071907506,2564.3241564915193,0.11935778749144804,0.0085952541247616,0.0,0.0085952541247616,0.0
38246.82544872259,2637.400376815087,0.12819798283495845,0.00884019534351041,0.0,0.00884019534351041,0.0
40959.98827914413,2713.1628304215337,0.1372921232735983,0.009094140438639847,0.0,0.009094140438639847,0.0
43769.25991837604,2809.27163923191,0.1467084069300767,0.009416283656478397,0.0,0.009416283656478397,0.0
46669.47688179864,2900.2169634226034,0.1564295265297407,0.009721119599664013,0.0,0.009721119599664013,0.0
49680.517172795895,3011.0402909972563,0.1665221103458317,0.010092583816090989,0.0,0.010092583816090989,0.0
52789.05004425189,3108.5328714559914,0.17694147558782014,0.010419365241988443,0.0,0.010419365241988443,0.0
55977.948075675224,3188.8980314233354,0.18763021354969184,0.010688737961871697,0.0,0.010688737961871697,0.0
59226.83610563135,3248.8880299561274,0.19852002955430167,0.010889816004609837,0.0,0.010889816004609837,0.0
62534.84675478439,3308.0106491530387,0.20960801626803674,0.011087986713735065,0.0,0.011087986713735065,0.0
65887.04388755263,3352.1971327682377,0.22084410986388767,0.011236093595850927,0.0,0.011236093595850927,0.0
69274.643831324,3387.5999437713745,0.2321988687059137,0.011354758842026025,0.0,0.011354758842026025,0.0
72693.95302452966,3419.309193205655,0.24365991249491226,0.011461043788998565,0.0,0.011461043788998565,0.0
76137.95668335978,3444.0036588301205,0.2552037286615684,0.011543816166656118,0.0,0.011543816166656118,0.0
79594.97338005663,3457.0166966968573,0.2667911627020087,0.011587434040440325,0.0,0.011587434040440325,0.0
83065.32857399908,3470.355193942444,0.27842330551032385,0.011632142808315149,0.0,0.011632142808315149,0.0
86549.17505191456,3483.8464779154738,0.28960065540054775,0.011177349890223898,0.0,0.011177349890223898,0.008149130652357912
90046.72794144925,3497.5528895346897,0.28960065540054775,0.0,0.0,0.0,0.017446180108058002
93556.54950832749,3509.8215668782364,0.28960065540054775,0.0,0.0,0.0,0.026698678296626196
97078.09150363499,3521.5419953075016,0.28960065540054775,0.0,0.0,0.0,0.035907115406425494
100611.56160012766,3533.470096492672,0.28960065540054775,0.0,0.0,0.0,0.045072548599674626
104155.80847472072,3544.2468745930496,0.28960065540054775,0.0,0.0,0.0,0.05419249677158157
107709.85049272115,3554.042018000425,0.28960065540054775,0.0,0.0,0.0,0.06326507361392353
111272.01804373506,3562.167551013912,0.28960065540054775,0.0,0.0,0.0,0.07228677075204716
