Z,ΔZ,ΔZ_⬓,Znode,ΔZ_Aver,ΔZ_W,Z_CellUp
25.0,25.0,12.5,12.5,12.5,1.0,0.0
50.0,25.0,12.5,37.5,25.0,0.5,25.0
75.0,25.0,12.5,62.5,25.0,0.5,50.0
100.0,25.0,12.5,87.5,25.0,0.5,75.0
125.0,25.0,12.5,112.5,25.0,0.5,100.0
150.0,25.0,12.5,137.5,25.0,0.5,125.0
175.0,25.0,12.5,162.5,25.0,0.5,150.0
200.0,25.0,12.5,187.5,25.0,0.5,175.0
225.0,25.0,12.5,212.5,25.0,0.5,200.0
250.0,25.0,12.5,237.5,25.0,0.5,225.0
275.0,25.0,12.5,262.5,25.0,0.5,250.0
300.0,25.0,12.5,287.5,25.0,0.5,275.0
325.0,25.0,12.5,312.5,25.0,0.5,300.0
350.0,25.0,12.5,337.5,25.0,0.5,325.0
421.875,71.875,35.9375,385.9375,48.4375,0.7419354838709677,350.0
493.75,71.875,35.9375,457.8125,71.875,0.5,421.875
565.625,71.875,35.9375,529.6875,71.875,0.5,493.75
637.5,71.875,35.9375,601.5625,71.875,0.5,565.625
709.375,71.875,35.9375,673.4375,71.875,0.5,637.5
781.25,71.875,35.9375,745.3125,71.875,0.5,709.375
853.125,71.875,35.9375,817.1875,71.875,0.5,781.25
925.0,71.875,35.9375,889.0625,71.875,0.5,853.125
996.875,71.875,35.9375,960.9375,71.875,0.5,925.0
1068.75,71.875,35.9375,1032.8125,71.875,0.5,996.875
1140.625,71.875,35.9375,1104.6875,71.875,0.5,1068.75
1212.5,71.875,35.9375,1176.5625,71.875,0.5,1140.625
1284.375,71.875,35.9375,1248.4375,71.875,0.5,1212.5
1356.25,71.875,35.9375,1320.3125,71.875,0.5,1284.375
1428.125,71.875,35.9375,1392.1875,71.875,0.5,1356.25
1500.0,71.875,35.9375,1464.0625,71.875,0.5,1428.125
