iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2008.0,7.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2008.0,7.0,2.0,9.0,0.0,0.0,24.0,0.015323943219839112,0.8213562032250976,0.02412330895810455,0.17825489794892585,0.0,18.11526999028524,0.20067499360465835
3.0,2008.0,7.0,3.0,9.0,0.0,0.0,48.0,5.7690271931811985,0.35183809442181113,0.27607793163274996,0.07776739014883077,0.0,6.219722775364641,0.016642346379390695
4.0,2008.0,7.0,4.0,9.0,0.0,0.0,72.0,3.069704830309876,0.48374841444824335,0.3783625801183277,0.1057019116683462,0.0,4.26777895275346,0.02014599070567568
5.0,2008.0,7.0,5.0,9.0,0.0,0.0,96.0,65.38221330846831,0.0012841980482729554,0.0010030183512508284,0.0002791910728338065,0.0,3.350366111976953,0.001960862276434829
6.0,2008.0,7.0,6.0,9.0,0.0,0.0,120.0,26.15730656045052,1.7985612998927536e-14,-4.218847493575595e-15,1.7763568394002505e-15,0.0,3.141255654439739,0.0016280202218103535
7.0,2008.0,7.0,7.0,9.0,0.0,0.0,144.0,21.674077325381607,2.693659826724648e-5,2.113273486870071e-5,5.950150975875257e-6,0.0,3.255704456659714,0.0017962145660345452
8.0,2008.0,7.0,8.0,9.0,0.0,0.0,168.0,0.05746478707360225,0.01109927297684643,0.008682501863651826,0.002426491303616496,0.0,3.162500764437283,0.0022386532734968503
9.0,2008.0,7.0,9.0,9.0,0.0,0.0,192.0,1.9184653865522705e-12,0.3670062045394229,0.28613491243112765,0.07927499503142543,0.0,2.8763505172180714,0.002732808349183739
10.0,2008.0,7.0,10.0,9.0,0.0,0.0,216.0,9.947598300641403e-13,0.5969550971547037,0.4641666243302971,0.12769797458712934,0.0,2.509398007644336,0.0032835990648519024
11.0,2008.0,7.0,11.0,9.0,0.0,0.0,240.0,0.0,0.770341202979894,0.5975696560718675,0.16337340639801112,0.0,2.179958941091563,0.004010984748894852
12.0,2008.0,7.0,12.0,9.0,0.0,0.0,264.0,0.003830985804285092,1.4848634443506636,1.1487592285470747,0.31182861089254,0.0,1.9076453373213624,0.004485780261562705
13.0,2008.0,7.0,13.0,9.0,0.0,0.0,288.0,1.4403413053945613,1.3150964749036689,1.0150548143691758,0.2738119012891236,0.0,1.6790471577678616,0.0051908362483292165
14.0,2008.0,7.0,14.0,9.0,0.0,0.0,312.0,0.007661971604377982,1.1131308350388514,0.8575820498360187,0.23017534732493772,0.0,1.48635995271232,0.0059012108773557875
15.0,2008.0,7.0,15.0,9.0,0.0,0.0,336.0,1.4403413053950942,0.6744719600065192,0.5190502587873205,0.13888989035327892,0.0,1.327982162467059,0.006751520658524212
16.0,2008.0,7.0,16.0,9.0,0.0,0.0,360.0,0.0038309858003415798,0.4450265627249399,0.342220481687586,0.09138505474549241,0.0,1.2001099315602772,0.007642786582752438
