iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,18.0,9.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,19.0,9.0,0.0,0.0,768.0,5.564342961959312,5.139698330504331,0.0,0.6982194379214253,0.0,7.992462231837436,0.0
3.0,2017.0,11.0,20.0,9.0,0.0,0.0,792.0,7.8906844577016955,3.9288893013706456,2.1033151343845873,0.5218532217579686,0.0,4.953697490229558,0.01019409632704385
4.0,2017.0,11.0,21.0,9.0,0.0,0.0,816.0,0.8662557026036666,5.851545292678011,7.745934372921681,0.759405633803004,0.0,3.486436863913582,0.02450079915327308
5.0,2017.0,11.0,22.0,9.0,0.0,0.0,840.0,0.7981492991586947,4.890244201658874,6.439552728319342,0.6204423269488846,0.0,2.462226423251309,0.037512079463278725
6.0,2017.0,11.0,23.0,9.0,0.0,0.0,864.0,0.7981492994895234,4.980763045554511,6.489160179677924,0.6193348471753257,0.0,1.8366791143637329,0.04590506797227731
7.0,2017.0,11.0,24.0,9.0,0.0,0.0,888.0,0.7981492994895234,5.176022467509625,6.662793424866578,0.6305681890968611,0.0,1.413441118688496,0.05186020534893343
8.0,2017.0,11.0,25.0,9.0,0.0,0.0,912.0,0.7981492994895234,4.965593195816936,6.312715691390338,0.5929903737434277,0.0,1.1071729228094398,0.05563190640675368
9.0,2017.0,11.0,26.0,9.0,0.0,0.0,936.0,0.7981492998203521,3.2987772421199395,4.152704349337071,0.3881844102854082,0.0,0.8869113195898706,0.0611489580278749
10.0,2017.0,11.0,27.0,9.0,0.0,0.0,960.0,0.7981492994895234,3.5817111611885366,4.469774377682725,0.41616578893595246,0.0,0.7392487393817362,0.06632093983574855
11.0,2017.0,11.0,28.0,9.0,0.0,0.0,984.0,0.7981492991586947,4.069385658240293,5.022933424088052,0.46558640312887967,0.0,0.6294219164427659,0.06639352711032198
12.0,2017.0,11.0,29.0,9.0,0.0,0.0,1008.0,4.985841551378485,3.4821319707620546,4.251199842658252,0.39261975161740637,0.0,0.5374473779700111,0.05225594222865482
13.0,2017.0,11.0,30.0,9.0,0.0,0.0,1032.0,437.54038111997204,3.1263702194084146,4.0278694860816415,0.38718797291782536,0.0,0.49483006393643336,0.0014518060585881898
14.0,2017.0,12.0,1.0,9.0,0.0,0.0,1056.0,2.3520008187864505,2.449084609073225,3.219434985585366,0.3104714096045704,0.0,0.944172105788283,0.0015015706203780118
15.0,2017.0,12.0,2.0,9.0,0.0,0.0,1080.0,2.440598230417663,4.68029340506385,6.046685980857831,0.5749069116353063,0.0,1.2410136193579149,0.0016357966569397735
16.0,2017.0,12.0,3.0,9.0,0.0,0.0,1104.0,83.42645342993137,3.4473327200350354,4.25709607002571,0.44333391986044646,0.0,1.130202427544532,0.0012948053294192545
17.0,2017.0,12.0,4.0,9.0,0.0,0.0,1128.0,1.651869189148556,4.375767024873937,5.381444684602627,0.5579311190103446,0.0,1.0966447368747083,0.001396429951024178
18.0,2017.0,12.0,5.0,9.0,0.0,0.0,1152.0,0.008144706119992406,5.781106060974423,7.001496602698012,0.7192444760274732,0.0,0.9788065327261961,0.0015361444561419859
19.0,2017.0,12.0,6.0,9.0,0.0,0.0,1176.0,2.97859514830634e-10,5.410328970119764,6.452536043385294,0.6580272855731586,0.0,0.8049096084278062,0.0016617921788299956
20.0,2017.0,12.0,7.0,9.0,0.0,0.0,1200.0,7.389644451905042e-11,5.986572338894774,7.025255111386883,0.7119584522491031,0.0,0.653503317833696,0.0017950480459605353
21.0,2017.0,12.0,8.0,9.0,0.0,0.0,1224.0,0.0,5.283473647857704,6.098355385538298,0.6150353440595779,0.0,0.5314901553412028,0.0019094982137643837
22.0,2017.0,12.0,9.0,9.0,0.0,0.0,1248.0,2.7569058147491887e-10,3.0423487773325064,3.4730955932240875,0.3495378438950105,0.0,0.4374077860225043,0.0020350045049141387
23.0,2017.0,12.0,10.0,9.0,0.0,0.0,1272.0,1.1823431123048067e-10,4.770045986784709,5.380110485791249,0.5401335393193918,0.0,0.37085560959542363,0.00213652708865893
24.0,2017.0,12.0,11.0,9.0,0.0,0.0,1296.0,0.08959176799976376,3.713090764831321,4.128821523183063,0.41381530991894877,0.0,0.31902683937499887,0.002287535529623466
25.0,2017.0,12.0,12.0,9.0,0.0,0.0,1320.0,8.584241883414734,3.8842466135171776,4.273715560407851,0.42820506470870967,0.0,0.2766638128803436,0.0023705710340328045
26.0,2017.0,12.0,13.0,9.0,0.0,0.0,1344.0,8.592386589502894,5.646843894869562,6.118744784523187,0.6124493985823065,0.0,0.24300074750399858,0.00242731946540687
27.0,2017.0,12.0,14.0,9.0,0.0,0.0,1368.0,0.8618326882861993,5.483084577751896,5.808555161810602,0.5812017475796623,0.0,0.21410751341463197,0.0025241503777008872
28.0,2017.0,12.0,15.0,9.0,0.0,0.0,1392.0,0.008144705962536136,5.688419706562996,5.872644938151808,0.5886471584623507,0.0,0.18772204922927926,0.0026267206787136082
29.0,2017.0,12.0,16.0,9.0,0.0,0.0,1416.0,0.0,4.805164485012028,4.840169927568837,0.48693548233825723,0.0,0.16372868362060444,0.0027928336809849097
30.0,2017.0,12.0,17.0,9.0,0.0,0.0,1440.0,7.617018127348274e-11,4.4113618670562005,4.348543488108987,0.4393552816803741,0.0,0.1430013071092162,0.002943360686309327
31.0,2017.0,12.0,18.0,9.0,0.0,0.0,1464.0,0.0407235309984344,5.074118339935467,4.880269049701667,0.4957952514106303,0.0,0.12556188586296457,0.003103429328492186
