Month,Sign_Deficit_Obs,Sign_Max_Obs,Sign_Saturated_Obs,Sign_Senescence_Obs,Sign_Deficit_Sim,Sign_Max_Sim,Sign_Saturated_Sim,Sign_Senescence_Sim
1.0,0.001516517338276432,0.0,0.0,0.030741547177852598,0.03225806451612903,0.0,0.0,0.0
2.0,0.01892886735983858,0.016480275715596245,0.0003051426388508923,0.0,0.03571428571428571,0.0,0.0,0.0
3.0,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.0
4.0,0.0,0.0,0.03333333333333333,0.0,0.01566639046415066,0.017666942869182675,0.0,0.0
5.0,0.0,0.005744236939255845,0.04981131861629971,0.0,0.05555555555555555,0.0,0.0,0.0
6.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
7.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
9.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
10.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
11.0,0.0,0.05167966633402042,0.03922942457507049,0.0,0.09090909090909091,0.0,0.0,0.0
12.0,0.001516517338276432,0.0,0.0,0.030741547177852598,0.03225806451612903,0.0,0.0,0.0
