∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2956.1633914807803,2956.1633914807803,0.0,0.0,0.0,0.0,0.0
6556.163391480781,3600.0,0.0,0.0,0.0,0.0,0.0
10156.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
13756.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
17356.163391480783,3600.0,0.0,0.0,0.0,0.0,0.0
20956.163391480783,3600.0,0.0,0.0,0.0,0.0,0.0
24556.163391480783,3600.0,0.0,0.0,0.0,0.0,0.0
28156.163391480783,3600.0,0.0,0.0,0.0,0.0,0.0
31756.163391480783,3600.0,0.0,0.0,0.0,0.0,0.0
35356.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
38956.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
42556.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
46156.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
49756.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
53356.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
56956.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
60556.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
64156.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
67756.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
71356.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
74956.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
78556.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
82156.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
85756.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
89356.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
92956.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
96556.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
100156.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
103756.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
107356.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
110956.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
114556.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
118156.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
121756.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
125356.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
128956.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
132556.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
136156.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
139756.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
143356.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
146956.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
150556.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
154156.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
157756.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
161356.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
164956.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
168556.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
172156.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
175756.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
179356.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
182956.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
186556.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
190156.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
193756.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
197356.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
200956.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
204556.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
208156.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
211756.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
215356.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
218956.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
222556.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
226156.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
229756.16339148078,3600.0,0.0,0.0,0.0,0.0,0.0
