iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,18.0,9.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,19.0,9.0,0.0,0.0,768.0,0.1444527058362155,0.815913405647521,0.0,0.07192566612447227,0.0,0.32294869385886216,0.0
3.0,2017.0,11.0,20.0,9.0,0.0,0.0,792.0,22.442113969321582,0.2153162327437741,0.06905684058881789,0.019514644238360468,0.0,0.3113691039134636,-0.0007690415249833951
4.0,2017.0,11.0,21.0,9.0,0.0,0.0,816.0,0.14445270574185543,1.369395407660761,1.1046765999600474,0.12500589008413954,0.0,0.2989663496280599,0.003463405428866584
5.0,2017.0,11.0,22.0,9.0,0.0,0.0,840.0,6.011191544530448e-11,2.597260890639646,2.0902943461753765,0.23220397561096107,0.0,0.2863878360115848,0.00873512339014125
6.0,2017.0,11.0,23.0,9.0,0.0,0.0,864.0,0.0,3.4088968200119893,2.7351020486072315,0.2963642312656365,0.0,0.27391759312709496,0.014745456072867869
7.0,2017.0,11.0,24.0,9.0,0.0,0.0,888.0,5.2438053899095394e-11,5.590467692854617,4.464056638409403,0.4646146784354439,0.0,0.2617571317537113,0.02004123636405203
8.0,2017.0,11.0,25.0,9.0,0.0,0.0,912.0,0.0,6.275216001375952,4.978012006313648,0.48869848859166964,0.0,0.24993738428702272,0.025903048628166433
9.0,2017.0,11.0,26.0,9.0,0.0,0.0,936.0,0.0,3.112074255745881,2.45723077652697,0.23084095643518943,0.0,0.2384747168424326,0.03179153776000193
10.0,2017.0,11.0,27.0,9.0,0.0,0.0,960.0,1.0359713087382261e-10,1.799364512851298,1.4183495685784884,0.1310773170598285,0.0,0.2273740000070319,0.038938992403744835
11.0,2017.0,11.0,28.0,9.0,0.0,0.0,984.0,0.0,0.4165226657308949,0.32833163054944947,0.030349723105976167,0.0,0.2166905632334135,0.042138052021005123
12.0,2017.0,11.0,29.0,9.0,0.0,0.0,1008.0,0.5278079633470156,1.5843640911874957,1.2486739251864059,0.11521379729944137,0.0,0.20655038754648558,0.04631626319427262
