∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,3600.0,0.0,0.0,0.0,0.0,0.0
7100.715882744436,3500.715882744436,0.0,0.0,0.0,0.0,0.0
10695.873365712128,3595.1574829676924,0.0,0.0,0.0,0.0,0.0
14295.873365712128,3600.0,0.0,0.0,0.0,0.0,0.0
17895.873365712127,3600.0,0.0,0.0,0.0,0.0,0.0
21495.873365712127,3600.0,0.0,0.0,0.0,0.0,0.0
25095.873365712127,3600.0,0.0,0.0,0.0,0.0,0.0
28695.873365712127,3600.0,0.0,0.0,0.0,0.0,0.0
32295.873365712127,3600.0,0.0,0.0,0.0,0.0,0.0
35895.87336571213,3600.0,0.0,0.0,0.0,0.0,0.0
39495.87336571213,3600.0,0.0,0.0,0.0,0.0,0.0
43095.87336571213,3600.0,0.0,0.0,0.0,0.0,0.0
46695.87336571213,3600.0,0.0,0.0,0.0,0.0,0.0
50295.87336571213,3600.0,0.0,0.0,0.0,0.0,0.0
53895.87336571213,3600.0,0.0,0.0,0.0,0.0,0.0
57495.87336571213,3600.0,0.0,0.0,0.0,0.0,0.0
61095.87336571213,3600.0,0.0,0.0,0.0,0.0,0.0
64695.87336571213,3600.0,0.0,0.0,0.0,0.0,0.0
68295.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
71895.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
75495.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
79095.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
82695.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
86295.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
89895.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
93495.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
97095.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
100695.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
104295.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
107895.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
111495.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
115095.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
118695.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
122295.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
125895.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
129495.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
133095.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
136695.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
140295.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
143895.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
147495.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
151095.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
154695.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
158295.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
161895.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
165495.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
169095.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
172695.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
176295.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
179895.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
183495.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
187095.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
190695.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
194295.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
197895.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
201495.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
205095.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
208695.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
212295.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
215895.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
219495.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
223095.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
226695.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
230295.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
233895.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
237495.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
241095.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
244695.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
248295.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
251895.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
255495.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
259095.87336571212,3600.0,0.0,0.0,0.0,0.0,0.0
262695.8733657121,3600.0,0.0,0.0,0.0,0.0,0.0
266295.8733657121,3600.0,0.0,0.0,0.0,0.0,0.0
269895.8733657121,3600.0,0.0,0.0,0.0,0.0,0.0
273495.8733657121,3600.0,0.0,0.0,0.0,0.0,0.0
277095.8733657121,3600.0,0.0,0.0,0.0,0.0,0.0
280695.8733657121,3600.0,0.0,0.0,0.0,0.0,0.0
284295.8733657121,3600.0,0.0,0.0,0.0,0.0,0.0
287895.8733657121,3600.0,0.0,0.0,0.0,0.0,0.0
291495.8733657121,3600.0,0.0,0.0,0.0,0.0,0.0
295095.8733657121,3600.0,0.0,0.0,0.0,0.0,0.0
298695.8733657121,3600.0,0.0,0.0,0.0,0.0,0.0
302295.8733657121,3600.0,0.0,0.0,0.0,0.0,0.0
