iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond≈[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,2017.0,11.0,18.0,9.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2017.0,11.0,19.0,9.0,0.0,0.0,768.0,2.428651340868271,4.4285090628115,0.0,0.4883259733093279,0.0,0.2513492592156439,0.0
3.0,2017.0,11.0,20.0,9.0,0.0,0.0,792.0,13.84644610194627,3.236157571852644,0.9322315351642629,0.3541794106760676,0.0,0.23782115718454122,0.0031987190838524623
4.0,2017.0,11.0,21.0,9.0,0.0,0.0,816.0,1.2756047864020559,5.538890626600477,4.0746025729542765,0.5824937441707814,0.0,0.2250305547579785,0.008401146876180654
5.0,2017.0,11.0,22.0,9.0,0.0,0.0,840.0,45.28373151182848,3.3393418524771334,2.469619629656563,0.364265873783328,0.0,0.21236872911154592,0.0005804493035704772
6.0,2017.0,11.0,23.0,9.0,0.0,0.0,864.0,1.18496320735332,4.668582034466468,3.4333309432213355,0.49000150656156727,0.0,0.20031203585554636,0.001124939694135775
7.0,2017.0,11.0,24.0,9.0,0.0,0.0,888.0,0.0070875712890483555,4.993448497321552,3.6318017416337796,0.49709524866057464,0.0,0.18906404746766725,0.0018204082055088243
8.0,2017.0,11.0,25.0,9.0,0.0,0.0,912.0,0.0,4.590924675216456,3.28658517499602,0.4383005586342339,0.0,0.17842038375037816,0.0024570627769706574
9.0,2017.0,11.0,26.0,9.0,0.0,0.0,936.0,0.0,3.2190581820415503,2.2739619166949296,0.29869906009948544,0.0,0.16839408915193133,0.003339481741859794
10.0,2017.0,11.0,27.0,9.0,0.0,0.0,960.0,0.0,3.8981849350277287,2.7152022371950437,0.35056109635106125,0.0,0.15926598431606465,0.004381832353684285
11.0,2017.0,11.0,28.0,9.0,0.0,0.0,984.0,0.0,4.386387012847507,2.997957773109704,0.3783467898540227,0.0,0.15091043391748826,0.005525630276612882
